,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,407.33,440.82,837.15,323.07,-
1,Short-Term Investments,248.97,338.12,-,-,-
2,Trading Asset Securities,-,-,72.31,-,-
3,Cash & Short-Term Investments,656.3,778.94,909.46,323.07,-
4,Cash Growth,-27.84%,141.10%,-,-,-
5,Other Receivables,1.09,1.1,1.19,1.51,-
6,Receivables,1.09,1.1,1.19,1.51,-
7,Other Current Assets,9.43,8.02,6.17,10.05,-
8,Total Current Assets,666.81,788.05,916.81,334.63,-
9,"Property, Plant & Equipment",9.48,11.02,11.91,13.52,-
10,Other Intangible Assets,123.95,124.23,127.16,123.63,-
11,Other Long-Term Assets,15.25,9.01,7.32,8.08,-
12,Total Assets,815.49,932.3,1063,479.86,-
13,Accrued Expenses,65.43,57.22,28.89,66.3,-
14,Short-Term Debt,57.09,49.4,39.83,19.78,-
15,Current Portion of Leases,2.01,1.92,1.87,1.86,-
16,Other Current Liabilities,7.05,11.23,21.29,9.57,-
17,Total Current Liabilities,131.58,119.76,91.87,97.51,-
18,Long-Term Leases,4.19,5.07,5.91,6.66,-
19,Long-Term Unearned Revenue,3.5,3.5,3.5,3.5,-
20,Other Long-Term Liabilities,-,-,-,2277,-
21,Total Liabilities,139.27,128.33,101.28,2385,-
22,Common Stock,0.03,0.03,0.03,0.01,-
23,Additional Paid-In Capital,3233,3233,3233,93.21,-
24,Retained Earnings,-2480,-2337,-,-1968,-
25,Treasury Stock,-0,-0,-0,-,-
26,Comprehensive Income & Other,-76.18,-92.14,-2271,-30.57,-
27,Shareholders' Equity,676.22,803.97,961.92,-1905,-
28,Total Liabilities & Equity,815.49,932.3,1063,479.86,-
29,Total Debt,63.28,56.39,47.6,28.3,-
30,Net Cash (Debt),593.02,722.55,861.86,294.77,-
31,Net Cash Growth,-31.19%,145.12%,-,-,-
32,Net Cash Per Share,1.67,2.03,10.45,3.71,-
33,Filing Date Shares Outstanding,355.98,356.7,82.49,79.42,73.98
34,Total Common Shares Outstanding,355.98,356.7,82.49,79.42,73.98
35,Working Capital,535.24,668.29,824.94,237.12,-
36,Book Value Per Share,1.90,2.25,11.66,-23.99,-
37,Tangible Book Value,552.28,679.74,834.76,-2029,-
38,Tangible Book Value Per Share,1.55,1.91,10.12,-25.54,-
39,Machinery,-,8.88,-,8.72,-
40,Construction In Progress,-,0.71,-,0.81,-
41,Leasehold Improvements,-,5.2,-,5.2,-
