,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Other Revenue,0.41,0.25,0.22,0.19,0.09
1,Revenue,0.41,0.25,0.22,0.19,0.09
2,Revenue Growth (YoY),85.39%,33.51%,138.04%,-,-
3,Gross Profit,0.41,0.25,0.22,0.19,0.09
4,"Selling, General & Admin",30.38,39.91,35.97,36.75,43.49
5,Research & Development,126.15,128.15,102.34,189.65,123.71
6,Other Operating Expenses,0,-0.05,2.13,0,0
7,Operating Expenses,156.53,168.01,140.43,226.4,167.2
8,Operating Income,-156.13,-167.76,-140.21,-226.21,-167.1
9,Interest Expense,-1.32,-0.94,-0.79,-0.77,-0.62
10,Interest & Investment Income,13.32,11.02,2.97,0.68,0.15
11,Currency Exchange Gain (Loss),0.43,3.62,-7.8,-1.81,-1.74
12,Other Non Operating Income (Expenses),-,2.28,-71.21,-254.38,-132.64
13,EBT Excluding Unusual Items,-143.71,-151.78,-217.04,-482.49,-301.95
14,Gain (Loss) on Sale of Investments,-,-0.05,0.05,-0.02,0.02
15,Asset Writedown,-,-,-,-0.81,-
16,Other Unusual Items,-,-,-,3.65,-
17,Pretax Income,-143.71,-151.83,-216.99,-479.67,-301.93
18,Net Income,-143.71,-151.83,-216.99,-479.67,-301.93
19,Net Income to Common,-143.71,-151.83,-216.99,-479.67,-301.93
20,Shares Outstanding (Basic),356,357,82,79,74
21,Shares Outstanding (Diluted),356,357,82,79,74
22,Shares Change (YoY),331.55%,348.90%,11.50%,-,-
23,EPS (Basic),-0.40,-0.43,-2.63,-6.04,-4.08
24,EPS (Diluted),-0.40,-0.43,-2.63,-6.04,-4.08
25,Free Cash Flow,-143.63,-140.6,-155.87,-162.85,-146.42
26,Free Cash Flow Per Share,-0.40,-0.39,-1.89,-2.05,-1.98
27,Operating Margin,-38454.68%,-66836.25%,-64021.92%,-120326.06%,-181633.70%
28,Profit Margin,-35395.57%,-60489.64%,-99079.91%,-255143.09%,-328179.35%
29,Free Cash Flow Margin,-35376.11%,-56014.74%,-71173.52%,-86619.68%,-159153.26%
30,EBITDA,-155.42,-166.87,-139.37,-225.31,-165.71
31,D&A For EBITDA,0.71,0.89,0.84,0.91,1.39
32,EBIT,-156.13,-167.76,-140.21,-226.21,-167.1
