,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,1412,1770,1187,1770,2050,2267,1864,1857,1798,1842,2627,-,-,-,-,-
1,Market Cap Growth,-21.91%,-21.91%,-36.35%,-4.65%,13.99%,23.11%,-29.03%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,908,1264,667,1221,1509,1718,1313,1261,1202,1265,2459,-,-,-,-,-
3,Last Close Price,13.28,16.65,11.16,16.26,18.83,20.83,17.13,17.06,16.52,16.92,24.00,-,-,-,-,-
4,PE Ratio,-,-,-,-,97.79,130.28,86.11,157.42,147.46,74.64,-,-,-,-,-,-
5,PS Ratio,15.12,18.45,10.87,16.23,14.48,17.31,14.06,14.77,16.16,13.37,16.67,-,-,-,-,-
6,PB Ratio,1.74,2.18,1.45,2.16,2.42,2.71,2.24,2.25,2.21,2.28,3.28,-,-,-,-,-
7,P/TBV Ratio,2.23,2.23,1.48,2.20,2.46,2.76,2.28,2.30,2.25,2.33,3.35,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-41.64,-,-,-,-,-40.26,-,-,-,-,-,-
9,P/OCF Ratio,1263.13,-,-,-,-1017.19,-,61.44,-,52.75,96.25,1568.84,-,-,-,-,-
10,EV/Sales Ratio,9.46,13.17,6.11,11.19,10.65,13.12,9.90,10.03,10.80,9.18,15.60,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,131.60,-,107.19,478.08,137.08,58.77,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,204.42,-,164.42,-679.28,287.88,75.18,-,-,-,-,-,-
13,EV/FCF Ratio,-56.76,-,-,-,-30.64,-,-,-,-,-27.65,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.03,0.02,0.04,0.04,0.03,0.04,0.03,0.02,0.05,0.06,-,0.04,-
15,Debt / EBITDA Ratio,-,-,-,-,0.41,-,1.56,3.22,1.03,2.62,-,0.56,0.29,-,0.09,-
16,Debt / FCF Ratio,-,-,-,-,-0.32,-,-,-,-,-0.50,-,-,-,-,2.62,-
17,Asset Turnover,0.07,0.12,0.04,0.19,0.12,0.12,0.18,0.15,0.14,0.13,0.26,-,-,-,-,
18,Inventory Turnover,2.88,2.13,3.77,1.91,4.31,3.95,3.50,7.42,5.03,5.57,3.68,3.14,-,-,-,-
19,Quick Ratio,7.23,7.23,6.97,6.45,6.51,8.85,8.98,7.98,7.17,12.53,14.57,6.39,5.49,-,6.76,-
20,Current Ratio,7.53,7.53,7.26,6.71,6.74,9.19,9.35,8.28,7.45,12.84,15.05,6.91,5.84,-,7.32,-
21,Return on Equity (ROE),-3.78%,-0.32%,-2.29%,3.94%,0.09%,3.15%,2.90%,2.28%,2.19%,-2.29%,6.91%,-,-,-,-,
22,Return on Assets (ROA),-2.86%,-1.03%,-2.57%,1.81%,-0.91%,0.77%,0.30%,0.85%,0.30%,-2.75%,4.17%,-,-,-,-,
23,Return on Capital (ROIC),-3.15%,-1.14%,-2.85%,1.97%,-0.97%,0.82%,0.32%,0.90%,0.32%,-2.91%,4.61%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,-,-,0.87%,-,0.95%,-0.22%,0.51%,2.08%,-,20.32%,20.32%,-,11.90%,-
25,Earnings Yield,-0.34%,-0.27%,0.26%,0.58%,1.02%,0.77%,1.16%,0.64%,0.68%,1.34%,1.48%,-,-,-,-,-
26,FCF Yield,-1.13%,-0.90%,-1.80%,-0.94%,-2.40%,-3.03%,-2.21%,-2.95%,-1.86%,-2.48%,-1.68%,-,-,-,-,-
27,Dividend Yield,0.73%,-,-,-,0.53%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,1.65%,90.12%,1.81%,2.91%,2.57%,2.43%,-,2.60%,1.06%,0.72%,0.24%,2.15%
29,Buyback Yield / Dilution,3.49%,1.53%,1.55%,0.94%,8.89%,6.80%,-33.65%,-33.29%,-61.37%,-43.15%,0.17%,0.07%,-,-,-,-
30,Total Shareholder Return,4.22%,1.53%,1.55%,0.94%,9.42%,6.80%,-33.65%,-33.29%,-61.37%,-43.15%,0.17%,0.07%,-,-,-,-
