,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,329.17,358.8,289.6,299.37,288.9,316.68,388.47,391.42,99.05,357.68,1.29,13.67,-,17.51,-
1,Trading Asset Securities,186.97,157.89,253.14,265.33,281.45,262.51,190.63,221.81,519.73,237.1,185.27,191.09,-,188.99,-
2,Cash & Short-Term Investments,516.14,516.68,542.74,564.7,570.35,579.18,579.1,613.23,618.78,594.78,186.56,204.77,-,206.5,-
3,Cash Growth,-9.50%,-10.79%,-6.28%,-7.91%,-7.83%,-2.62%,210.41%,199.48%,-,188.03%,-,-,-,-,-
4,Accounts Receivable,152.53,162.07,153.52,164.44,164.08,151.11,160.76,138.91,130.63,157.52,151.99,144.3,-,99.06,-
5,Other Receivables,1.12,0.93,1.11,0.83,0.64,0.59,1.02,0.72,1.97,1.04,0.86,1.24,-,0.55,-
6,Receivables,153.65,163,154.63,165.28,164.72,151.71,161.78,139.63,132.6,158.56,152.85,145.53,-,99.61,-
7,Inventory,13.65,14.25,14.26,13.72,16.95,14.61,15.33,13.54,10.83,15.52,16.93,13.49,-,20,-
8,Other Current Assets,14.29,13.93,14.04,12.26,11.52,15.55,12.54,15.7,7.98,9.35,10.84,9.25,-,5.29,-
9,Total Current Assets,697.72,707.87,725.68,755.96,763.54,761.04,768.75,782.1,770.2,778.2,367.18,373.04,-,331.4,-
10,"Property, Plant & Equipment",177.83,180.15,178.21,178.72,129.55,128.75,120.94,116.09,76.23,48.82,27.61,21.73,-,16.35,-
11,Long-Term Investments,3.15,3.07,2.96,2.91,2.78,2.65,2.57,2.45,2.36,2.27,2.14,2.04,-,1.81,-
12,Other Intangible Assets,15.64,15.73,15.82,15.91,15.69,15.78,15.86,15.94,16.03,16.11,16.19,16.28,-,16.44,-
13,Long-Term Deferred Tax Assets,6.63,5.77,5.75,5.21,4.32,3.89,2.98,2.98,2.3,2.15,1.94,1.79,-,1.29,-
14,Other Long-Term Assets,3.09,2.61,2.61,2.61,5.4,5.51,7.05,2.29,2.05,5.71,11.23,13.51,-,0.02,-
15,Total Assets,904.07,915.2,931.02,961.32,921.29,917.61,918.14,921.85,869.17,853.27,426.3,428.39,-,367.31,-
16,Accounts Payable,65.56,69.88,63.35,75.88,36.27,36.84,41.23,45.04,19.15,13.22,10.23,14.38,-,6.14,-
17,Accrued Expenses,2.66,4.44,2.71,9.32,3.1,4.7,2.85,13.32,3.65,8.41,2.95,13.92,-,10.11,-
18,Short-Term Debt,10.51,8.01,21.06,13.66,27.32,27.92,26.12,26.72,19.4,14.5,16.47,17.82,-,10.01,-
19,Current Portion of Leases,1.19,1.43,1.1,1.34,1.12,1.14,0.83,1.34,2.15,2.12,-,2.62,-,1.63,-
20,Current Income Taxes Payable,1.02,0.56,4.3,4.6,4.98,2.17,5.77,7.12,8.08,4.56,11.01,5.35,-,5.85,-
21,Current Unearned Revenue,7.78,10.29,10.57,4.9,7.24,6.07,12.26,9.07,3.25,6.47,6.47,7.48,-,9.2,-
22,Other Current Liabilities,3.94,2.88,5.09,2.42,3.01,2.59,3.78,2.43,4.31,2.42,5.97,2.29,-,2.32,-
23,Total Current Liabilities,92.66,97.48,108.18,112.12,83.04,81.42,92.83,105.04,59.99,51.7,53.1,63.86,-,45.25,-
24,Long-Term Leases,0.12,0.53,0.5,0.67,0.99,1.3,0.94,1.13,1.54,1.67,2.06,2.59,-,0.47,-
25,Long-Term Unearned Revenue,0.37,0.49,0.52,0.02,0.1,0.71,0.38,0.38,-,0.01,0.07,0.13,-,0.69,-
26,Long-Term Deferred Tax Liabilities,0.3,0.47,0.51,0.54,0.5,0.74,0.1,0.38,0.47,0.11,0.13,0.17,-,0.17,-
27,Total Liabilities,93.45,98.98,109.71,113.35,84.63,84.17,94.26,106.93,62,53.48,55.37,66.75,-,46.59,-
28,Common Stock,108.01,108.01,108.01,108.01,108.01,108.01,108.01,108.01,108.01,108.01,81,81,-,81,-
