,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,15.55,27.4,9.36,43.47,28.7,27.38,41.87,31.01,30.36,20.44,27.51,59.13,50.22,67.97,36.82
1,Other Revenue,-0.09,0.09,-,0.19,-0.06,0.06,-,1.99,-0.09,0.09,-,0.29,-0.1,0.1,-
2,Revenue,15.47,27.48,9.36,43.65,28.64,27.45,41.87,32.99,30.28,20.53,27.51,59.41,50.13,68.07,36.82
3,Revenue Growth (YoY),-46.00%,0.12%,-77.64%,32.30%,-5.41%,33.72%,52.22%,-44.47%,-39.60%,-69.84%,-25.30%,-,-,-,-
4,Cost of Revenue,7.44,13.45,6.7,16.53,15.6,13.09,26.76,15.31,18.35,14.92,11.93,26.95,19.71,26.2,21.33
5,Gross Profit,8.03,14.03,2.66,27.12,13.04,14.36,15.11,17.69,11.92,5.61,15.57,32.46,30.42,41.88,15.5
6,"Selling, General & Admin",9.22,12.04,8.29,10.78,10.16,8.62,7.44,10.4,6.94,8.66,6.02,8.17,6.53,5.99,6.25
7,Research & Development,2.53,2.6,3.42,5.14,3.63,2.46,2.96,3.35,3.64,3.21,2.43,3.15,2.74,2.83,2.95
8,Other Operating Expenses,0.31,0,0.08,-2.35,-0.49,-2.8,-0.13,-0.26,-0.19,-1.02,-0.54,2.68,0.05,-0.98,0
9,Operating Expenses,18.42,17.84,12.38,20.29,16.41,11.55,14,14.66,10.88,12.64,8.44,16.78,10.34,8.94,10.11
10,Operating Income,-10.39,-3.81,-9.72,6.83,-3.36,2.81,1.1,3.03,1.04,-7.03,7.14,15.68,20.08,32.93,5.39
11,Interest Expense,-0.12,-0.12,-0.13,-0.25,-0.2,-0.05,-0.19,-0.21,-0.15,-0.18,-0.22,-0.15,-,-0.13,-0.1
12,Interest & Investment Income,4.22,3.32,2.83,1019,5.25,2.81,3.62,593.57,2.09,2.65,0.93,1.28,1.13,1.67,0.8
13,Other Non Operating Income (Expenses),0.01,-0.01,-0,-1016,-0.04,0.28,-0.02,-587.09,0.36,-0.05,0.04,0.39,-0.18,0.26,0.26
14,EBT Excluding Unusual Items,-6.28,-0.63,-7.03,10.2,1.64,5.85,4.51,9.29,3.35,-4.61,7.88,17.2,21.03,34.72,6.34
15,Gain (Loss) on Sale of Investments,-0.82,0.58,1.12,0.38,-1.31,1.87,2.2,-4.25,2.44,0.36,0.32,0.69,1.16,0.93,-
16,Gain (Loss) on Sale of Assets,0.16,0,0.01,0.01,-,0.39,0.37,0.08,-,-,-,-,-,-,-
17,Asset Writedown,0.13,-0.13,0.13,-0.04,0.04,-0.09,0.07,0.67,-0.23,0.08,-0.51,0.05,-0.05,-0.06,0.06
18,Other Unusual Items,-1.63,0.02,0.42,-0.72,-0.03,0.03,-,-,-0.29,0.29,-,2.23,-0.2,0.2,-
19,Pretax Income,-8.45,-0.15,-5.35,9.83,0.34,8.05,7.15,5.79,5.27,-3.88,7.69,20.16,21.93,35.8,6.4
20,Income Tax Expense,-0.76,0.51,-0.57,1.54,0.15,1.52,1.21,1.16,0.86,-0.54,1.37,3.07,3.37,5.9,1.04
21,Earnings From Continuing Operations,-7.68,-0.66,-4.79,8.29,0.19,6.53,5.94,4.63,4.4,-3.34,6.32,17.09,18.56,29.9,5.36
22,Minority Interest in Earnings,0.07,0.04,0.01,-0.06,0,0.03,0.04,0.04,0.04,0.05,0.06,0.06,0.06,-,-
23,Net Income,-7.61,-0.62,-4.78,8.23,0.2,6.56,5.98,4.67,4.44,-3.3,6.38,17.15,18.62,29.9,5.36
24,Net Income to Common,-7.61,-0.62,-4.78,8.23,0.2,6.56,5.98,4.67,4.44,-3.3,6.38,17.15,18.62,29.9,5.36
25,Net Income Growth,-,-,-,76.28%,-95.57%,-,-6.29%,-72.77%,-76.13%,-,19.13%,-,-,-,-
26,Shares Outstanding (Basic),106,106,107,117,108,108,108,129,116,81,81,80,81,81,81
27,Shares Outstanding (Diluted),106,106,107,117,108,108,108,129,116,81,81,80,81,81,81
28,Shares Change (YoY),-1.53%,-1.55%,-0.94%,-8.89%,-6.80%,33.65%,33.29%,61.37%,43.15%,-0.17%,-0.07%,-,-,-,-
29,EPS (Basic),-0.07,-0.01,-0.04,0.07,0.00,0.06,0.06,0.04,0.04,-0.04,0.08,0.21,0.23,0.37,0.07
30,EPS (Diluted),-0.07,-0.01,-0.04,0.07,0.00,0.06,0.06,0.04,0.04,-0.04,0.08,0.21,0.23,0.37,0.07
31,EPS Growth,-,-,-,93.48%,-95.25%,-,-29.70%,-83.12%,-83.33%,-,19.21%,-,-,-,-
32,Free Cash Flow,-5.69,-10.44,-5.7,5.83,-11.02,-5.71,-38.34,-13.67,16.44,-19.24,-16.98,-25.97,17.95,12.05,-7.42
33,Free Cash Flow Per Share,-0.05,-0.10,-0.05,0.05,-0.10,-0.05,-0.36,-0.11,0.14,-0.24,-0.21,-0.33,0.22,0.15,-0.09
34,Dividend Per Share,-,-,-,0.100,-,-,-,-,-,-,-,0.132,-,-,-
35,Gross Margin,51.91%,51.05%,28.46%,62.13%,45.54%,52.32%,36.08%,53.60%,39.38%,27.34%,56.61%,54.64%,60.68%,61.52%,42.09%
36,Operating Margin,-67.17%,-13.87%,-103.80%,15.65%,-11.75%,10.24%,2.63%,9.18%,3.44%,-34.24%,25.94%,26.39%,40.06%,48.38%,14.63%
37,Profit Margin,-49.23%,-2.24%,-51.04%,18.86%,0.69%,23.89%,14.28%,14.15%,14.68%,-16.07%,23.20%,28.86%,37.14%,43.92%,14.55%
