,Fiscal Quarter,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017
,Period Ending,"Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Revenue,257092,357952,357952,348968,387419,641801,378471,347286,330169,349119,179346,136074,175811
1,Revenue Growth (YoY),-33.64%,-44.23%,-5.42%,0.48%,17.34%,83.83%,111.03%,155.22%,87.80%,-,-,-,-
2,Cost of Revenue,197278,352649,352649,334664,338762,379371,285502,209219,224172,250641,134152,82320,130848
3,Gross Profit,59814,5303,5303,14305,48658,262430,92969,138066,105998,98478,45194,53753,44963
4,"Selling, General & Admin",56340,149278,149278,138815,60315,215247,46545,62113,55525,60076,23924,19006,30748
5,Operating Expenses,56340,149278,149278,138815,60315,215247,46545,62113,55525,60076,23924,19006,30748
6,Operating Income,3474,-143975,-143975,-124511,-11657,47183,46423,75954,50473,38402,21270,34747,14216
7,Interest Expense,-1449,-3162,-3162,-5947,-5027,-2609,-3909,-4264,-2298,-3730,-4288,-4456,-3710
8,Interest & Investment Income,5803,5945,5945,19461,19280,15177,6912,-,2010,5766,1226,1568,953.52
9,Earnings From Equity Investments,-,-2634,-2634,-,-,-,-,-,-,-,-,-,-
10,Currency Exchange Gain (Loss),-222.18,2864,2864,96.55,-104.34,-312.53,-,101.86,-,112.01,-,-,2.34
11,Other Non Operating Income (Expenses),-336.17,-2139,-2139,-858.13,-103.41,8556,-1245,-1676,776.7,-2790,-903.04,-882.3,-754.93
12,EBT Excluding Unusual Items,7270,-143101,-143101,-111758,2388,67993,48182,70116,50962,37761,17305,30976,10707
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-11221,-,149.33,-,-,-,-,-
14,Gain (Loss) on Sale of Assets,-,576.04,576.04,245,7910,1.37,-,-,-,-,-,-,-
15,Other Unusual Items,-,-,-,-,-234.54,-252.29,-,223.73,-223.73,-,-,-,-583.83
16,Pretax Income,7270,-142525,-142525,-111513,10064,56521,48182,70489,50738,37761,17305,30976,10123
17,Income Tax Expense,1756,-2248,-2248,-1183,1991,24576,3314,15428,11557,4074,1674,5552,2585
18,Earnings From Continuing Operations,5514,-140277,-140277,-110330,8073,31945,44868,55061,39181,33686,15631,25424,7538
19,Minority Interest in Earnings,-1955,-5499,-5499,9396,-911.4,-3867,-8639,-12929,-1934,-8126,-8617,-5148,-1516
20,Net Income,3559,-145776,-145776,-100934,7161,28078,36229,42132,37247,25560,7014,20276,6022
21,Preferred Dividends & Other Adjustments,-,119.17,119.17,-,-,2550,-,2143,-,-,-,-,-
22,Net Income to Common,3559,-145896,-145896,-100934,7161,25528,36229,39989,37247,25560,7014,20276,6022
23,Net Income Growth,-50.30%,-,-,-,-80.77%,9.85%,416.55%,107.79%,518.55%,-,-,-,-
24,Shares Outstanding (Basic),51,51,51,54,54,58,54,47,47,27,27,36,17
25,Shares Outstanding (Diluted),51,51,51,54,54,58,54,47,47,27,27,36,17
26,Shares Change (YoY),-5.67%,-12.95%,-6.42%,14.19%,14.29%,120.42%,104.73%,31.70%,173.65%,-,-,-,-
27,EPS (Basic),70.05,-2868.89,-2868.89,-1875.46,132.95,436.96,666.67,848.47,790.29,964.35,264.23,566.59,349.63
28,EPS (Diluted),70.05,-2868.89,-2868.89,-1875.52,132.95,436.96,666.67,848.43,790.29,964.35,264.23,566.59,349.63
29,EPS Growth,-47.31%,-,-,-,-83.18%,-54.69%,152.31%,49.74%,126.04%,-,-,-,-
30,Free Cash Flow,-43156,-190652,-190652,27697,-54089,-304552,7798,17840,-26752,20827,-18701,62311,-39217
31,Free Cash Flow Per Share,-849.38,-3748.98,-3748.98,514.63,-1004.18,-5213.05,143.50,378.51,-567.61,785.77,-704.54,1741.18,-2276.98
32,Gross Margin,23.27%,1.48%,1.48%,4.10%,12.56%,40.89%,24.56%,39.76%,32.10%,28.21%,25.20%,39.50%,25.57%
33,Operating Margin,1.35%,-40.22%,-40.22%,-35.68%,-3.01%,7.35%,12.27%,21.87%,15.29%,11.00%,11.86%,25.54%,8.09%
34,Profit Margin,1.38%,-40.76%,-40.76%,-28.92%,1.85%,3.98%,9.57%,11.51%,11.28%,7.32%,3.91%,14.90%,3.43%
35,Free Cash Flow Margin,-16.79%,-53.26%,-53.26%,7.94%,-13.96%,-47.45%,2.06%,5.14%,-8.10%,5.97%,-10.43%,45.79%,-22.31%
36,EBITDA,7646,-139609,-139609,-120164,-3236,56471,46909,81687,53796,43019,24667,36007,15411
37,EBITDA Margin,2.97%,-39.00%,-39.00%,-34.43%,-0.84%,8.80%,12.39%,23.52%,16.29%,12.32%,13.75%,26.46%,8.77%
38,D&A For EBITDA,4172,4366,4366,4346,8421,9289,485.49,5733,3324,4617,3397,1260,1196
39,EBIT,3474,-143975,-143975,-124511,-11657,47183,46423,75954,50473,38402,21270,34747,14216
40,EBIT Margin,1.35%,-40.22%,-40.22%,-35.68%,-3.01%,7.35%,12.27%,21.87%,15.29%,11.00%,11.86%,25.54%,8.09%
41,Effective Tax Rate,24.15%,-,-,-,19.79%,43.48%,6.88%,21.89%,22.78%,10.79%,9.67%,17.92%,25.54%
42,Revenue as Reported,257092,357952,357952,348968,387419,641801,378471,347286,330169,349119,179346,136074,175811
