,Fiscal Quarter,Current,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017
,Period Ending,"Mar '25 Mar 12, 2025","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Market Capitalization,2171473,1405943,1026058,1663878,2299078,3127997,7350794,6944154,8731021,-,-,-,-,-
1,Market Cap Growth,-37.28%,-55.05%,-86.04%,-76.04%,-73.67%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1145823,1043895,801296,1439116,1722272,2173452,6315522,7119015,8881368,-,-,-,-,-
3,Last Close Price,15850.00,25255.61,19610.86,31801.39,38956.71,53002.32,124555.46,117665.16,169077.41,-,-,-,-,-
4,PE Ratio,-,-3.61,-,-,-,28.72,52.89,49.95,79.51,-,-,-,-,-
5,Forward PE,-,7.56,7.56,9.05,11.09,13.42,26.96,24.10,41.94,-,-,-,-,-
6,PS Ratio,0.67,1.06,0.71,0.96,1.31,1.78,4.33,4.94,7.24,-,-,-,-,-
7,PB Ratio,0.99,1.37,1.00,1.63,1.67,2.00,4.72,4.47,22.61,-,-,-,-,-
8,P/TBV Ratio,2.19,1.79,1.30,2.11,1.87,2.23,5.34,4.96,64.18,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-7.11,-,-,352.27,-1286.41,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-8.04,-,-,189.86,-1494.10,-,-,-,-,-
11,EV/Sales Ratio,0.94,0.79,0.55,0.83,0.98,1.24,3.72,5.07,7.36,-,-,-,-,-
12,EV/EBITDA Ratio,-,-2.66,-,-,-,-,26.44,31.58,43.71,-,-,-,-,-
13,EV/EBIT Ratio,-,-2.55,-,-,-,-,28.70,33.70,47.72,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-5.33,-,-,361.14,-1308.56,-,-,-,-,-
15,Debt / Equity Ratio,0.22,0.00,0.23,0.23,0.20,0.19,0.08,0.11,0.52,0.52,0.29,-,-,0.96
16,Debt / EBITDA Ratio,-,0.16,-,-,-,-,0.57,0.93,0.61,0.79,0.57,-,-,1.70
17,Debt / FCF Ratio,-,-,-,-,-0.87,-,-,8.83,-29.51,-,3.87,-,-,-
18,Asset Turnover,0.75,0.94,0.83,0.69,0.76,1.29,1.02,1.59,1.80,-,-,-,-,
19,Inventory Turnover,13.81,9.78,18.60,15.87,12.39,10.98,12.41,11.14,10.66,22.53,-,-,-,-
20,Quick Ratio,1.01,3.06,1.93,1.93,1.96,2.70,3.53,3.43,0.75,0.78,1.01,-,-,-
21,Current Ratio,2.26,4.14,2.34,2.34,2.90,3.39,4.21,3.91,1.26,1.30,1.51,-,-,-
22,Return on Equity (ROE),2.15%,-54.94%,-46.83%,-30.01%,2.07%,8.21%,18.49%,61.47%,47.26%,-,-,-,-,
23,Return on Assets (ROA),0.63%,-23.75%,-20.96%,-15.42%,-1.43%,5.92%,7.83%,21.68%,17.20%,-,-,-,-,
24,Return on Capital (ROIC),0.76%,-28.72%,-24.74%,-17.71%,-1.64%,6.91%,10.03%,34.94%,27.10%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-39.96%,-,-,-,-,14.13%,13.59%,44.72%,40.20%,29.94%,-,-,-
26,Earnings Yield,-8.36%,-27.66%,-37.55%,-12.71%,-1.28%,3.63%,1.95%,2.03%,1.28%,-,-,-,-,-
27,FCF Yield,-21.12%,-28.22%,-39.73%,-31.35%,-14.06%,-10.65%,-4.16%,0.28%,-0.08%,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,-,30.59%,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,2.36%,5.67%,12.95%,6.42%,-14.19%,-14.29%,-120.42%,-104.73%,-31.70%,-173.65%,-,-,-,-
30,Total Shareholder Return,2.36%,5.67%,12.95%,6.42%,-14.19%,-14.29%,-120.42%,-104.73%,-31.70%,-173.65%,-,-,-,-
