,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,1665,1130,993.47,660.99,329.44
1,Revenue Growth (YoY),67.61%,71.01%,201.57%,-,-
2,Cost of Revenue,1130,800.21,764.07,503.86,225.48
3,Gross Profit,535.33,330.16,229.4,157.13,103.96
4,"Selling, General & Admin",99.46,90.62,48.56,38.58,19.4
5,Research & Development,47.59,47.12,29.75,22.78,11.06
6,Operating Expenses,150.22,140.13,53.93,107.71,27.48
7,Operating Income,385.11,190.03,175.47,49.42,76.47
8,Interest Expense,-0.25,-0.17,-0.57,-1.34,-1.57
9,Interest & Investment Income,101.68,43.94,3.42,4.05,0.56
10,Currency Exchange Gain (Loss),39.49,-48.32,-1.41,20.83,25.46
11,Other Non Operating Income (Expenses),34.61,16.15,29.11,3.45,18.47
12,EBT Excluding Unusual Items,560.65,201.62,206.03,76.41,119.39
13,Gain (Loss) on Sale of Investments,1.07,-,5.54,-,-
14,Other Unusual Items,-,-53.58,-,-,-
15,Pretax Income,561.72,148.04,211.57,76.41,119.39
16,Income Tax Expense,73.49,41.72,34.35,18.95,21.12
17,Net Income,488.23,106.32,177.21,57.46,98.27
18,Net Income to Common,488.23,106.32,177.21,57.46,98.27
19,Net Income Growth,175.50%,85.03%,80.34%,-,-
20,Shares Outstanding (Basic),1198,1046,1000,1083,680
21,Shares Outstanding (Diluted),1286,1133,1023,1083,680
22,Shares Change (YoY),25.69%,4.58%,50.44%,-,-
23,EPS (Basic),0.41,0.10,0.18,0.05,0.14
24,EPS (Diluted),0.38,0.09,0.17,0.05,0.14
25,EPS Growth,123.53%,76.98%,21.43%,-,-
26,Free Cash Flow,-746.51,-108.34,-88.17,77.17,-26.74
27,Free Cash Flow Per Share,-0.58,-0.10,-0.09,0.07,-0.04
28,Operating Margin,23.13%,16.81%,17.66%,7.48%,23.21%
29,Profit Margin,29.32%,9.41%,17.84%,8.69%,29.83%
30,Free Cash Flow Margin,-44.83%,-9.58%,-8.88%,11.68%,-8.12%
31,EBITDA,435.25,223.92,201.82,64.11,87.63
32,D&A For EBITDA,50.13,33.89,26.35,14.69,11.16
33,EBIT,385.11,190.03,175.47,49.42,76.47
