,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,46551,20719,37710,-,-,-
1,Enterprise Value,42889,16263,37109,-,-,-
2,Last Close Price,38.85,17.30,32.00,-,-,-
3,PE Ratio,73.49,32.43,120.72,-,-,-
4,Forward PE,40.35,26.62,62.12,-,-,-
5,PS Ratio,14.51,6.90,16.12,-,-,-
6,PB Ratio,7.23,3.22,6.28,-,-,-
7,P/TBV Ratio,3.37,3.37,6.60,-,-,-
8,P/OCF Ratio,-,-,102.84,-,-,-
9,PEG Ratio,0.57,0.64,1.01,-,-,-
10,EV/Sales Ratio,14.28,5.41,15.86,-,-,-
11,EV/EBITDA Ratio,60.76,22.96,79.12,-,-,-
12,EV/EBIT Ratio,69.40,26.32,92.16,-,-,-
13,Debt / Equity Ratio,0.01,0.01,0.00,0.00,0.05,-
14,Debt / FCF Ratio,-,-,-,-,1.53,-
15,Return on Capital Employed (ROCE),9.58%,9.58%,6.70%,13.22%,8.49%,-
16,Earnings Yield,1.37%,3.08%,0.83%,-,-,-
17,FCF Yield,-1.97%,-4.43%,-0.57%,-,-,-
18,Buyback Yield / Dilution,-14.84%,-25.69%,-4.58%,-50.44%,-,-
19,Total Shareholder Return,-14.84%,-25.69%,-4.58%,-50.44%,-,-
