,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021,H2 2020,H1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019"
0,Cash & Equivalents,43.48,63.56,68.12,79.39,59.73,54.92,61.28,42.11,60.62,73.14
1,Short-Term Investments,-,-,-,-,-,-,-,-,1.78,-
2,Cash & Short-Term Investments,43.48,63.56,68.12,79.39,59.73,54.92,61.28,42.11,62.4,73.14
3,Cash Growth,-36.17%,-19.94%,14.05%,44.54%,-2.54%,30.43%,-1.80%,-42.42%,-46.57%,284.96%
4,Accounts Receivable,74.94,67.81,72.44,58.57,83.88,71.18,75.91,86.56,82.09,85.2
5,Other Receivables,5.61,4.43,6.2,5.99,4.09,6.41,4.39,47.95,26.93,62.23
6,Receivables,80.56,72.24,78.63,64.57,87.98,77.59,80.3,134.51,109.02,147.43
7,Inventory,28.24,21.89,21.63,22.83,23.92,34.88,25.78,25.72,19,17.56
8,Prepaid Expenses,-,1.33,-,0.37,-,1.26,-,-,0.17,-
9,Other Current Assets,-,0.65,-,0.18,-,0.18,-,40.22,40.17,55.3
10,Total Current Assets,152.28,159.67,168.38,167.33,171.62,168.83,167.36,242.55,230.75,293.42
11,"Property, Plant & Equipment",24.46,22.58,20.72,16.51,16.23,18.58,15.04,17.08,16.27,18.44
12,Long-Term Investments,5.79,5.7,5.64,5.55,5.39,5.34,5.23,-,-,-
13,Other Intangible Assets,-,-,-,-,-,-,0.51,1.74,2.23,2.91
14,Long-Term Deferred Tax Assets,0.44,0.44,0.02,0.09,-,-,-,0.18,0.18,-
15,Other Long-Term Assets,-,-,0.03,0.03,0.02,0.38,0.04,48.57,59.41,0.2
16,Total Assets,182.97,188.39,194.79,189.5,193.27,193.13,188.17,335.66,333.34,314.97
17,Accounts Payable,5.48,7.37,3.16,2.82,2.95,3.81,6.65,17.14,10.88,8.16
18,Accrued Expenses,13.14,11.25,11.46,11.46,20.55,22.34,20.54,11.95,9.12,6.02
19,Short-Term Debt,-,-,-,3.74,3.85,3.96,4.07,54.29,64.4,50
20,Current Portion of Leases,0.24,0.16,0.31,0.3,0.07,0.07,0.2,0.76,1.38,1.82
21,Current Income Taxes Payable,-,-,0.77,0.01,-,0.38,-,0.63,0.76,0.3
22,Current Unearned Revenue,4.29,9.14,3.42,0.52,0.52,0.26,1.25,0.41,0.24,1.45
23,Total Current Liabilities,23.14,27.9,19.11,18.84,27.94,30.81,32.7,85.18,86.78,67.75
24,Long-Term Leases,-,0.24,0.24,0.4,-,-,-,0.2,0.32,0.98
25,Long-Term Deferred Tax Liabilities,-,-,-,-,0.08,0.08,0.08,-,-,0.07
26,Total Liabilities,23.42,28.42,19.51,19.4,28.18,31.05,32.88,85.42,87.15,68.99
27,Common Stock,9.21,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68
28,Additional Paid-In Capital,161.21,154.7,154.7,154.7,154.7,154.7,154.7,154.7,154.7,154.7
29,Retained Earnings,-12.07,-1.4,9.34,2.71,30.82,24.42,19.27,87.35,86.36,86.36
30,Comprehensive Income & Other,1.2,-1,3.56,5.01,4.14,7.73,7.17,2.64,-0.52,-1.77
31,Total Common Equity,159.55,159.97,175.28,170.1,197.34,194.53,188.82,252.37,248.22,246.96
32,Minority Interest,-,-,-,-,-32.25,-32.45,-33.53,-2.13,-2.03,-0.98
33,Shareholders' Equity,159.55,159.97,175.28,170.1,165.09,162.08,155.29,250.24,246.19,245.98
34,Total Liabilities & Equity,182.97,188.39,194.79,189.5,193.27,193.13,188.17,335.66,333.34,314.97
35,Total Debt,0.24,0.39,0.55,4.44,3.92,4.03,4.27,55.24,66.1,52.8
36,Net Cash (Debt),43.24,63.16,67.57,74.95,55.81,50.9,57.02,-13.13,-3.7,20.34
37,Net Cash Growth,-36.01%,-15.73%,21.08%,47.26%,-2.12%,-,-,-,-,7.06%
38,Net Cash Per Share,0.05,0.08,0.09,-,0.07,-,0.07,-0.02,-0.00,0.03
39,Filing Date Shares Outstanding,921.12,767.6,767.6,767.6,767.6,767.6,767.6,767.6,767.6,767.6
40,Total Common Shares Outstanding,921.12,767.6,767.6,767.6,767.6,767.6,767.6,767.6,767.6,767.6
41,Working Capital,129.14,131.77,149.27,148.49,143.68,138.02,134.66,157.37,143.98,225.67
42,Book Value Per Share,0.17,0.21,0.23,0.22,0.26,0.25,0.25,0.33,0.32,0.32
43,Tangible Book Value,159.55,159.97,175.28,170.1,197.34,194.53,188.31,250.63,246,244.05
44,Tangible Book Value Per Share,0.17,0.21,0.23,0.22,0.26,0.25,0.25,0.33,0.32,0.32
45,Machinery,-,21.84,-,24.63,-,25.35,-,-,19.99,-
46,Construction In Progress,-,2.93,-,-,-,-,-,-,-,-
47,Leasehold Improvements,-,2.36,-,0.98,-,0.94,-,-,0.93,-
