,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021,H2 2020,H1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019"
0,Revenue,78.79,72.16,85.04,-,111.4,-,109.67,125.81,104.12,96.26
1,Revenue Growth (YoY),-7.35%,-,-23.66%,-,1.58%,-,5.33%,30.69%,24.12%,-1.81%
2,Cost of Revenue,78.38,65.97,73.24,-,94.95,-,82.24,115.28,80.2,70.39
3,Gross Profit,0.42,6.19,11.8,-,16.45,-,27.42,10.53,23.91,25.87
4,"Selling, General & Admin",10.83,12.39,10.6,-,11.54,-,13.79,16.38,15.34,14.55
5,Operating Expenses,10.83,12.39,10.6,-,11.54,-,13.79,16.38,17.04,14.55
6,Operating Income,-10.42,-6.2,1.21,-,4.91,-,13.63,-5.86,6.87,11.32
7,Interest Expense,-0.01,-0.01,-0.04,-,-0.02,-,-0.27,-0.89,-1.2,-0.89
8,Interest & Investment Income,0.64,0.46,0.19,-,0.01,-,0.02,1.68,1.78,0.43
9,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-0.28,-
10,Currency Exchange Gain (Loss),-0.78,-1.04,-0.27,-,-0.24,-,0.01,0.94,-2.41,0.16
11,Other Non Operating Income (Expenses),0.03,1.56,0.14,-,0.32,-,3.25,5.48,-0.24,0.05
12,EBT Excluding Unusual Items,-10.53,-5.23,1.23,-,4.98,-,16.64,1.35,4.52,11.08
13,Gain (Loss) on Sale of Investments,0.09,0.16,0.1,-,-,-,-,-,-,-
14,Gain (Loss) on Sale of Assets,0.07,-1.08,-0.1,-,-,-,-,-,-,-
15,Other Unusual Items,-,-5.83,6.3,-,3.08,-,-,-,-,-
16,Pretax Income,-10.37,-11.97,7.53,-,8.06,-,16.64,1.35,4.52,11.08
17,Income Tax Expense,0.29,-1.23,0.9,-,1.19,-,2.38,0.47,3.28,2.09
18,Earnings From Continuing Operations,-10.66,-10.74,6.63,-,6.87,-,14.27,0.88,1.24,8.99
19,Earnings From Discontinued Operations,-,-,-,-,-0.79,-,-,-,-,-
20,Net Income to Company,-10.66,-10.74,6.63,-,6.08,-,14.27,0.88,1.24,8.99
21,Minority Interest in Earnings,-,-,-,-,0.32,-,0.26,0.11,1.06,0.94
22,Net Income,-10.66,-10.74,6.63,-,6.4,-,14.53,0.99,2.31,9.94
23,Net Income to Common,-10.66,-10.74,6.63,-,6.4,-,14.53,0.99,2.31,9.94
24,Net Income Growth,-,-,3.55%,-,-55.94%,-,529.33%,-90.06%,18.18%,-29.56%
25,Shares Outstanding (Basic),854,768,768,-,768,-,768,768,768,768
26,Shares Outstanding (Diluted),854,768,768,-,768,-,768,768,775,776
27,Shares Change (YoY),11.32%,-,-,-,-,-,-0.94%,-1.10%,2.63%,36.16%
28,EPS (Basic),-0.01,-0.01,0.01,-,0.01,-,0.02,0.00,0.00,0.01
29,EPS (Diluted),-0.01,-0.01,0.01,-,0.01,-,0.02,0.00,0.00,0.01
30,EPS Growth,-,-,3.55%,-,-55.95%,-,532.42%,-92.28%,26.09%,-47.70%
31,Free Cash Flow,-29.52,-5.69,-8,-,7.21,-,15.6,1.95,2.87,-35.81
32,Free Cash Flow Per Share,-0.03,-0.01,-0.01,-,0.01,-,0.02,0.00,0.00,-0.05
33,Dividend Per Share,-,-,-,-,-,-,-,-,-,0.003
34,Operating Margin,-13.22%,-8.59%,1.42%,-,4.41%,-,12.43%,-4.66%,6.60%,11.76%
35,Profit Margin,-13.53%,-14.89%,7.79%,-,5.74%,-,13.24%,0.79%,2.22%,10.32%
36,Free Cash Flow Margin,-37.46%,-7.88%,-9.41%,-,6.47%,-,14.22%,1.55%,2.75%,-37.20%
37,EBITDA,-8.54,-4.78,3.21,-,6.62,-,15.8,-3.92,9.05,13.11
38,D&A For EBITDA,1.88,1.42,2,1.58,1.71,2.42,2.17,1.94,2.18,1.78
39,EBIT,-10.42,-6.2,1.21,-,4.91,-,13.63,-5.86,6.87,11.32
