,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,361.55,187.92,214.77,222.98,316.79,248.75,188.65,183.92,208.56,321.91
1,Short-Term Investments,-,64.56,-,77.79,-,70.92,-,128.54,-,156.29
2,Cash & Short-Term Investments,361.55,252.49,214.77,300.77,316.79,319.67,188.65,312.46,208.56,478.2
3,Cash Growth,68.34%,-16.05%,-32.20%,-5.91%,67.93%,2.31%,-9.55%,-34.66%,-,-
4,Accounts Receivable,1880,1700,1529,1425,2270,1995,1644,1822,1929,1631
5,Other Receivables,34.96,124.03,26.15,102.8,27.04,155.48,26,143.79,26.41,124.46
6,Receivables,1915,1889,1555,1594,2297,2156,1670,1965,1956,1755
7,Inventory,1878,1945,3143,3137,3211,3367,3485,3048,2971,2778
8,Other Current Assets,437.5,272.33,525.74,501.41,355.37,266.25,541.2,327.89,380.65,339.74
9,Total Current Assets,4593,4358,5438,5533,6180,6109,5885,5654,5515,5351
10,"Property, Plant & Equipment",1257,1247,226.99,230.69,233.82,242.16,242.95,242.2,246.16,231.64
11,Long-Term Investments,148.1,151.83,158.88,185.25,341.84,358.74,412.05,343.69,322.38,327.66
12,Other Intangible Assets,0.53,0.5,0.66,0.83,1.07,1.42,1.62,1.93,1.69,1.79
13,Long-Term Deferred Tax Assets,71.18,71.85,82.14,84.49,84.98,85.53,68.16,78.37,76.9,69.14
14,Other Long-Term Assets,239.7,239.7,236.8,239.8,140.4,140.4,140.4,140.4,141.1,141.1
15,Total Assets,6309,6069,6144,6274,6982,6937,6750,6461,6304,6123
16,Accounts Payable,1530,1828,1481,1762,2619,2228,2007,2075,1895,1701
17,Accrued Expenses,-,362.04,-,326.74,-,384.51,-,349.58,2.85,198.92
18,Short-Term Debt,282.29,309.56,314.95,305.14,298.84,285.71,554.41,250,320,250
19,Current Portion of Long-Term Debt,612,231,93.5,339.1,358.5,166,50,98,50,369
20,Current Portion of Leases,0.73,0.81,0.33,0.72,0.75,1.91,0.44,0.96,1.03,1
21,Current Income Taxes Payable,675.4,375.07,335.91,366.46,321.35,440.69,202.73,535.68,462.51,349.49
22,Current Unearned Revenue,-,643.09,-,1006,-,934.05,-,1007,-,1605
23,Other Current Liabilities,1690,773.6,2248,886.09,1842,799.6,2335,595.39,2062,389.69
24,Total Current Liabilities,4791,4523,4473,4993,5440,5241,5149,4912,4793,4865
25,Long-Term Debt,507,505,649,260,164.7,344,250,232.45,285,170
26,Long-Term Leases,0.17,0.48,-,-,0.39,2.36,-,-,0.44,0.96
27,Long-Term Deferred Tax Liabilities,26.45,26.45,21.6,20.8,4.58,4.58,-,-,-,-
28,Total Liabilities,5324,5055,5144,5274,5610,5592,5399,5145,5079,5036
29,Common Stock,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28
30,Retained Earnings,576.28,605.13,597.24,594.14,926.07,969.32,959.69,927.51,760.58,632.26
31,Treasury Stock,-,-,-,-,-,-48.52,-48.52,-48.52,-,-
32,Comprehensive Income & Other,401.35,401.56,395.63,398.64,438.76,417.71,432.9,429.61,457.09,447.24
33,Shareholders' Equity,984.91,1014,1000,1000,1372,1346,1351,1316,1225,1087
34,Total Liabilities & Equity,6309,6069,6144,6274,6982,6937,6750,6461,6304,6123
35,Total Debt,1402,1047,1058,904.95,823.18,799.98,854.86,581.41,656.47,790.97
36,Net Cash (Debt),-1041,-794.36,-843,-604.19,-506.38,-480.3,-666.21,-268.95,-447.91,-312.76
37,Net Cash Per Share,-1.29,-0.98,-1.04,-0.75,-0.63,-0.61,-0.84,-0.35,-0.55,-
38,Filing Date Shares Outstanding,809.46,809.46,809.46,809.46,809.46,809.46,809.46,809.46,809.46,809.46
39,Total Common Shares Outstanding,809.46,809.46,809.46,809.46,809.46,809.46,809.46,809.46,809.46,809.46
40,Working Capital,-197.88,-165.02,965.28,539.8,739.67,868.49,736.18,741.74,722.16,486.43
41,Book Value Per Share,1.22,1.25,1.24,1.24,1.70,1.66,1.67,1.63,1.51,1.34
42,Tangible Book Value,984.38,1013,999.48,999.23,1371,1344,1350,1314,1223,1085
43,Tangible Book Value Per Share,1.22,1.25,1.23,1.23,1.69,1.66,1.67,1.62,1.51,1.34
44,Buildings,-,242.05,-,242.42,-,242.42,-,242.42,-,84.12
45,Machinery,-,27.47,-,25.82,-,25.57,-,21,-,17.99
46,Construction In Progress,-,1021,-,-,-,-,-,-,-,143.21
47,Order Backlog,8152,-,8553,-,6718,-,4083,-,3349,-
