,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,39.83,30.7,30.66,63.56,53.03,62.78,100.17,84.84,108.77,182.12
1,Short-Term Investments,-,0.88,-,0.68,-,0.53,-,0.82,-,6.9
2,Cash & Short-Term Investments,39.83,31.58,30.66,64.23,53.03,63.31,100.17,85.66,108.77,189.02
3,Cash Growth,29.91%,-50.83%,-42.18%,1.46%,-47.06%,-26.09%,-7.90%,-54.68%,-,-
4,Accounts Receivable,93.3,57.14,74.09,58.04,87.77,71.51,102.24,105.53,138.58,60.27
5,Other Receivables,10.47,10.7,7.65,8.28,15.36,11.28,5.96,5.5,-,-
6,Receivables,103.77,67.84,81.74,66.32,103.13,82.79,108.2,111.02,138.58,60.27
7,Prepaid Expenses,4.58,2.19,5.11,2.19,13.2,8.8,4.9,30.32,17.23,2.12
8,Other Current Assets,38.04,18.73,15.82,10.39,7.05,22.83,24.95,29.23,20.1,4.42
9,Total Current Assets,186.22,120.35,133.34,143.13,176.41,177.72,238.23,256.24,284.68,255.82
10,"Property, Plant & Equipment",8.32,11.51,11.37,8.65,7.32,7.21,7.45,9.21,8.32,1.61
11,Long-Term Investments,0.13,-,-,-,-,-,-,-,-,-
12,Long-Term Deferred Tax Assets,7.35,7.52,0.85,0.65,0.48,0.27,0.14,0.3,0.05,-
13,Other Long-Term Assets,131.72,130.4,138.94,129.17,96.83,82.55,35.22,0.69,4.56,0.14
14,Total Assets,333.73,269.77,284.49,281.59,281.04,267.75,281.03,266.44,297.61,257.58
15,Accounts Payable,119.52,58.83,14.14,18.39,15.52,8.34,17.69,11.31,27.92,6.64
16,Accrued Expenses,-,-,-,-,4.17,3.18,2.85,1.89,-,4.21
17,Short-Term Debt,6.53,6.7,6.87,-,-,-,-,-,-,-
18,Current Portion of Leases,0.77,0.71,0.67,0.44,1.09,1.29,1.31,1.53,1.6,0.47
19,Current Income Taxes Payable,-,-,-,-,-,-,-,-,1.78,0.11
20,Current Unearned Revenue,-,-,0.82,3.82,4.35,4.31,1.8,0.94,0.86,-
21,Other Current Liabilities,12.57,10.12,14.86,13.18,8.77,7.3,6.48,7.12,14.87,10.26
22,Total Current Liabilities,139.39,76.37,37.35,35.83,33.89,24.42,30.13,22.79,47.04,21.69
23,Long-Term Leases,2.44,2.72,2.98,-,-,0.44,1.08,1.72,5.94,0.28
24,Long-Term Deferred Tax Liabilities,0.06,0.06,0.04,0.02,-,-,0.1,0.23,-,0.1
25,Other Long-Term Liabilities,-,-,-,-,-,-,-,0.23,-,-
26,Total Liabilities,141.89,79.14,40.38,35.85,33.89,24.86,31.31,24.97,52.97,22.06
27,Common Stock,10,10,10,10,10,10,10,10,10,10
28,Additional Paid-In Capital,91.37,91.37,91.37,91.37,91.37,91.37,91.37,91.37,91.37,91.37
29,Retained Earnings,90.48,89.25,142.74,144.36,145.76,141.5,148.33,140.08,143.24,134.13
30,Comprehensive Income & Other,0,0.01,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02
31,Shareholders' Equity,191.85,190.63,244.11,245.75,247.15,242.89,249.72,241.47,244.63,235.52
32,Total Liabilities & Equity,333.73,269.77,284.49,281.59,281.04,267.75,281.03,266.44,297.61,257.58
33,Total Debt,9.73,10.13,10.52,0.44,1.09,1.73,2.39,3.25,7.54,0.75
34,Net Cash (Debt),30.1,21.45,20.14,63.79,51.94,61.58,97.78,82.41,101.23,188.27
35,Net Cash Growth,49.44%,-66.37%,-61.22%,3.59%,-46.88%,-25.27%,-3.41%,-56.23%,-,-
36,Net Cash Per Share,0.03,0.02,0.02,0.06,0.05,0.06,0.10,0.08,0.10,0.22
37,Filing Date Shares Outstanding,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
38,Total Common Shares Outstanding,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
39,Working Capital,46.83,43.98,95.98,107.3,142.52,153.3,208.1,233.44,237.64,234.13
40,Book Value Per Share,0.19,0.19,0.24,0.25,0.25,0.24,0.25,0.24,0.24,0.24
41,Tangible Book Value,191.85,190.63,244.11,245.75,247.15,242.89,249.72,241.47,244.63,235.52
42,Tangible Book Value Per Share,0.19,0.19,0.24,0.25,0.25,0.24,0.25,0.24,0.24,0.24
43,Machinery,-,8.83,-,8.18,-,4.6,-,4.59,-,2.1
44,Leasehold Improvements,-,4.3,-,4.4,-,4.4,-,4.23,-,0.14
