,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,98,73,85,92,98,112,117,130,145,130,1980
1,Market Cap Growth,-20.65%,-20.65%,-13.27%,-17.86%,-16.24%,-13.85%,-19.31%,0%,-92.68%,-,-
2,Enterprise Value,68,52,65,28,46,50,19,48,44,-51,1940
3,Last Close Price,0.10,0.07,0.09,0.09,0.10,0.11,0.12,0.13,0.14,0.13,1.98
4,PE Ratio,-,-1.40,-,-,-,-43.44,-,25.54,-,8.46,71.61
5,PS Ratio,0.24,0.18,0.36,0.49,0.47,0.61,0.52,0.40,0.41,0.49,8.07
6,PB Ratio,0.51,0.38,0.45,0.38,0.40,0.45,0.48,0.52,0.60,0.53,8.41
7,P/TBV Ratio,0.38,0.38,0.45,0.38,0.40,0.45,0.48,0.52,0.60,0.53,8.41
8,P/FCF Ratio,2.46,1.83,-7.82,-,2.30,-,2.12,4.00,-,-,39.93
9,P/OCF Ratio,1.82,1.82,-8.54,-,2.15,-,2.11,3.71,-,-,39.84
10,EV/Sales Ratio,0.17,0.13,0.27,0.15,0.22,0.28,0.09,0.15,0.12,-,7.90
11,EV/EBITDA Ratio,-,-1.15,-,4.27,5.10,-13.31,-,6.60,-,-,38.76
12,EV/EBIT Ratio,-,-1.10,-,7.34,7.26,-8.24,-,9.70,-,-,39.02
13,EV/FCF Ratio,1.71,1.30,-5.96,-,1.08,-,0.35,1.46,-,-,39.12
14,Debt / Equity Ratio,0.05,0.05,0.05,0.04,0.00,0.00,0.01,0.01,0.01,0.03,0.00
15,Debt / FCF Ratio,0.24,0.24,-0.93,-,0.01,-,0.03,0.07,-,-,0.02
16,Return on Capital Employed (ROCE),-,-24.02%,-,1.55%,2.58%,-2.48%,-,1.95%,-,12.12%,21.07%
17,Earnings Yield,-53.33%,-71.59%,-64.83%,-3.28%,2.91%,-2.30%,1.22%,3.92%,4.10%,11.82%,1.40%
18,FCF Yield,40.61%,54.51%,-12.80%,32.73%,43.56%,0.05%,47.20%,25.00%,-49.79%,0.94%,2.50%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-17.12%,-33.33%,-,
20,Total Shareholder Return,-,-,-,-,-,-,-,-17.12%,-33.33%,-,
