,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3750,3422,3037,3777,4686,3840,3863,4089,4341,3989,4494,5409,6408,5499,-,-,-,-,-,-
1,Market Cap Growth,-10.89%,-10.89%,-21.39%,-7.63%,7.95%,-3.74%,-14.03%,-24.42%,-32.26%,-27.46%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3429,3042,2671,3395,4305,3387,3083,3309,3205,2930,3468,5386,6385,5476,-,-,-,-,-,-
3,Last Close Price,11.30,10.31,9.15,11.28,13.99,11.47,11.53,12.10,12.85,11.81,13.30,15.78,18.70,15.98,-,-,-,-,-,-
4,PE Ratio,26.97,24.65,17.77,23.80,29.61,27.66,28.98,22.68,19.75,14.04,12.30,14.10,15.94,15.59,-,-,-,-,-,-
5,PS Ratio,2.22,2.03,1.74,2.18,2.62,2.14,2.09,2.06,2.07,1.83,2.00,2.61,3.38,3.33,-,-,-,-,-,-
6,PB Ratio,1.67,1.52,1.35,1.69,2.13,1.79,1.84,1.97,2.09,1.96,2.25,2.71,3.33,2.86,-,-,-,-,-,-
7,P/TBV Ratio,1.58,1.58,1.41,1.76,2.22,1.88,1.93,2.03,2.15,2.02,2.31,2.78,3.43,2.94,-,-,-,-,-,-
8,P/FCF Ratio,-,-454.71,-32.94,-,-13.62,-,-,-,-,19.08,-,-,20.58,41.68,-,-,-,-,-,-
9,P/OCF Ratio,5.75,5.75,7.80,-,641.91,-,-655.91,-,23.43,11.22,10.72,12.86,15.18,25.74,-,-,-,-,-,-
10,EV/Sales Ratio,2.04,1.81,1.53,1.96,2.40,1.89,1.67,1.66,1.52,1.35,1.55,2.60,3.37,3.31,-,-,-,-,-,-
11,EV/EBITDA Ratio,11.97,10.75,8.74,11.11,14.96,14.15,13.34,12.36,10.11,7.68,7.36,10.85,12.25,11.56,-,-,-,-,-,-
12,EV/EBIT Ratio,21.02,18.12,13.85,18.03,24.91,26.74,25.90,20.50,15.15,10.38,9.24,13.18,14.45,13.84,-,-,-,-,-,-
13,EV/FCF Ratio,-455.71,-404.32,-28.98,-,-12.51,-,-,-,-,14.02,-,-,20.51,41.50,-,-,-,-,-,-
14,Debt / Equity Ratio,-,-,0.02,0.04,0.00,-,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.02,0.04,0.04,0.04,0.06,-
15,Debt / EBITDA Ratio,-,-,0.22,0.31,0.01,-,0.01,0.01,0.01,-,0.01,0.01,0.01,0.00,0.05,0.07,0.11,0.11,0.22,-
16,Debt / FCF Ratio,-,-,-0.57,-,-0.01,-,-,-,-,-,-,-,0.01,0.02,-,-,0.30,0.33,0.46,-
17,Asset Turnover,0.43,0.49,0.47,0.60,0.60,-,-,0.68,0.72,0.84,0.91,-,1.25,-,-,1.21,1.29,-,-,
18,Inventory Turnover,9.73,9.99,10.31,9.22,10.72,11.30,-,-,9.88,10.65,12.08,12.95,-,11.20,-,-,11.36,13.06,-,-
19,Quick Ratio,0.48,0.48,0.54,0.75,0.79,1.05,1.28,-,1.24,1.98,2.25,2.25,3.62,3.62,1.24,-,1.27,1.27,1.10,-
20,Current Ratio,0.72,0.72,0.70,0.96,0.98,1.31,1.53,-,1.55,2.30,2.56,2.56,4.14,4.14,1.94,-,1.79,1.79,1.48,-
21,Return on Equity (ROE),1.64%,6.75%,6.01%,10.78%,7.79%,4.89%,6.35%,7.61%,7.10%,14.51%,14.79%,-,32.46%,41.80%,46.69%,27.85%,29.92%,-,-,
22,Return on Assets (ROA),1.31%,2.35%,2.68%,6.29%,3.70%,-,-,3.00%,3.33%,6.61%,7.11%,-,18.20%,-,-,14.20%,15.08%,-,-,
23,Return on Capital (ROIC),2.07%,3.55%,3.99%,9.23%,5.16%,3.39%,2.47%,4.14%,4.48%,8.84%,9.01%,-,22.19%,28.97%,32.04%,18.08%,19.24%,-,-,
24,Return on Capital Employed (ROCE),7.07%,7.27%,8.42%,8.24%,7.67%,5.74%,5.50%,-,9.91%,13.57%,18.34%,19.96%,22.39%,20.05%,32.36%,-,21.48%,14.38%,8.33%,-
25,Earnings Yield,3.70%,4.06%,5.63%,4.20%,3.38%,3.62%,3.45%,4.41%,5.06%,7.12%,8.13%,7.09%,6.27%,6.42%,-,-,-,-,-,-
26,FCF Yield,-0.20%,-0.22%,-3.04%,-7.02%,-7.34%,-13.63%,-10.16%,-7.59%,-2.47%,5.24%,6.40%,5.53%,4.86%,2.40%,-,-,-,-,-,-
27,Dividend Yield,0.87%,-,-,-,0.71%,-,-,-,0.78%,-,-,-,1.60%,-,-,-,-,-,-,-
28,Payout Ratio,24.87%,2.11%,89.39%,1.71%,0.00%,-,130.10%,-,-,-,45.81%,45.81%,32.35%,14.29%,0.32%,0.32%,0.41%,0.41%,44.07%,102.11%
29,Buyback Yield / Dilution,0.02%,6.18%,-7.41%,-1.19%,1.96%,-0.78%,2.81%,-0.02%,0.65%,-18.69%,-32.30%,-32.30%,-30.46%,-14.88%,-3.07%,-0.30%,-,-,-,-
30,Total Shareholder Return,0.89%,6.18%,-7.41%,-1.19%,2.67%,-0.78%,2.81%,-0.02%,1.43%,-18.69%,-32.30%,-32.30%,-28.86%,-14.88%,-3.07%,-0.30%,-,-,-,-
