,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,388.21,424.24,394.71,461.86,450.75,411.38,452.22,470.06,495.97,561.56,561.56,551.28,552.55,390.89,390.89,311.98,311.98,271.45,256.91
1,Other Revenue,-6.13,6.13,-,15.72,-8.31,8.31,-,12.33,-5.59,2.79,2.79,6.84,2.1,1.32,1.32,1.6,1.6,1.67,3.29
2,Revenue,382.08,430.36,394.71,477.58,442.44,419.69,452.22,482.39,490.39,564.35,564.35,558.12,554.65,392.21,392.21,313.58,313.58,273.11,260.19
3,Revenue Growth (YoY),-13.64%,2.54%,-12.72%,-1.00%,-9.78%,-25.63%,-19.87%,-13.57%,-11.59%,43.89%,43.89%,77.98%,76.88%,43.61%,50.74%,-,-,-,-
4,Cost of Revenue,341.88,358,335.17,372.36,364.77,363.27,406.4,404.6,422.84,463.7,463.7,412.55,383.64,260.69,260.69,227.61,227.61,224.03,213.11
5,Gross Profit,40.21,72.36,59.54,105.22,77.67,56.42,45.82,77.79,67.54,100.65,100.65,145.57,171.01,131.52,131.52,85.97,85.97,49.08,47.09
6,"Selling, General & Admin",17.1,18.79,14.03,19.33,18.9,12.4,11.51,18.13,14.35,12.74,12.74,11.61,18.79,13.13,13.13,11.7,11.7,7.83,7.3
7,Research & Development,12.31,14.9,10.82,15.61,16.17,11.4,12.32,15.37,16.48,16.32,16.32,18.29,16.96,13.16,13.16,12.14,12.14,7.62,8.42
8,Other Operating Expenses,-7.81,5.73,-0.92,-10.14,-1.17,5.08,1.44,9.77,1.82,0.64,0.64,10.95,6.09,0.73,0.73,3.18,3.18,2.52,2.64
9,Operating Expenses,21.39,39.59,23.44,25.02,33.92,28.11,25.28,43.75,31.39,29.97,29.97,40.69,41.97,27.55,27.55,27.31,27.31,17.77,18.3
10,Operating Income,18.81,32.77,36.1,80.2,43.75,28.31,20.54,34.04,36.15,70.68,70.68,104.87,129.04,103.97,103.97,58.66,58.66,31.31,28.79
11,Interest Expense,-,-1.15,-,-0,-,-,-,-,-,-,-,-0.02,-0.1,-0.19,-0.19,-0.32,-0.32,-0.37,-0.4
12,Interest & Investment Income,1.21,1.95,1.35,3.1,1.57,8.81,5.57,4.18,3.8,4.75,4.75,1.49,0.92,0.12,0.12,0.04,0.04,0.02,0.02
13,Currency Exchange Gain (Loss),-0.04,0.04,-,0.08,-0.02,0.02,-,-0.34,0.08,-0.04,-0.04,0.04,-0,0.02,0.02,-,-,-,-
14,Other Non Operating Income (Expenses),0.66,-0.97,0.7,-0.19,-3.5,4.17,0.01,-10.77,1.27,4.33,4.33,-0.97,-1.28,1.2,1.2,-0.05,-0.05,0.01,0.03
15,EBT Excluding Unusual Items,20.64,32.64,38.15,83.19,41.79,41.32,26.12,27.11,41.29,79.72,79.72,105.41,128.57,105.13,105.13,58.33,58.33,30.96,28.44
