,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,168.56,337.8,332.73,361.03,110.46,195.11,-,370.68,725.05,420.04,420.04,427.52,427.52,46.03,-,57.49,57.49,49.82,-
1,Short-Term Investments,-,-,22.15,21.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,152.46,94.02,90.68,120.48,270.92,260.18,-,411.68,411.14,641.57,641.57,601.13,601.13,-,-,-,-,-,-
3,Cash & Short-Term Investments,321.02,431.82,445.56,503.47,381.38,455.3,782.36,782.36,1136,1062,1062,1029,1029,46.03,57.49,57.49,57.49,49.82,-
4,Cash Growth,-15.83%,-5.16%,-43.05%,-35.65%,-66.43%,-57.11%,-26.30%,-23.94%,10.45%,2206.56%,1746.72%,1689.38%,1689.38%,-7.62%,-,-,-,-,-
5,Accounts Receivable,288.79,271.1,369.47,365.07,476.99,471.31,-,184.2,206.56,344.94,344.94,157.86,157.86,251.97,-,204.59,204.59,160.35,-
6,Other Receivables,0.84,0.99,0.68,0.56,0.61,0.75,-,4.7,4.06,1.43,1.43,0.56,0.56,0.01,-,0.87,0.87,0.42,-
7,Receivables,289.63,334.19,370.15,419.4,477.6,472.05,-,220.56,210.62,346.38,346.38,158.41,158.41,251.98,-,205.46,205.46,160.77,-
8,Inventory,149.04,124.8,153.11,137.63,140.26,118.03,-,163.38,164.18,153.57,153.57,132.84,132.84,141.08,-,80.17,80.17,59.23,-
