,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,96.54,150.83,86.54,140.38,77.37,137.15,76.52,116.55,66.21
1,Revenue Growth (YoY),11.55%,7.44%,11.85%,2.36%,1.12%,17.67%,15.57%,-,-
2,Cost of Revenue,49.05,67,43.88,63.25,37.69,62.61,37.44,51.79,31.35
3,Gross Profit,47.49,83.83,42.66,77.13,39.69,74.55,39.08,64.77,34.85
4,"Selling, General & Admin",28.72,42.21,22.51,35.85,26.09,31.36,20.08,31.43,18.48
5,Operating Expenses,28.72,42.21,22.51,35.85,26.09,31.36,20.08,31.43,18.48
6,Operating Income,18.77,41.61,20.15,41.28,13.6,43.18,19,33.34,16.37
7,Interest Expense,-6.57,-5.91,-5.81,-5.53,-5.01,-4.43,-3.8,-3.6,-3.64
8,Interest & Investment Income,1.74,1.56,1.71,0.72,0.28,0.06,0.09,0.13,0.06
9,Currency Exchange Gain (Loss),0.11,-1.16,2.67,3.78,5.02,-,-,-0.14,0.14
10,Other Non Operating Income (Expenses),6.25,4.95,3.77,6.56,3.74,3.83,1.18,4.66,0.78
11,EBT Excluding Unusual Items,20.31,41.06,22.49,46.82,17.63,42.65,16.46,34.39,13.72
12,Gain (Loss) on Sale of Investments,0.03,-0.19,0.03,-0,-,-,-,-,-
13,Legal Settlements,-,-,-,-,-,0.36,-,-,-
14,Other Unusual Items,-,-,-,-,-,-,-,-0.15,0.54
15,Pretax Income,20.34,40.87,22.53,46.82,17.63,43,16.46,34.24,14.26
16,Income Tax Expense,1.7,7.64,2.07,9.03,2.42,6.6,2.17,4.73,2.75
17,Earnings From Continuing Operations,18.63,33.23,20.46,37.79,15.21,36.4,14.29,29.5,11.51
18,Minority Interest in Earnings,-0.19,-0.39,-0.17,-0.42,-0.15,-0.4,-0.15,-0.36,-0.13
19,Net Income,18.44,32.84,20.29,37.37,15.07,36,14.13,29.14,11.38
20,Net Income to Common,18.44,32.84,20.29,37.37,15.07,36,14.13,29.14,11.38
21,Net Income Growth,-9.10%,-12.13%,34.65%,3.80%,6.59%,23.56%,24.21%,-,-
22,Shares Outstanding (Basic),480,483,483,483,476,366,366,366,366
23,Shares Outstanding (Diluted),480,483,483,483,476,366,366,366,366
24,Shares Change (YoY),-0.69%,0.12%,1.48%,32.00%,30.24%,-,-,-,-
25,EPS (Basic),0.04,0.07,0.04,0.08,0.03,0.10,0.04,0.08,0.03
26,EPS (Diluted),0.04,0.07,0.04,0.08,0.03,0.10,0.04,0.08,0.03
27,EPS Growth,-8.47%,-12.24%,32.69%,-21.36%,-18.15%,23.56%,24.21%,-,-
28,Free Cash Flow,19.25,-30.82,-43.7,-49.36,22.95,0.12,20.82,5.99,18.39
29,Free Cash Flow Per Share,0.04,-0.06,-0.09,-0.10,0.05,0.00,0.06,0.02,0.05
30,Operating Margin,19.44%,27.59%,23.28%,29.41%,17.57%,31.49%,24.83%,28.60%,24.73%
31,Profit Margin,19.10%,21.77%,23.44%,26.62%,19.47%,26.25%,18.47%,25.00%,17.19%
32,Free Cash Flow Margin,19.94%,-20.43%,-50.50%,-35.16%,29.66%,0.09%,27.21%,5.14%,27.78%
33,EBITDA,28.98,44.84,27.58,44.94,20.04,48.53,23.54,38.57,20.28
34,D&A For EBITDA,10.22,3.23,7.43,3.66,6.45,5.35,4.54,5.23,3.91
35,EBIT,18.77,41.61,20.15,41.28,13.6,43.18,19,33.34,16.37
