,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,667,904,962,508,541,454,-,-,-,-
1,Market Cap Growth,78.10%,78.10%,77.68%,11.70%,-,-,-,-,-,-
2,Enterprise Value,982,1192,1171,668,610,605,-,-,-,-
3,Last Close Price,1.38,1.87,1.95,0.99,1.06,0.89,-,-,-,-
4,PE Ratio,12.07,16.41,16.44,8.15,9.13,7.60,-,-,-,-
5,PS Ratio,2.50,3.40,3.68,2.07,2.20,1.81,-,-,-,-
6,PB Ratio,1.69,2.27,2.14,1.25,1.28,1.16,-,-,-,-
7,P/TBV Ratio,2.66,2.66,2.42,1.43,1.45,1.34,-,-,-,-
8,P/FCF Ratio,-,-72.72,-,-,-,16.82,-,-,-,-
9,P/OCF Ratio,11.57,11.57,14.97,9.97,8.32,4.95,-,-,-,-
10,EV/Sales Ratio,3.69,4.49,4.48,2.73,2.48,2.41,-,-,-,-
11,EV/EBITDA Ratio,11.52,15.03,14.68,8.53,8.31,7.53,-,-,-,-
12,EV/EBIT Ratio,15.13,18.38,17.21,10.07,9.84,9.09,-,-,-,-
13,EV/FCF Ratio,-78.98,-95.92,-,-,-,22.38,-,-,-,-
14,Debt / Equity Ratio,0.90,0.90,0.83,0.79,0.60,0.51,0.62,0.80,0.72,-
15,Debt / FCF Ratio,-,-28.85,-,-,-,7.49,6.34,5.36,4.83,-
16,Return on Capital Employed (ROCE),12.16%,12.16%,9.78%,10.22%,10.58%,12.39%,26.86%,26.36%,29.87%,-
17,Earnings Yield,8.26%,6.09%,6.08%,12.27%,10.95%,13.16%,-,-,-,-
18,FCF Yield,-1.86%,-1.38%,-8.53%,-19.81%,-5.51%,5.95%,-,-,-,-
19,Buyback Yield / Dilution,0.28%,0.69%,-0.12%,-1.48%,-32.00%,-30.24%,-,-,-,-
20,Total Shareholder Return,3.18%,0.69%,-0.12%,-1.48%,-32.00%,-30.24%,-,-,-,-
