,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,43.41,78.63,104.24,85.62,116.62,12.61,37.7,29.78,-
1,Trading Asset Securities,0.86,0.83,1.02,0.98,-,-,-,-,-
2,Cash & Short-Term Investments,44.27,79.46,105.25,86.6,116.62,12.61,37.7,29.78,-
3,Cash Growth,-57.94%,-8.25%,-9.75%,586.83%,209.32%,-57.65%,-,-,-
4,Accounts Receivable,184.54,200.8,146.55,171.25,131.76,147.92,116.72,132.74,-
5,Other Receivables,2.97,7.92,11.57,8.92,1.84,0.91,1.85,2.44,-
6,Receivables,187.51,208.72,158.12,180.16,133.6,148.83,118.57,135.17,-
7,Inventory,29.68,19.12,27.32,17.33,21.58,11.9,11.53,10.03,-
8,Other Current Assets,1.97,1.21,2.36,1.38,2.35,4.65,6.3,7.15,-
9,Total Current Assets,263.44,308.52,293.06,285.48,274.14,177.99,174.1,182.13,-
10,"Property, Plant & Equipment",357.31,358.05,228.26,176.72,149.55,92.36,131.25,72.69,-
11,Other Intangible Assets,50.75,44.11,45.22,39.66,43.98,38.89,46.52,41.2,-
12,Long-Term Deferred Tax Assets,0.74,0.9,0.85,0.76,0.85,0.72,1.13,1.09,-
13,Long-Term Deferred Charges,34.03,36.43,27.52,29.36,21.11,22.45,9.21,9.91,-
14,Other Long-Term Assets,83.42,75.05,144.89,135.71,76.95,84.35,12.75,30.55,-
15,Total Assets,789.68,823.06,739.78,667.69,566.57,416.76,374.95,337.56,-
16,Accounts Payable,29.54,26.04,21.75,20.77,21.05,25.02,16.72,19.05,-
17,Accrued Expenses,5.19,11.46,4.99,17.88,8.92,13.34,3.63,10.67,-
18,Short-Term Debt,1.58,3.69,1.26,-,0.23,3.82,115,115,-
19,Current Portion of Long-Term Debt,210.23,112.4,70.59,81.88,51.78,113.33,7.94,-,-
20,Current Portion of Leases,1.14,4.13,3.54,3.46,0.54,1.34,1.57,1.55,-
21,Current Income Taxes Payable,11.08,13.78,7.66,14.56,8.67,7.48,4.34,6.59,-
22,Current Unearned Revenue,2.04,1.4,0.42,0.49,2.4,0.51,1.03,0.74,-
23,Other Current Liabilities,32.16,18.43,28.29,9.89,14.81,20.46,26.14,17.52,-
24,Total Current Liabilities,292.96,191.32,138.49,148.92,108.4,185.29,176.38,171.12,-
25,Long-Term Debt,116.53,214.32,215.7,133.62,120.24,14.21,18.61,-,-
26,Long-Term Leases,4.37,3.39,4.88,6.67,-,-,0.54,1.34,-
27,Long-Term Deferred Tax Liabilities,5.14,5.03,4.93,5.12,2.37,2.28,0.85,0.81,-
28,Total Liabilities,419,414.05,364,294.33,231,201.78,196.38,173.27,-
29,Common Stock,3.95,3.95,3.95,3.95,3.95,0,0,0,-
30,Additional Paid-In Capital,101.42,101.42,101.42,101.42,101.42,-,-,-,-
31,Retained Earnings,257.32,256.44,223.61,221.14,183.77,168.71,-,118.57,-
32,Comprehensive Income & Other,4.64,43.84,43.84,43.84,43.84,43.84,176.55,43.84,-
33,Total Common Equity,367.34,405.66,372.82,370.36,332.99,212.55,176.55,162.41,-
34,Minority Interest,3.35,3.35,2.97,3,2.58,2.43,2.03,1.88,-
35,Shareholders' Equity,370.68,409.01,375.78,373.35,335.57,214.98,178.58,164.29,-
36,Total Liabilities & Equity,789.68,823.06,739.78,667.69,566.57,416.76,374.95,337.56,-
37,Total Debt,333.84,337.92,295.98,225.64,172.79,132.69,143.66,117.88,-
38,Net Cash (Debt),-289.57,-258.46,-190.73,-139.03,-56.17,-120.08,-105.96,-88.11,-
39,Net Cash Per Share,-0.60,-0.53,-0.39,-0.29,-0.12,-0.33,-0.29,-0.24,-
40,Filing Date Shares Outstanding,483.44,483.44,483.44,483.44,483.44,365.8,365.8,365.8,365.8
41,Total Common Shares Outstanding,483.44,483.44,483.44,483.44,483.44,365.8,365.8,365.8,365.8
42,Working Capital,-29.52,117.2,154.57,136.56,165.74,-7.3,-2.28,11.01,-
43,Book Value Per Share,0.76,0.84,0.77,0.77,0.69,0.58,0.48,0.44,-
44,Tangible Book Value,316.59,361.54,327.6,330.7,289.01,173.66,130.03,121.21,-
45,Tangible Book Value Per Share,0.65,0.75,0.68,0.68,0.60,0.47,0.36,0.33,-
46,Buildings,-,52.2,-,50.95,-,37.31,47.13,47.26,-
47,Machinery,-,148.29,-,95.36,-,93.21,83.25,81.82,-
48,Construction In Progress,-,254.34,-,114.88,-,38.97,78.48,17.67,-
49,Leasehold Improvements,-,3.12,-,2.48,-,1.88,0.98,0.98,-
