,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2260,2333,1982,2349,2582,2428,2463,2700,2557,2835,2368,2188,2707,2195,2451,2585,2807,-,-,-,-
1,Market Cap Growth,-3.90%,-3.90%,-19.52%,-13.00%,0.97%,-14.37%,4.01%,23.40%,-5.53%,29.17%,-3.37%,-15.37%,-3.56%,-,-,-,-,-,-,-,-
2,Enterprise Value,1996,1926,1357,1650,1883,1729,1797,1983,1840,2130,1675,1445,1963,1466,1665,2639,2861,-,-,-,-
3,Last Close Price,17.19,17.24,14.65,17.03,18.72,17.60,17.57,19.26,18.30,20.28,17.15,15.58,19.27,15.63,17.45,18.13,19.69,-,-,-,-
4,PE Ratio,29.19,46.27,24.12,27.26,-,20.01,21.73,23.43,22.13,26.26,22.99,20.25,26.32,21.51,21.46,22.09,26.12,-,-,-,-
5,PS Ratio,1.63,1.67,1.51,1.90,2.08,1.98,1.97,2.24,2.06,2.36,2.16,1.99,2.53,1.93,2.01,2.03,2.40,-,-,-,-
6,PB Ratio,1.68,1.57,1.32,1.57,1.76,-,1.78,1.92,1.86,2.06,1.82,1.66,2.11,1.78,2.03,2.12,2.35,-,-,-,-
7,P/TBV Ratio,2.28,2.28,1.86,2.06,2.31,-,2.36,2.56,2.51,2.78,2.39,2.19,2.79,2.15,2.43,2.54,2.83,-,-,-,-
8,P/FCF Ratio,-,-47.77,-,-,-33.18,-,-1144.40,-,20.68,21.04,19.92,27.72,26.74,15.21,-,13.02,16.08,-,-,-,-
9,P/OCF Ratio,34.01,80.02,-,-,149.91,-,16.69,-,11.08,14.09,15.98,19.27,20.34,12.46,12.51,11.84,14.06,-,-,-,-
