,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,233.32,187.56,139.66,254.69,-,198.77,226.48,340.98,340.98,294.43,310.24,416.21,505.04,528.25,608.86,804.77,-,154.52,-,255.66
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,19.8
2,Trading Asset Securities,499.44,551.68,600.34,548.94,-,611.69,568.28,570.41,570.41,580.47,561.98,471.33,337.13,301.21,270.86,36.01,-,62,-,-
3,Cash & Short-Term Investments,732.76,739.24,740,803.63,-,810.46,794.75,911.39,911.39,874.9,872.22,887.53,842.16,829.46,879.72,840.78,-,233.52,275.46,275.46
4,Cash Growth,-,-8.79%,-6.89%,-11.82%,-,-7.37%,-8.88%,2.69%,8.22%,5.48%,-0.85%,5.56%,-,255.20%,219.37%,205.23%,-,-,-,-
5,Accounts Receivable,920.18,815.66,586.17,607.64,-,499.32,498.98,464,464,422.32,454.94,453.64,392.74,436.76,433.49,434.33,-,441.42,-,423.32
6,Other Receivables,15.38,7.61,15.61,3.74,-,15.7,13.9,4.2,4.2,0.39,9.94,0.24,5.75,0.28,5.3,0.01,-,4.69,-,3.79
7,Receivables,935.56,823.27,601.78,611.38,-,515.02,512.87,468.2,468.2,422.72,464.88,453.88,398.49,437.04,438.79,434.34,-,446.11,-,427.11
8,Inventory,216.69,163.5,71.1,63.77,-,49.98,56.85,56.32,56.32,49.45,46.19,40.53,39.46,38.35,36.55,39.26,-,35.56,-,40.55
9,Prepaid Expenses,14.03,13.6,13.29,12.15,-,7.47,7.09,4.8,4.8,3.59,5.65,8.24,-,4.76,-,4.67,-,-,-,-
10,Other Current Assets,31.46,27.39,37.39,27,-,14.43,16.71,19.82,19.82,24.81,10.8,14.31,20.25,19.44,9.78,10.04,790.93,13.94,-,12.68
11,Total Current Assets,1931,1767,1464,1518,-,1397,1388,1461,1461,1375,1400,1404,1300,1329,1365,1329,790.93,729.13,-,755.79
12,"Property, Plant & Equipment",381.22,356.26,285.29,292.87,-,262.94,262.4,239.08,239.08,233.54,244.93,255.11,185.11,189.68,195.69,162.89,-,163.39,-,165.33
13,Long-Term Investments,-,27.11,-,-,-,-,-,-,-,21.45,21.45,21.45,22.33,22.54,22.65,22.98,-,23.14,-,22.91
14,Goodwill,95.68,95.68,72.37,72.37,-,72.37,72.37,72.37,72.37,72.37,72.37,72.37,-,-,-,-,-,-,-,-
15,Other Intangible Assets,229.49,228.84,195.33,191.56,-,194.04,195.28,196.52,196.52,159.44,160.48,161.53,162.57,145.42,146.37,147.32,-,149.22,-,151.12
16,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,-,-,-,-,-,5.92,-,-,-,-,-,-
17,Long-Term Deferred Tax Assets,11.91,11,9.29,9.48,-,11.09,11.56,9.88,9.88,6.61,6.5,5.11,7.89,8.11,8.26,7.79,-,8.44,-,7.71
18,Long-Term Deferred Charges,24.09,23.36,20.36,19.89,-,12.43,11.43,9.36,9.36,9.59,13.2,16.72,5.7,3.31,4.51,4.86,-,8.13,-,12.41
19,Other Long-Term Assets,-,-,-,-,-,0.01,-,-,-,0.02,-,-,5.99,-,16,-,347.74,-,-,-
20,Total Assets,2673,2509,2046,2104,-,1950,1941,1988,1988,1878,1919,1937,1690,1704,1758,1675,1139,1081,-,1115
21,Accounts Payable,706.61,573.86,403.27,470.06,-,366.24,354.81,405.87,405.87,369.74,366.96,366.86,319.33,351.45,396.6,375.27,-,335.79,-,323.73
22,Accrued Expenses,56.68,67.62,41.53,94.89,-,68.37,38.02,97.37,97.37,66.67,38.45,85.8,47.35,66.65,44.27,81.33,-,63.21,-,87.2
23,Short-Term Debt,25,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80
24,Current Portion of Leases,54.67,49.5,15.5,17.77,-,26.19,23.36,24.93,24.93,39.1,40.04,41.47,18.19,18.75,-,-,-,-,-,-
25,Current Income Taxes Payable,22.08,9.45,13.95,7.46,-,10.41,21.39,7.26,7.26,10.57,26.93,7.66,23.69,10.16,26.61,7.05,-,9.04,-,5.72
26,Current Unearned Revenue,3,6.05,-,1.03,-,0.01,-,0.39,0.39,0.03,0.03,2.42,0.98,1.06,0.05,1.06,-,7.13,-,-
27,Other Current Liabilities,62.61,122.89,59.73,29.08,-,79.48,71.89,51.54,51.54,32.94,66.13,82.63,11.14,11.01,25.91,7.39,439.33,4.96,-,9.24
28,Total Current Liabilities,930.66,856.36,533.98,620.28,-,550.7,509.46,587.36,587.36,519.06,538.54,586.85,420.68,459.09,493.45,472.1,439.33,420.13,-,505.9
29,Long-Term Debt,210,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Long-Term Leases,43.37,27.76,14.95,13.97,-,12.33,21.14,19.85,19.85,49.05,56.24,62.05,28.55,31.59,35.21,-,-,-,-,-
31,Long-Term Unearned Revenue,0.33,-,-,-,-,0.27,0.4,0.53,0.53,0.8,0.93,1.06,1.2,1.33,1.59,-,-,-,-,-
32,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.22,-,-,-,-,-
33,Other Long-Term Liabilities,5.42,6.29,3.89,5.11,-,5.15,5.43,5.27,5.27,5.73,5.73,5.73,6.1,6.1,6.1,9.11,6.99,6.99,-,6.59
34,Total Liabilities,1190,1010,552.82,639.36,-,568.45,536.43,613.01,613.01,574.63,601.44,655.69,456.52,498.11,536.56,481.21,446.32,427.12,-,512.49
35,Common Stock,135.28,135.32,135.32,135.32,-,135.34,135.34,135.34,135.34,134.94,133.34,133.34,133.34,133.34,133.34,133.34,638.43,100,-,100
36,Additional Paid-In Capital,477.06,476.61,475.67,474.31,-,457.57,468.09,464.84,464.84,456.68,444.63,444.63,444.63,444.63,444.63,444.63,-,-,-,-
37,Retained Earnings,778.53,772.23,791.61,767.32,-,699.76,715.17,685.79,685.79,625.66,638.6,608.9,586.43,561.32,569.23,544.73,-,485.81,-,437.27
