,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3163,3156,2584,2233,2876,2497,2904,2952,2436,2755,2782,2961,4038,3888,-,-,-,-,-,-
1,Market Cap Growth,26.38%,26.38%,-11.03%,-24.35%,18.06%,-9.35%,4.39%,-0.31%,-39.66%,-29.15%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2984,3013,2420,2093,2737,2377,2781,2796,2281,2564,2554,2679,3756,3772,-,-,-,-,-,-
3,Last Close Price,47.80,47.77,39.11,33.45,43.09,37.41,43.51,44.03,36.34,41.09,41.50,44.04,60.06,57.84,-,-,-,-,-,-
4,PE Ratio,45.70,46.24,42.10,46.51,70.37,79.83,109.35,80.76,67.88,64.51,61.80,71.39,90.30,84.75,-,-,-,-,-,-
5,PS Ratio,11.30,11.43,9.67,9.17,12.46,12.38,15.62,14.58,12.48,14.52,15.45,18.68,26.26,26.77,-,-,-,-,-,-
6,PB Ratio,4.74,4.76,4.05,3.46,4.52,4.06,4.83,4.84,4.04,4.63,4.71,5.08,7.01,6.91,-,-,-,-,-,-
7,P/TBV Ratio,5.27,5.27,4.53,3.87,5.08,4.60,5.50,5.49,4.42,5.07,5.22,5.63,7.80,7.72,-,-,-,-,-,-
8,P/FCF Ratio,48.93,48.82,44.02,37.08,42.55,121.94,-377.31,-97.99,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,31.65,31.65,24.53,21.44,26.71,28.19,43.56,42.11,50.43,41.54,43.34,-,60.71,69.79,-,-,-,-,-,-
10,EV/Sales Ratio,10.81,10.92,9.06,8.59,11.85,11.78,14.95,13.81,11.68,13.52,14.18,16.90,24.43,25.97,-,-,-,-,-,-
11,EV/EBITDA Ratio,27.46,30.14,28.11,28.15,43.83,57.55,85.91,72.85,66.28,81.78,85.07,103.27,-,104.96,-,-,-,-,-,-
