,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,41.8,32.03,49.38,26.68,38.84,14.56,12.84,44.96,28.55,37.76,8.35,10.35,50.43,25.37,16.31,11.69,-,-,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.51,-,-,-
2,Trading Asset Securities,138.31,112.66,166.8,192.82,155.82,160.52,166.38,147.07,233.72,265.68,333.72,375.57,345.94,198.16,195.95,199.33,-,-,-
3,Cash & Short-Term Investments,180.11,144.69,216.18,219.5,194.67,175.08,179.22,192.02,262.27,303.44,342.07,385.92,396.37,223.53,212.26,217.53,-,-,198.39
4,Cash Growth,-7.48%,-17.35%,20.62%,14.31%,-25.78%,-42.30%,-47.61%,-50.24%,-33.83%,35.75%,61.16%,77.41%,-,-,6.99%,-,-,-,-
5,Accounts Receivable,11.6,13.9,14.07,18.08,9.78,4.77,6.43,10.42,7,13.5,5,5.32,3.47,4.16,5.72,7.75,-,-,-
6,Other Receivables,1.66,1.58,1.5,1.29,1.71,3.2,3.36,1.33,1.93,1.83,2.1,1.59,1.43,1.6,0.76,1.43,-,-,-
7,Receivables,13.26,15.48,15.57,19.37,11.49,7.97,9.79,11.75,8.93,15.33,7.1,6.91,4.9,5.77,6.47,9.18,-,-,-
8,Inventory,35.4,33.72,30.34,26.2,27.93,26.2,28.81,29.41,22.51,23.84,21.04,21.18,16.25,17.22,19.71,16.53,-,-,-
9,Prepaid Expenses,-,0,-,0,-,-,-,0.37,-,-,-,0.02,-,-,-,-,-,-,-
10,Other Current Assets,57.11,33.68,3.81,4.64,3.98,3.45,3.65,4.7,3.85,4,4.5,3.12,7.99,8.24,9.54,9.32,-,-,-
11,Total Current Assets,285.88,227.58,265.9,269.71,238.06,212.69,221.47,238.25,297.56,346.61,374.71,417.14,425.52,254.76,247.98,252.56,-,-,-
12,"Property, Plant & Equipment",311.77,314.87,315.94,319.15,320.45,313.89,317.17,319.82,324.87,279.35,247.21,231.46,202.39,168.45,142.26,117.98,-,-,-
13,Long-Term Investments,30.35,30.27,30.27,30.27,30.1,30.1,30.1,30.1,0.87,20.87,0.87,-,-,-,-,-,-,-,-
14,Other Intangible Assets,64.8,66.52,68.26,70.01,71.75,73.5,73.07,51.31,52.32,53.4,53.62,54.66,55.72,30.8,31.19,31.62,-,-,-
15,Long-Term Deferred Tax Assets,7.17,5.44,4.04,4.38,4.11,1.51,1.49,0.93,1.22,1.73,3.14,4.24,4.44,5.4,5.7,6.69,-,-,-
16,Long-Term Deferred Charges,31.17,27.38,26.84,26.61,25.08,22.3,17.3,34.56,33.2,31.33,28.51,27.16,24.34,44.86,40.64,38.43,-,-,-
17,Other Long-Term Assets,13.32,37.76,66.8,66.84,66.85,66.16,67.84,69.94,57.71,19.01,17,12.12,7.94,4.56,2.56,0.66,-,-,-
18,Total Assets,744.47,709.81,778.04,786.97,756.42,720.16,728.45,744.92,767.75,752.3,725.06,746.78,720.35,508.83,470.33,447.94,-,-,-
19,Accounts Payable,9.45,10.19,19.39,31.93,29.51,26.69,29.33,32.73,44.72,30.41,13.76,32.73,30.06,25.78,29.92,36.65,-,-,-
20,Accrued Expenses,5.32,8.73,4.48,18.85,5.22,7.16,10.07,16.91,5.12,8.93,4.19,14.65,4.51,6.23,4.75,13.43,-,-,-
21,Current Portion of Long-Term Debt,1.32,-,5.71,3.91,4.36,2.62,2.99,26.83,-,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,-,1.61,-,1.78,-,1.7,-,1.67,1.69,2.46,2.43,2.4,-,-,-,-,-,-,-
23,Current Income Taxes Payable,10.38,4.51,12.76,7.98,10.2,2.04,-,0.25,4.06,0.9,2.54,1.34,1.46,0.99,0.45,1.06,-,-,-
24,Current Unearned Revenue,6.77,6.31,2.76,1.2,4.92,7.12,2.54,1.45,2.19,3.6,2.67,0.86,1.5,0.78,1.16,3.89,-,-,-
25,Other Current Liabilities,11.88,3.46,2.3,2.47,1.67,2.34,1.79,1.92,1.19,1.93,1.33,2.2,2.48,6.05,1.82,1.2,-,-,-
26,Total Current Liabilities,45.12,34.81,47.39,68.12,55.88,49.67,46.72,81.77,58.98,48.24,26.92,54.18,40,39.82,38.11,56.23,-,-,-
27,Long-Term Debt,-,-,46.43,46.43,49.01,49.01,50.3,50.3,101.66,101.66,101.67,101.67,101.66,92.92,68.79,47.5,-,-,-
28,Long-Term Leases,0.15,0.3,0.56,1.01,1.47,1.91,2.36,2.85,3.39,5.37,6,6.62,9.61,10.31,10.89,-,-,-,-
29,Long-Term Unearned Revenue,35.63,36.95,38.79,35.28,35.07,18.11,18.48,6.8,7.15,6.9,7.65,8.44,6.1,6.79,4.08,4.56,-,-,-
30,Long-Term Deferred Tax Liabilities,0.3,0.25,0.31,0.26,0.19,0.19,0.19,0.62,1.01,-,-,-,-,-,-,-,-,-,-
31,Total Liabilities,81.2,72.31,133.48,151.11,141.62,118.9,118.05,142.34,172.19,162.17,142.25,170.92,157.37,149.85,121.86,108.3,-,-,-
32,Common Stock,66.06,66.06,66.06,66.06,66.06,66.06,66.06,66.06,66.06,66.06,66.06,66.06,66.06,49.55,49.55,49.55,-,-,-
33,Additional Paid-In Capital,454,448.7,444.42,441.66,436.19,436.19,436.19,436.19,436.19,436.19,436.19,436.19,436.19,259.83,259.83,259.83,-,-,-
34,Retained Earnings,153.47,133.06,141.9,126.96,111.5,97.97,107.11,99.29,93.31,84.42,76.96,70.01,57.1,45.98,35.45,26.62,-,-,-
