,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,923.07,1218,1141,1309,1287,1209,1221,1227,1227,659.45,659.45,601.1,-,-,-
1,Trading Asset Securities,331.96,97.25,95.79,95.22,93.48,93.31,93.6,93.41,93.41,-,-,-,-,-,-
2,Cash & Short-Term Investments,1255,1315,1236,1404,1381,1303,1315,1321,1321,659.45,659.45,601.1,-,-,602.08
3,Cash Growth,-9.10%,0.95%,-5.97%,6.32%,4.54%,97.55%,99.40%,119.71%,-,-,9.53%,-,-,-,-
4,Accounts Receivable,54.15,40.34,53.93,63.85,83.15,39.93,69.34,118.61,118.61,132.13,132.13,109.02,-,-,-
5,Other Receivables,16.72,4.51,7.71,3.66,8.4,8.12,3.57,6.55,6.55,0.42,0.42,11.2,-,-,-
6,Receivables,70.87,44.85,61.64,67.5,91.55,48.05,72.91,125.17,125.17,132.56,132.56,120.22,-,-,-
7,Inventory,167.57,123.67,15.95,10.24,26.37,17.99,13.12,5.86,5.86,10.24,10.24,14.52,-,-,-
8,Prepaid Expenses,-,0.51,-,0.31,-,0.58,-,0.33,0.33,0.7,0.7,0.45,-,-,-
9,Other Current Assets,329.28,199.8,134.96,100.93,108.13,88.14,127.98,120.12,120.12,82.96,82.96,92.28,-,-,-
10,Total Current Assets,1823,1684,1449,1583,1607,1457,1529,1572,1572,885.92,885.92,828.57,-,-,-
11,"Property, Plant & Equipment",50.92,51.8,50.18,54.46,57.17,62.4,67.4,73.3,73.3,90.98,90.98,108.61,-,-,-
12,Long-Term Investments,37.18,38.39,38.46,39.23,51.44,53.56,54.41,54.47,54.47,63.5,63.5,60.08,-,-,-
13,Other Intangible Assets,22.7,22.88,23.06,23.24,23.4,23.59,23.77,23.95,23.95,24.32,24.32,24.68,-,-,-
14,Long-Term Deferred Tax Assets,8.5,7.66,6.07,9.26,16.19,15.95,1.76,1.74,1.74,3.33,3.33,3.83,-,-,-
15,Long-Term Deferred Charges,-,-,-,-,0,0.01,0.03,0.05,0.05,0.09,0.09,0.13,-,-,-
16,Other Long-Term Assets,21.79,21.79,21.81,21.92,22.3,22.01,21.41,0.75,0.75,0.73,0.73,1.39,-,-,-
17,Total Assets,1964,1827,1589,1731,1777,1635,1698,1726,1726,1069,1069,1027,-,-,-
18,Accounts Payable,146.5,155.94,20.56,32.83,48.88,99.51,46.7,67.29,67.29,116.66,116.66,211.05,-,-,-
19,Accrued Expenses,4.54,8.5,21.93,18.43,6.62,10.38,27.58,18.7,18.7,23.33,23.33,23.96,-,-,-
20,Short-Term Debt,207.57,99.18,-,129.87,180,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Leases,1.59,1.61,0.51,0.53,-,-,-,-,-,-,-,-,-,-,-
22,Current Income Taxes Payable,4.6,2.74,-,6.84,11.42,5.08,-,16.31,16.31,26.29,26.29,23.79,-,-,-
23,Current Unearned Revenue,54.46,17.06,7.78,21.17,17.32,9.23,9.69,9.09,9.09,5.5,5.5,22.03,-,-,-
24,Other Current Liabilities,31.07,10.14,9.97,7.63,7.78,7.38,10.3,14.44,14.44,10.05,10.05,11.93,-,-,-
25,Total Current Liabilities,450.33,295.16,60.74,217.3,272.03,131.58,94.27,125.84,125.84,181.83,181.83,292.76,-,-,-
26,Long-Term Leases,1.61,1.88,0.59,0.59,-,-,-,-,-,-,-,-,-,-,-
27,Long-Term Deferred Tax Liabilities,6.47,5.49,5.35,5.69,9.83,10.9,12.01,13.2,13.2,15.54,15.54,17.72,-,-,-
28,Other Long-Term Liabilities,0.53,0.7,0.69,2.85,0.67,0.9,0.65,1.17,1.17,2.5,2.5,1.94,-,-,-
29,Total Liabilities,458.94,303.24,67.36,226.43,282.53,143.38,106.93,140.2,140.2,199.87,199.87,312.43,-,-,-
30,Common Stock,201.6,168,168,168,168,168,120,120,120,90,90,90,-,-,-
31,Additional Paid-In Capital,866.4,900,900,900,900,900,948,948,948,279.65,279.65,279.65,-,-,-
32,Retained Earnings,443.05,456.12,455,435.67,422.25,419.93,518.61,514.82,514.82,496.27,496.27,342.73,-,-,-
33,Comprehensive Income & Other,-6.15,-0.85,-1.74,1.18,4.47,3.7,4.2,3.42,3.42,3.07,3.07,2.49,-,-,-
34,Shareholders' Equity,1505,1523,1521,1505,1495,1492,1591,1586,1586,868.99,868.99,714.87,-,-,565.63
35,Total Liabilities & Equity,1964,1827,1589,1731,1777,1635,1698,1726,1726,1069,1069,1027,-,-,-
36,Total Debt,210.77,102.67,1.1,130.99,180,-,-,-,-,-,-,-,-,-,-
37,Net Cash (Debt),1044,1212,1235,1273,1201,1303,1315,1321,1321,659.45,659.45,601.1,-,-,602.08
38,Net Cash Growth,-13.03%,-6.93%,-6.05%,-3.60%,-9.09%,97.55%,99.40%,119.71%,-,-,9.53%,-,-,-,-
39,Net Cash Per Share,5.19,6.01,6.13,6.32,5.95,6.47,6.52,5.39,6.67,4.36,4.36,3.95,-,-,3.98
40,Filing Date Shares Outstanding,201.6,201.6,201.6,201.6,201.6,201.6,201.6,201.6,201.6,151.2,151.2,152.15,150.42,151.13,151.13
41,Total Common Shares Outstanding,201.6,201.6,201.6,201.6,201.6,201.6,201.6,201.6,201.6,151.2,151.2,152.15,150.42,151.13,151.13
42,Working Capital,1372,1389,1388,1366,1335,1326,1435,1446,1446,704.09,704.09,535.8,-,-,-
43,Book Value Per Share,7.46,7.56,7.55,7.46,7.41,7.40,7.89,7.87,7.87,5.75,5.75,4.70,-,-,3.74
44,Tangible Book Value,1482,1500,1498,1482,1471,1468,1567,1562,1562,844.67,844.67,690.19,-,-,553.53
45,Tangible Book Value Per Share,7.35,7.44,7.43,7.35,7.30,7.28,7.77,7.75,7.75,5.59,5.59,4.54,-,-,3.66
46,Buildings,-,9.69,-,9.69,-,9.69,-,9.69,9.69,320.91,320.91,8.11,-,-,-
47,Machinery,-,312.87,-,317.7,-,319.44,-,320.89,320.89,28.98,28.98,341.66,-,-,-
48,Construction In Progress,-,4.45,-,3,-,1.77,-,0.83,0.83,1.04,1.04,3.32,-,-,-
