,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2530,2248,2327,2162,2933,2883,3069,3539,3532,4345,-,-,-,-,-,-
1,Market Cap Growth,-22.03%,-22.03%,-24.19%,-38.90%,-16.94%,-33.65%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1486,1035,1091,961,1733,1580,1754,2328,2321,3686,-,-,-,-,-,-
3,Last Close Price,12.55,11.15,11.45,10.64,14.44,14.19,15.11,17.20,17.17,21.12,-,-,-,-,-,-
4,PE Ratio,67.24,59.78,64.29,-90.06,-74.17,-93.58,-,27.87,17.66,17.49,-,-,-,-,-,-
5,PS Ratio,0.48,0.43,0.46,0.43,0.61,0.63,0.67,0.72,0.65,0.77,-,-,-,-,-,-
6,PB Ratio,1.68,1.49,1.53,1.42,1.95,1.93,2.06,2.22,2.23,2.74,-,-,-,-,-,-
7,P/TBV Ratio,1.52,1.52,1.55,1.44,1.98,1.96,2.09,2.26,2.26,2.78,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,30.68,71.63,-,29.02,27.82,20.16,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,29.26,44.96,-,23.67,23.52,19.92,-,-,-,-,-,-,-
10,EV/Sales Ratio,0.28,0.20,0.22,0.19,0.36,0.35,0.38,0.48,0.43,0.65,-,-,-,-,-,-
11,EV/EBITDA Ratio,95.92,167.91,-,-,-34.75,-28.02,-,17.99,10.34,11.96,-,-,-,-,-,-
12,EV/EBIT Ratio,1835.01,-,-,-16.14,-21.86,-,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-13.69,-,-,13.64,42.31,-,16.59,18.30,13.25,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.14,0.14,0.07,0.00,0.09,0.12,-,-,-,-,-,-,-,-,-,-
15,Debt / EBITDA Ratio,13.61,130.15,-,-,2.61,5.71,-,-,-,-,-,-,-,-,-,-
16,Debt / FCF Ratio,-,-,-,0.02,3.20,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,2.79,2.81,-,3.41,2.64,3.00,2.18,2.86,3.24,-,5.52,-,-,-,-,
18,Inventory Turnover,53.18,35.99,68.56,-,322.83,201.76,339.86,392.80,446.67,561.54,-,435.40,-,-,-,-
19,Quick Ratio,2.94,2.94,4.61,21.37,6.77,5.41,10.27,14.72,11.49,11.49,4.36,4.36,2.46,-,-,-
20,Current Ratio,4.05,4.05,5.71,23.86,7.29,5.91,11.08,16.22,12.49,12.49,4.87,4.87,2.83,-,-,-
21,Return on Equity (ROE),0.99%,0.29%,-,3.58%,0.62%,-15.33%,0.95%,5.63%,3.02%,46.34%,38.78%,-,-,-,-,
22,Return on Assets (ROA),-0.71%,-1.53%,-,0.89%,-0.13%,-11.96%,-0.72%,-0.46%,-1.11%,-,21.34%,-,-,-,-,
23,Return on Capital (ROIC),-0.81%,-1.66%,-,0.94%,-0.14%,-12.93%,-0.77%,-0.51%,-1.26%,34.32%,28.24%,-,-,-,-,
24,Return on Capital Employed (ROCE),0.04%,-,-,-3.90%,-5.24%,-,-,-,-,-,30.83%,24.92%,25.58%,-,-,-
25,Earnings Yield,1.49%,1.67%,1.56%,-1.11%,-1.35%,-1.07%,-0.78%,3.59%,5.66%,5.72%,-,-,-,-,-,-
26,FCF Yield,-4.29%,-4.83%,-1.72%,3.26%,1.40%,-1.56%,3.45%,3.59%,4.96%,2.31%,-,-,-,-,-,-
27,Dividend Yield,0.66%,-,-,-,0.58%,-,-,-,1.14%,-,-,-,-,-,-,-
28,Payout Ratio,46.78%,450.46%,-,4.10%,-,-,-,-,-,-,-,-,-,-,21.08%,21.08%
29,Buyback Yield / Dilution,5.16%,0.33%,-0.25%,0.09%,17.66%,-1.92%,-33.17%,-33.45%,-60.90%,-31.64%,-0.03%,-0.05%,-,-,-,-
30,Total Shareholder Return,5.82%,0.33%,-0.25%,0.09%,18.24%,-1.92%,-33.17%,-33.45%,-59.76%,-31.64%,-0.03%,-0.05%,-,-,-,-
