,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,1325,1198,1196,1494,1127,1249,932.25,1247,1133,1572,1445,1508,1087,1142,1142
1,Other Revenue,-1.13,1.13,-,2.19,-0.98,0.98,-,1.59,0.44,0.71,0.35,1.67,-0.74,0.37,0.37
2,Revenue,1324,1199,1196,1496,1126,1250,932.25,1248,1133,1573,1445,1510,1087,1142,1142
3,Revenue Growth (YoY),17.61%,-4.06%,28.30%,19.82%,-0.68%,-20.50%,-35.49%,-17.32%,4.30%,37.66%,26.51%,-,-,-,-
4,Cost of Revenue,1310,1197,1173,1477,1119,1321,931.88,1230,1130,1452,1347,1399,1091,1072,1072
5,Gross Profit,13.58,2.86,23.22,18.63,6.86,-71.32,0.37,18.31,3.53,120.21,98.01,111.26,-3.95,70.38,70.38
6,"Selling, General & Admin",16.77,12.64,7.42,9.73,6.69,6.98,5.74,5.64,5.4,10.66,9.93,18.11,7.05,11.67,11.67
7,Research & Development,0.11,0.12,0.13,0.19,0.14,0.14,0.13,0.15,0.13,0.17,0.14,0.42,0.11,0.15,0.15
8,Other Operating Expenses,0.92,1.52,1.27,1.74,-1.04,1.66,-0.91,16.43,5.24,3,-0.77,9.15,-4.91,2.16,2.16
9,Operating Expenses,18.99,13.34,8.44,12.37,7.74,8.41,5.3,21.54,9.73,11.5,8.56,31.76,0.25,14.11,14.11
10,Operating Income,-5.41,-10.48,14.78,6.25,-0.87,-79.73,-4.92,-3.23,-6.2,108.72,89.45,79.5,-4.19,56.28,56.28
11,Interest Expense,-,-0.18,-,-0.71,-,-,-,-,-,-,-,-,-,-,-
12,Interest & Investment Income,10.39,9.84,9.34,8.26,9.28,8.27,10.05,8.49,6.69,5.19,6.18,6.24,9.62,5.95,5.95
13,Currency Exchange Gain (Loss),0.06,-0.06,-,-0.01,-0.29,0.29,-,-,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),-0.27,-0.02,-0.42,0.14,0.41,-0.48,0.11,-0.6,-0.36,0.58,0.17,2.85,-3.4,0.5,0.5
15,EBT Excluding Unusual Items,4.76,-0.9,23.71,13.94,8.53,-71.65,5.24,4.65,0.13,114.48,95.79,88.6,2.02,62.72,62.72
16,Gain (Loss) on Sale of Investments,0.66,0.91,-0.2,-0.61,-2.37,-0.65,0.45,0.41,0.2,-0,-,-0.16,-0.96,0.56,0.56
17,Gain (Loss) on Sale of Assets,0.94,0.04,0.07,0.02,-,0.31,0.08,1.38,0.7,0.28,0.22,0.07,0.24,0.15,0.15
18,Asset Writedown,-0.34,0.11,-0.11,3.14,-2.78,0.25,-0.25,-0.3,-0.3,0.03,-,0.13,-0.13,-,-
19,Other Unusual Items,-0.43,0.66,0.95,-0.14,-,-,-,22.06,11.03,-,-,5.56,-3.5,1.75,1.75
20,Pretax Income,5.6,0.82,24.42,16.35,3.37,-71.74,5.53,28.2,11.76,114.79,96.01,94.2,-2.34,65.18,65.18
21,Income Tax Expense,1.87,-0.3,5.08,2.93,1.06,-12.67,1.73,6.04,2.49,23.04,19.25,23.49,-1.27,13.01,13.01
22,Net Income,3.73,1.12,19.33,13.42,2.31,-59.08,3.79,22.16,9.27,91.75,76.77,70.71,-1.07,52.18,52.18
23,Net Income to Common,3.73,1.12,19.33,13.42,2.31,-59.08,3.79,22.16,9.27,91.75,76.77,70.71,-1.07,52.18,52.18
24,Net Income Growth,61.12%,-,409.63%,-39.43%,-75.04%,-,-95.06%,-68.66%,-,75.85%,47.14%,-,-,-,-
25,Shares Outstanding (Basic),201,202,202,202,202,201,202,245,198,151,151,152,150,151,151
26,Shares Outstanding (Diluted),201,202,202,202,202,201,202,245,198,151,151,152,150,151,151
27,Shares Change (YoY),-0.33%,0.25%,-0.09%,-17.66%,1.92%,33.17%,33.45%,60.90%,31.64%,0.03%,0.05%,-,-,-,-
28,EPS (Basic),0.02,0.01,0.10,0.07,0.01,-0.29,0.02,0.09,0.05,0.61,0.51,0.46,-0.01,0.35,0.35
29,EPS (Diluted),0.02,0.01,0.10,0.07,0.01,-0.29,0.02,0.09,0.05,0.61,0.51,0.46,-0.01,0.35,0.35
30,EPS Growth,61.65%,-,410.11%,-26.44%,-75.51%,-,-96.30%,-80.52%,-,75.79%,47.07%,-,-,-,-
31,Free Cash Flow,-251.38,-59.41,41.74,160.53,-182.93,51.14,12.21,74.67,-32.25,72.56,60.21,-,-,36.69,36.69
32,Free Cash Flow Per Share,-1.25,-0.29,0.21,0.80,-0.91,0.25,0.06,0.30,-0.16,0.48,0.40,-,-,0.24,0.24
33,Dividend Per Share,-,-,-,0.083,-,-,-,0.196,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-57.59%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,1.03%,0.24%,1.94%,1.25%,0.61%,-5.70%,0.04%,1.47%,0.31%,7.64%,6.78%,7.37%,-0.36%,6.16%,6.16%
36,Operating Margin,-0.41%,-0.87%,1.24%,0.42%,-0.08%,-6.38%,-0.53%,-0.26%,-0.55%,6.91%,6.19%,5.27%,-0.39%,4.93%,4.93%
37,Profit Margin,0.28%,0.09%,1.62%,0.90%,0.21%,-4.73%,0.41%,1.78%,0.82%,5.83%,5.31%,4.68%,-0.10%,4.57%,4.57%
38,Free Cash Flow Margin,-18.99%,-4.95%,3.49%,10.73%,-16.25%,4.09%,1.31%,5.98%,-2.85%,4.61%,4.17%,-,-,3.21%,3.21%
39,EBITDA,0.4,-6.31,-,12.07,7.88,-73.62,3.81,5.53,1.98,118.05,98.78,89.36,5.25,65.72,65.72
40,EBITDA Margin,0.03%,-0.53%,-,0.81%,0.70%,-5.89%,0.41%,0.44%,0.18%,7.51%,6.84%,5.92%,0.48%,5.75%,5.75%
41,D&A For EBITDA,5.82,4.17,-,5.82,8.76,6.11,8.73,8.76,8.18,9.33,9.33,9.86,9.44,9.44,9.44
42,EBIT,-5.41,-10.48,14.78,6.25,-0.87,-79.73,-4.92,-3.23,-6.2,108.72,89.45,79.5,-4.19,56.28,56.28
43,EBIT Margin,-0.41%,-0.87%,1.24%,0.42%,-0.08%,-6.38%,-0.53%,-0.26%,-0.55%,6.91%,6.19%,5.27%,-0.39%,4.93%,4.93%
44,Effective Tax Rate,33.34%,-,20.82%,17.92%,31.31%,-,31.38%,21.41%,21.15%,20.07%,20.04%,24.94%,-,19.95%,19.95%
45,Revenue as Reported,1324,1199,1196,1496,1126,1250,932.25,1248,1133,1573,1445,1510,1087,1142,1142
