,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,324,318,246,353,538,1777,1777,1777,1256,1377,1985,Upgrade
1,Market Cap Growth,-9.84%,-9.84%,-54.30%,-80.13%,-69.71%,0%,41.47%,28.99%,-36.73%,-38.66%,11.73%,Upgrade
2,Enterprise Value,3675,3402,3086,2912,2887,2265,2265,2265,1744,2043,2624,Upgrade
3,Last Close Price,0.56,0.55,0.42,0.61,0.93,3.07,3.07,3.07,2.17,2.31,3.33,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,9.09,Upgrade
5,Forward PE,-,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,Upgrade
6,PS Ratio,1.10,1.08,0.86,1.25,1.75,5.65,5.73,6.09,4.67,2.03,1.94,Upgrade
7,PB Ratio,-0.11,-0.11,-0.10,-0.16,-0.26,-0.99,-1.10,-1.31,-1.06,0.53,0.75,Upgrade
8,P/TBV Ratio,-,-,-,-,-,-,-,-,-,0.53,0.75,Upgrade
9,P/FCF Ratio,-,-,-1.83,-,-,-,-,-,-,-,11.59,Upgrade
10,P/OCF Ratio,17.68,-,-2.18,-,-,-,-,-,-,-,11.30,Upgrade
11,PEG Ratio,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,Upgrade
12,EV/Sales Ratio,12.42,11.50,10.82,10.33,9.40,7.21,7.30,7.77,6.49,3.01,2.56,Upgrade
13,EV/EBITDA Ratio,-,-,-,-,-,-85.54,-,-,-,-,7.13,Upgrade
14,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,8.65,Upgrade
15,EV/FCF Ratio,-65769.66,-,-22.92,-,-,-,-,-,-,-,15.32,Upgrade
16,Debt / Equity Ratio,-1.21,-1.21,-1.20,-1.28,-1.25,-1.31,-1.38,-1.47,-1.55,0.40,0.44,Upgrade
17,Debt / FCF Ratio,-,-,-22.98,-,-,-,-,-,-,-,6.84,Upgrade
18,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,10.29%,Upgrade
19,Earnings Yield,-174.72%,-177.89%,-234.84%,-158.17%,-102.15%,-26.81%,-22.00%,-23.48%,-79.93%,-42.11%,11.01%,Upgrade
20,FCF Yield,-0.02%,-0.02%,-54.74%,-115.15%,-51.19%,-6.88%,-8.01%,-6.60%,-18.75%,-8.66%,8.63%,Upgrade
