,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,43472,24000,16955,21864,21528,24773,35068,28761,19381,-,-,-,-,-
1,Market Cap Growth,-3.12%,-3.12%,-51.65%,-23.98%,11.08%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,43318,24221,16899,20459,20485,23603,33477,26591,20152,-,-,-,-,-
3,Last Close Price,76.51,42.24,29.84,37.82,37.24,42.85,60.66,49.06,33.06,-,-,-,-,-
4,PE Ratio,80.92,44.92,40.83,76.95,53.66,78.52,81.43,51.38,35.14,-,-,-,-,-
5,Forward PE,64.36,42.49,29.72,24.86,26.33,29.52,42.48,38.01,27.61,-,-,-,-,-
6,PS Ratio,3.61,2.01,1.44,1.90,1.87,2.10,3.01,2.51,1.71,-,-,-,-,-
7,PB Ratio,9.88,5.45,4.11,5.10,5.02,5.96,8.76,6.50,4.51,-,-,-,-,-
8,P/TBV Ratio,5.48,5.48,4.13,5.12,5.04,5.99,8.79,6.53,4.53,-,-,-,-,-
9,P/FCF Ratio,-,-113.72,-34.60,-,38.56,56.66,65.69,-,-41.83,-,-,-,-,-
10,P/OCF Ratio,89.00,89.00,-306.92,-,24.79,36.79,44.36,-,-78.88,-,-,-,-,-
11,EV/Sales Ratio,3.62,2.02,1.44,1.77,1.77,2.01,2.88,2.32,1.78,-,-,-,-,-
12,EV/EBITDA Ratio,87.84,61.97,85.07,-,-,161.00,-,69.93,-,-,-,-,-,-
13,EV/EBIT Ratio,145.34,81.27,153.81,-,-,375.73,-,86.67,-,-,-,-,-,-
14,EV/FCF Ratio,-205.26,-114.77,-34.49,-,36.69,53.98,62.71,-,-43.50,-,-,-,-,-
15,Debt / Equity Ratio,0.34,0.34,0.47,0.40,0.21,0.20,0.11,0.18,0.18,-,1.16,0.35,0.87,0.87
16,Debt / EBITDA Ratio,3.01,1.09,3.58,-,3.54,1.39,3.41,2.01,-,-,4.30,0.93,2.17,2.17
17,Debt / FCF Ratio,-,-7.02,-3.98,-,1.60,1.87,0.83,-,-1.66,-,-,-,-,-
18,Asset Turnover,1.48,1.36,1.04,1.76,1.64,1.48,1.13,-,-,-,-,1.46,-,
19,Inventory Turnover,2.32,2.53,2.47,1.80,2.96,2.65,2.60,1.77,-,-,-,-,1.99,-
20,Quick Ratio,0.71,0.71,0.78,0.88,0.96,0.94,1.03,1.30,1.03,-,0.43,-,0.52,0.52
21,Current Ratio,1.47,1.47,1.52,1.70,1.70,1.79,1.92,2.29,1.91,-,1.20,-,1.22,1.22
22,Return on Equity (ROE),24.19%,14.39%,0.22%,11.61%,13.63%,1.93%,10.96%,-,-,35.14%,-,34.33%,-,
23,Return on Assets (ROA),8.75%,2.33%,-1.43%,-1.50%,4.16%,-1.29%,2.66%,-,-,-,-,5.68%,-,
24,Return on Capital (ROIC),13.17%,3.28%,-2.11%,-2.42%,6.73%,-1.92%,3.94%,-,-,5.87%,-,10.82%,-,
25,Return on Capital Employed (ROCE),6.56%,6.56%,2.56%,-,-,1.44%,-,6.68%,-,-,20.75%,-,14.59%,7.29%
26,Earnings Yield,1.23%,2.23%,2.45%,1.30%,1.86%,1.27%,1.23%,1.95%,2.85%,-,-,-,-,-
27,FCF Yield,-0.49%,-0.88%,-2.89%,-2.76%,2.59%,1.77%,1.52%,0.16%,-2.39%,-,-,-,-,-
28,Dividend Yield,0.70%,-,-,-,1.50%,-,-,-,2.42%,-,-,-,-,-
29,Payout Ratio,63.94%,3.46%,215.87%,171.20%,1.40%,0.89%,2293.21%,3.24%,29.56%,4.57%,6.85%,4.58%,6.71%,6.71%
30,Buyback Yield / Dilution,-2.22%,0.02%,-0.83%,0.84%,-9.39%,-13.82%,-14.79%,-12.50%,-2.27%,-0.86%,-,-,-,-
31,Total Shareholder Return,-1.52%,0.02%,-0.83%,0.84%,-7.89%,-13.82%,-14.79%,-12.50%,0.15%,-0.86%,-,-,-,-
