,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,3811,2419,2147,2615,3452,2347,2152,2957,3430,2054,2023,1685,1685
1,Other Revenue,-477.48,477.48,-,976.16,-331.89,331.89,-,862.43,-446.03,446.03,-,-,-
2,Revenue,3333,2897,2147,3591,3120,2679,2152,3819,2984,2500,2023,1685,1685
3,Revenue Growth (YoY),6.84%,8.13%,-0.24%,-5.99%,4.56%,7.18%,6.37%,126.66%,77.08%,-,-,-,-
4,Cost of Revenue,2141,1942,1320,2205,1923,1710,1241,2236,1809,1599,1253,1055,1055
5,Gross Profit,1192,955.1,826.95,1386,1198,969.28,911.1,1583,1175,900.42,770.22,630.17,630.17
6,"Selling, General & Admin",518.23,551.37,526.57,856.45,545.77,542.98,441.55,1006,490.1,433.17,385.15,345.36,345.36
7,Research & Development,416.06,361.82,416.58,642.56,567.03,489.22,437.62,787.39,465.21,393.53,340.84,239.01,239.01
8,Other Operating Expenses,-52.25,-44.24,-71.53,-60.49,-36.05,-34.29,-53.59,-101.54,-18.55,-19.89,-86.98,-58.09,-58.09
9,Operating Expenses,876.93,875.72,874.26,1435,1071,1007,829.93,1691,912.99,829.13,639.3,525,525
10,Operating Income,315.01,79.38,-47.31,-49.03,126.83,-37.27,81.17,-107.91,262.26,71.29,130.92,105.17,105.17
11,Interest Expense,-11.05,-12.53,-5.91,-3.92,-3.53,-12.87,-5.97,-13.12,-14.07,-11.98,-7.72,-10.05,-10.05
12,Interest & Investment Income,14.18,13.26,13.02,11.78,7.48,9.36,9.61,6.25,5.17,2.5,2.34,1.71,1.71
13,Earnings From Equity Investments,-0,-0,-,-,-,-,-,-,-,-,-,-,-
14,Currency Exchange Gain (Loss),-2.86,2.86,-,-27.9,14.4,-14.4,-,36.46,-27.43,27.43,-,-1.55,-1.55
15,Other Non Operating Income (Expenses),-6.82,0.54,0.83,18.85,-21.34,4.97,-7.89,-51.57,43.61,0.33,2.55,1.14,1.14
16,EBT Excluding Unusual Items,308.46,83.51,-39.37,-50.22,123.84,-50.22,76.92,-129.89,269.54,89.57,128.08,96.41,96.41
17,Gain (Loss) on Sale of Investments,-,-,-,-1.21,-0.54,-,-,-0.44,1.3,-,-,-2.73,-2.73
18,Gain (Loss) on Sale of Assets,-0.3,6.56,0.66,1.84,-0.12,2.46,0.09,-,-,-,1.41,-0.28,-0.28
19,Asset Writedown,-41.01,5.46,-6.47,36.46,-37.51,-0.87,-0.48,27.19,-28.43,7.61,-7.93,-,-
20,Other Unusual Items,-9.74,27.5,-,54.85,-,-,-,64.04,-,-,-,-,-
21,Pretax Income,257.41,123.04,-45.18,41.72,85.67,-48.63,76.54,-39.09,242.4,97.18,121.57,93.4,93.4
22,Income Tax Expense,-0.55,-28.44,-47.49,-80.76,-53.33,-68.95,-42.85,-75.87,-11.77,-52.28,10.44,-17.99,-17.99
23,Net Income,257.96,151.47,2.31,122.48,139.01,20.32,119.39,36.78,254.18,149.46,111.13,111.39,111.39
24,Net Income to Common,257.96,151.47,2.31,122.48,139.01,20.32,119.39,36.78,254.18,149.46,111.13,111.39,111.39
25,Net Income Growth,85.57%,645.54%,-98.07%,233.02%,-45.31%,-86.41%,7.43%,-66.98%,128.18%,-,-,-,-
26,Shares Outstanding (Basic),568,573,563,554,568,568,568,506,499,495,505,495,495
27,Shares Outstanding (Diluted),568,573,563,554,568,568,568,506,499,495,505,495,495
28,Shares Change (YoY),-0.02%,0.83%,-0.84%,9.39%,13.82%,14.79%,12.50%,2.27%,0.86%,-,-,-,-
29,EPS (Basic),0.45,0.26,0.00,0.22,0.24,0.04,0.21,0.07,0.51,0.30,0.22,0.23,0.23
30,EPS (Diluted),0.45,0.26,0.00,0.22,0.24,0.04,0.21,0.07,0.51,0.30,0.22,0.23,0.23
31,EPS Growth,85.61%,639.43%,-98.05%,204.42%,-51.95%,-88.16%,-4.50%,-67.71%,126.23%,-,-,-,-
32,Free Cash Flow,874.07,231.88,-1687,370.24,595.16,118.69,-525.75,249.14,691.74,-369.37,-1035,-200.35,-200.35
33,Free Cash Flow Per Share,1.54,0.40,-2.99,0.67,1.05,0.21,-0.93,0.49,1.39,-0.75,-2.05,-0.40,-0.40
34,Dividend Per Share,-,-,-,0.560,-,-,-,0.800,-,-,-,-,-
35,Dividend Growth,-,-,-,-30.00%,-,-,-,-,-,-,-,-,-
36,Gross Margin,35.76%,32.97%,38.52%,38.60%,38.38%,36.18%,42.34%,41.45%,39.38%,36.02%,38.07%,37.40%,37.40%
37,Operating Margin,9.45%,2.74%,-2.20%,-1.37%,4.06%,-1.39%,3.77%,-2.83%,8.79%,2.85%,6.47%,6.24%,6.24%
38,Profit Margin,7.74%,5.23%,0.11%,3.41%,4.46%,0.76%,5.55%,0.96%,8.52%,5.98%,5.49%,6.61%,6.61%
39,Free Cash Flow Margin,26.22%,8.00%,-78.60%,10.31%,19.07%,4.43%,-24.43%,6.52%,23.18%,-14.78%,-51.16%,-11.89%,-11.89%
40,EBITDA,338.63,101.31,-23.69,-25.42,146.45,-12.35,100.79,-88.29,276.7,91.04,145.36,118.51,118.51
41,EBITDA Margin,10.16%,3.50%,-1.10%,-0.71%,4.69%,-0.46%,4.68%,-2.31%,9.27%,3.64%,7.19%,7.03%,7.03%
42,D&A For EBITDA,23.62,21.92,23.62,23.62,19.62,24.92,19.62,19.62,14.44,19.76,14.44,13.34,13.34
43,EBIT,315.01,79.38,-47.31,-49.03,126.83,-37.27,81.17,-107.91,262.26,71.29,130.92,105.17,105.17
44,EBIT Margin,9.45%,2.74%,-2.20%,-1.37%,4.06%,-1.39%,3.77%,-2.83%,8.79%,2.85%,6.47%,6.24%,6.24%
