,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,1636,1729,1787,2298,1859,1614,2403,2941,-,1357,-,918.27,918.27
1,Cash & Short-Term Investments,1636,1729,1787,2298,1859,1614,2403,2941,-,1357,1288,918.27,918.27
2,Cash Growth,-12.03%,7.12%,-25.61%,-21.85%,-,18.92%,86.52%,220.28%,-,-,-,-,-
3,Accounts Receivable,1613,1727,1421,1366,1487,1484,880.97,728.52,-,816.73,-,743.5,743.5
4,Other Receivables,68.89,66.48,73.88,55.82,79.59,73.4,78.03,52.39,-,46.44,-,-,-
5,Receivables,1682,1794,1494,1422,1567,1558,959,780.91,-,863.17,-,743.5,743.5
6,Inventory,3468,3301,2999,2875,3090,2709,2543,3077,-,3825,-,2117,2117
7,Other Current Assets,35.54,42.13,33.8,38.11,20.99,32.16,24.99,84.84,-,147.99,-,95.71,95.71
8,Total Current Assets,6821,6866,6315,6633,6537,5914,5930,6884,-,6194,-,3875,3875
9,"Property, Plant & Equipment",732.05,743.8,788.78,701.7,706.03,664.76,649.92,668.61,-,569.35,-,501.39,501.39
10,Long-Term Investments,21.15,21.15,21.15,21.15,21.12,6.12,6.12,6.12,-,6.12,-,-,-
11,Other Intangible Assets,24.38,25.93,20.25,16,17.27,16.43,17.63,13.45,-,15.3,-,12.18,12.18
12,Long-Term Deferred Tax Assets,765.28,763.66,741.73,684.52,605.54,547.8,477.87,436.37,-,322.33,-,181.34,181.34
13,Long-Term Deferred Charges,373.68,310.64,175.74,185.1,82.47,30.86,35.04,32.86,-,27.99,-,31.9,31.9
14,Other Long-Term Assets,450.23,77.02,155.63,122.9,28.97,77.9,67.85,37.6,-,35.35,-,25.65,25.65
15,Total Assets,9188,8808,8218,8364,7998,7257,7184,8079,-,7170,-,4627,4627
16,Accounts Payable,2515,2115,1616,2129,2205,2099,1213,1427,-,2148,-,1639,1639
17,Accrued Expenses,24.26,114.72,5.94,539.24,23.73,191.74,27.1,854.12,-,257.63,-,115.06,115.06
18,Short-Term Debt,1301,1752,1490,692.04,600,254.58,630.52,580.49,-,1957,-,1011,1011
19,Current Portion of Long-Term Debt,-,-,-,-,-,62.95,-,-,-,-,-,-,-
20,Current Portion of Leases,71.88,71.25,78.14,60.6,64.56,-,70.54,73.89,-,54.28,-,-,-
21,Current Income Taxes Payable,58.95,0.93,24.06,0.8,59.41,1.3,28.74,1.22,-,1.27,-,0.02,0.02
22,Current Unearned Revenue,466.86,377.68,327.38,354.02,467.95,385.96,402.46,506.99,-,680.45,-,287.19,287.19
23,Other Current Liabilities,204.91,82.95,181.84,117.01,222.27,85.46,219.07,161.38,-,84.04,-,133.65,133.65
24,Total Current Liabilities,4643,4515,3724,3892,3643,3081,2591,3605,-,5183,-,3185,3185
25,Long-Term Leases,108.99,126.57,163.42,141.49,151.33,126.52,111.07,116.74,-,118.03,-,121.91,121.91
26,Long-Term Unearned Revenue,9.88,9.08,4.28,15.21,17.86,17.46,32.26,33.26,-,28.71,-,22,22
27,Long-Term Deferred Tax Liabilities,24.69,27.49,33.58,28.43,30.99,27.34,26.24,28.11,-,0.2,-,-,-
28,Other Long-Term Liabilities,0.74,0.56,1.92,2.11,0.88,1.02,0.75,0.75,-,-,-,-0,-0
29,Total Liabilities,4787,4679,3927,4080,3844,3253,2761,3784,-,5330,-,3329,3329
30,Common Stock,568.18,568.18,568.18,568.18,568.18,568.18,568.18,568.18,-,500,-,500,500
31,Additional Paid-In Capital,2270,2257,-,2244,2226,2217,2208,2200,-,105.63,-,127.19,127.19
32,Retained Earnings,1560,1305,1472,1470,1353,1214,1649,1529,-,1240,-,673.16,673.16
33,Comprehensive Income & Other,2.31,-0.1,2251,2.66,5.97,4.64,-2.27,-2.26,-,-4.81,-,-2.45,-2.45
34,Shareholders' Equity,4401,4129,4291,4285,4154,4004,4423,4295,-,1841,1562,1298,1298
35,Total Liabilities & Equity,9188,8808,8218,8364,7998,7257,7184,8079,-,7170,-,4627,4627
36,Total Debt,1482,1950,1732,894.13,815.89,444.05,812.13,771.12,-,2129,539.46,1133,1133
37,Net Cash (Debt),153.67,-221.26,55.93,1404,1043,1170,1591,2170,-,-771.78,748.9,-214.57,-214.57
38,Net Cash Growth,-85.27%,-,-96.48%,-35.29%,-,-,112.43%,-,-,-,-,-,-
39,Net Cash Per Share,0.27,-0.39,0.10,2.54,1.84,2.06,2.80,4.29,-,-1.56,1.48,-0.43,-0.43
40,Filing Date Shares Outstanding,568.18,568.18,568.18,568.18,568.18,568.18,568.18,568.18,499.36,500,505.12,500,500
41,Total Common Shares Outstanding,568.18,568.18,568.18,568.18,568.18,568.18,568.18,568.18,499.36,500,505.12,500,500
42,Working Capital,2178,2351,2591,2741,2894,2833,3339,3279,-,1011,-,689.35,689.35
43,Book Value Per Share,7.74,7.27,7.55,7.54,7.31,7.05,7.78,7.56,-,3.68,3.14,2.60,2.60
44,Tangible Book Value,4376,4104,4271,4269,4137,3988,4405,4281,-,1825,1550,1286,1286
45,Tangible Book Value Per Share,7.70,7.22,7.52,7.51,7.28,7.02,7.75,7.54,-,3.65,3.12,2.57,2.57
46,Buildings,-,158.23,-,158.23,-,157.69,-,157.58,-,153.6,-,153.51,153.51
47,Machinery,-,651.79,-,657.86,-,598.07,-,556.18,-,428.43,-,320.07,320.07
48,Construction In Progress,-,115.05,-,19.58,-,2.19,-,-,-,-,-,-,-
