,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,284434,281795,907817,388288,817121,1433695,668675,293013,787865,-,601456,496478,582976,492575,328072,252970,95820,80674,5989,57503,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91218,-,-,-,-,51615,Upgrade
2,Trading Asset Securities,3083693,2901889,2127932,3194899,1779661,1256771,2060691,1772673,1450059,-,1352017,1281820,1043413,815633,893119,980988,665101,598719,410665,805012,Upgrade
3,Accounts Receivable,5221556,5272353,5243498,5499114,4296602,4622861,4178673,3503626,2956799,-,2763540,3685765,3300378,3110379,2924896,2365793,1782015,1136068,1081303,1036145,Upgrade
4,Other Receivables,94069,82039,66576,67836,79763,62630,75011,57661,43324,-,56515,36583,52151,28370,55967,21250,24296,21715,20313,23121,Upgrade
5,"Property, Plant & Equipment",17490,14570,15697,17007,16810,18079,19670,20532,17870,-,18675,12428,13105,13092,12978,12778,14044,15318,16597,17884,Upgrade
6,Other Intangible Assets,10099,12809,13408,14015,12200,12746,13319,7526,7899,-,4793,2582,2781,2980,3096,2925,3106,3287,3468,3650,Upgrade
7,Investments in Debt & Equity Securities,500725,459314,203079,-,-,106225,157180,52164,51366,-,233376,229521,257244,202176,106398,27900,34100,-,-,362975,Upgrade
8,Other Current Assets,1043276,1437784,1225309,1328195,1265968,874007,858378,711093,225086,-,810055,709542,702297,455983,243203,242599,262408,264171,240002,10702,Upgrade
9,Other Long-Term Assets,59714,58916,54153,54345,57551,50607,48635,47968,50052,-,48190,47590,50368,44030,43859,38958,40107,43578,43818,42660,Upgrade
10,Total Assets,10315056,10521862,9858174,10564404,8326379,8437621,8080230,6467023,5591087,-,5888621,6502327,6004732,5165239,4702828,3946184,2921021,2163552,1822176,2411286,Upgrade
11,Accounts Payable,252956,1091890,801611,1184018,224329,29069,261117,22937,230918,-,707059,318780,418682,133561,422670,386389,172676,145266,90902,13147,Upgrade
12,Accrued Expenses,59020,61346,71126,35904,71037,45409,51662,21156,31621,-,51360,59329,62816,44869,40260,36004,39105,21576,23369,12154,Upgrade
13,Short-Term Debt,4876835,4349342,4012060,4455895,3303543,3699129,3146610,1913570,929458,-,3336226,4280372,3743579,3290236,2420703,1952355,1183869,515000,300711,1064323,Upgrade
14,Other Current Liabilities,11653,12785,24375,26890,18212,23698,15338,15658,21767,-,102794,29014,45022,27457,249758,16833,13765,7417,8001,1802,Upgrade
15,Long-Term Deferred Tax Liabilities,17923,16462,6584,21926,5700,8649,13022,6354,5809,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Total Liabilities,5253174,5546315,4952636,5742840,3641964,3840228,3511879,2002938,1224689,-,4203702,4699865,4285475,3520752,3162656,2400847,1430568,699560,425684,1097233,Upgrade
17,Common Stock,2230607,2230607,2027831,2027831,2027831,2027831,1878001,1878001,1878001,-,1220701,1220701,1220701,1220701,1220701,1220701,1220701,1220701,1220701,1220701,Upgrade
18,Additional Paid-In Capital,2056656,2056656,2056656,2056656,2056656,2038154,2038154,2038154,2038154,-,2862,2862,2862,2862,2862,2862,2862,2862,2862,2862,Upgrade
19,Retained Earnings,778905,688284,821051,737076,599928,536296,657084,552620,454932,-,466046,583589,500384,425612,321296,330562,269477,245116,177617,95178,Upgrade
20,Comprehensive Income & Other,-4286,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-4100,2100,-,-,-,Upgrade
21,Shareholders' Equity,5061882,4975547,4905538,4821564,4684415,4597394,4568351,4464085,4366397,-,1684919,1802462,1719257,1644487,1540172,1545337,1490453,1463992,1396492,1314054,Upgrade
22,Total Liabilities & Equity,10315056,10521862,9858174,10564404,8326379,8437621,8080230,6467023,5591087,-,5888621,6502327,6004732,5165239,4702828,3946184,2921021,2163552,1822176,2411286,Upgrade
23,Total Debt,4876835,4349342,4012060,4455895,3303543,3699129,3146610,1913570,929458,-,3336226,4280372,3743579,3290236,2420703,1952355,1183869,515000,300711,1064323,Upgrade
24,Net Cash (Debt),-1508708,-1165659,-976311,-872708,-706761,-1008663,-417244,152117,1308467,-,-1382752,-2502074,-2117190,-1982029,-1108294,-718397,-422948,164393,115943,-150193,Upgrade
25,Net Cash Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-40.18%,-67.52%,-,Upgrade
26,Net Cash Per Share,-5479.60,-5627.78,-4376.70,-3912.41,-3303.22,-4798.23,-1875.47,683.52,2875.48,-,-9561.63,-17324.28,-14670.69,-13726.65,-7673.79,-4974.16,-2934.86,1138.33,769.00,-1086.74,Upgrade
27,Filing Date Shares Outstanding,223.06,223.06,223.06,223.06,223.06,222.51,222.51,222.51,222.51,145.01,144.43,144.43,144.43,144.43,144.43,144.43,144.43,144.43,144.43,138.21,Upgrade
28,Total Common Shares Outstanding,223.06,223.06,223.06,223.06,223.06,222.51,222.51,222.51,222.51,145.01,144.43,144.43,144.43,144.43,144.43,144.43,144.43,144.43,144.43,138.21,Upgrade
29,Working Capital,4491776,4446400,4625785,4758122,4603554,4418386,4342570,4342248,4245018,-,1379886,1510341,1395759,1382210,1373841,1462776,1399096,1401808,1332609,886885,Upgrade
30,Book Value Per Share,22692.84,22305.80,21991.87,21615.41,21000.56,20661.96,20531.38,20062.12,19623.10,-,11666.32,12480.18,11904.08,11386.37,10664.09,10699.86,10319.84,10136.62,9669.26,9089.07,Upgrade
31,Tangible Book Value,5051782,4962737,4892130,4807548,4672215,4584647,4555032,4456559,4358498,-,1680126,1799880,1716476,1641507,1537076,1542413,1487347,1460704,1393024,1310404,Upgrade
32,Tangible Book Value Per Share,22647.57,22248.37,21931.76,21552.57,20945.87,20604.67,20471.52,20028.29,19587.59,-,11633.14,12462.31,11884.82,11365.73,10642.66,10679.61,10298.33,10113.86,9645.25,9063.82,Upgrade
