,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,12446787,10840750,11086154,10301383,12815894,9608180,8293399,6096636,4336010,2115329,3647119,2717103,4546741,5154597,3258094,2735340,1787089,1513555,1061312,976519,976519,Upgrade
1,Market Cap Growth,12.83%,12.83%,33.67%,68.97%,195.57%,354.22%,127.40%,124.38%,-4.63%,-58.96%,11.94%,-0.67%,154.42%,240.56%,206.99%,180.11%,83.01%,57.96%,23.33%,-4.08%,-11.11%,Upgrade
2,Last Close Price,55800.00,48600.00,49700.00,46181.82,57454.55,43181.82,37272.73,26986.35,19193.06,14425.89,24177.18,18012.00,30140.89,34170.42,21598.28,17547.96,11464.66,9709.87,6808.61,6239.27,6239.27,Upgrade
3,PE Ratio,28.53,26.24,28.70,23.47,28.62,25.46,26.74,29.57,56.57,-,25.21,-,13.39,16.24,11.67,11.25,7.66,13.60,11.84,12.02,-,Upgrade
4,PS Ratio,9.59,8.82,9.34,8.23,11.16,8.68,7.51,6.21,4.80,2.32,3.48,2.44,3.71,4.35,3.08,2.83,1.99,1.75,1.38,1.31,1.54,Upgrade
5,PB Ratio,2.46,2.14,2.23,2.10,2.66,2.05,1.80,1.33,0.97,0.48,-,1.61,2.52,3.00,1.98,1.78,1.16,1.02,0.72,0.70,0.74,Upgrade
6,P/FCF Ratio,-,-,-,-18.23,-,-,-3.48,-,-,-,8.34,-5.07,-,-,-,-,-,-,-,-3.57,-,Upgrade
7,P/OCF Ratio,-,-,-,-18.40,-,-,-3.50,-,-,-,8.08,-5.20,-,-,-,-,-,-,-,-3.66,-,Upgrade
8,Debt / Equity Ratio,0.96,0.96,0.87,0.82,0.92,0.71,0.80,0.69,0.43,0.21,-,1.98,2.37,2.18,2.00,1.57,1.26,0.79,0.35,0.22,0.81,Upgrade
9,Debt / FCF Ratio,-,-,-,-7.10,-,-,-1.55,-,-,-,-,-6.23,-,-,-,-,-,-,-,-1.10,-,Upgrade
10,Asset Turnover,0.10,0.11,0.15,0.13,0.11,0.16,0.15,0.18,-,-,0.13,0.18,0.26,0.23,0.29,0.27,0.36,0.38,0.47,0.33,Upgrade,
11,Quick Ratio,1.66,1.66,1.54,1.69,1.60,1.92,1.93,2.00,2.82,4.30,-,1.14,1.17,1.16,1.26,1.36,1.51,1.79,2.63,3.57,1.80,Upgrade
12,Current Ratio,1.86,1.86,1.80,1.94,1.83,2.27,2.15,2.24,3.17,4.48,-,1.33,1.32,1.33,1.39,1.43,1.61,1.98,3.00,4.13,1.81,Upgrade
13,Return on Equity (ROE),7.26%,5.67%,9.44%,11.54%,5.54%,10.71%,10.95%,8.85%,-,-,-1.37%,18.92%,17.83%,26.23%,30.17%,16.12%,7.16%,19.11%,27.55%,-18.03%,Upgrade,
14,Return on Assets (ROA),3.50%,2.75%,4.50%,5.81%,3.07%,5.94%,6.80%,6.48%,-,-,-0.38%,5.33%,5.37%,8.46%,10.76%,7.13%,4.16%,13.71%,17.64%,-10.12%,Upgrade,
15,Earnings Yield,3.32%,3.81%,3.48%,4.26%,3.49%,4.25%,4.34%,4.20%,2.92%,5.31%,4.69%,9.45%,8.34%,6.92%,9.47%,9.96%,13.95%,8.42%,9.42%,9.39%,1.89%,Upgrade
16,FCF Yield,-16.99%,-19.50%,-16.54%,-5.48%,-18.61%,-23.76%,-28.76%,-37.93%,-9.39%,21.36%,12.00%,-19.71%,-43.44%,-38.07%,-66.01%,-65.60%,-38.45%,-27.13%,-26.29%,-28.01%,-85.65%,Upgrade
17,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,2.92%,-,-,-,1.72%,-,-,-,7.80%,-,-,-,Upgrade
18,Payout Ratio,0.00%,-,-,-,-,-,76.33%,-,-,807.19%,-,-,-,-,104.80%,-,-,-,-,-,-,Upgrade
19,Buyback Yield / Dilution,1.00%,-28.68%,1.47%,-0.27%,-0.23%,52.98%,-44.97%,-53.84%,-54.09%,-215.31%,-0.43%,-0.13%,0.00%,-0.14%,0.02%,4.21%,-4.50%,-21.00%,0.02%,-3.77%,3.87%,Upgrade
20,Total Shareholder Return,1.00%,-28.68%,1.47%,-0.27%,-0.23%,52.98%,-44.97%,-53.84%,-54.09%,-212.40%,-0.43%,-0.13%,0.00%,1.58%,0.02%,4.21%,-4.50%,-13.20%,0.02%,-3.77%,3.87%,Upgrade
