,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Interest and Dividend Income,160448,161983,181457,138625,476496,168003,139038,108599,333181,11096,93125,106067,108027,93703,79688,64473,47257,37030,-44017,118907,Upgrade
1,Total Interest Expense,46402,45888,37851,39438,42720,49577,33560,16804,23669,39357,51519,53424,51608,37712,16869,31108,9326,8748,9239,12321,Upgrade
2,Net Interest Income,114046,116095,143606,99187,433776,118426,105478,91795,309512,-28261,41606,52643,56419,55992,62818,33366,37930,28282,-53255,106586,Upgrade
3,Brokerage Commission,62301,66675,87424,82466,68163,96785,67692,53391,71934,72218,87650,116958,159341,118973,125558,112563,83305,52347,56688,36845,Upgrade
4,Trading & Principal Transactions,-2589,-2647,-2522,-3945,-2521,-1813,-1949,-3315,-1745,-2357,-802.4,-2634,-4016,-2653,-1752,-2479,-3977,-1862,-1490,-1896,Upgrade
5,Asset Management Fee,8141,8355,9178,3493,7770,4309,3391,3964,3437,3880,7015,18727,23465,37677,14807,13734,11165,3141,3524,3091,Upgrade
6,Underwriting & Investment Banking Fee,750,-,-,-,-,-,-,-,-,-,-,-,81.73,3801,1952,4358,7140,-,1600,-,Upgrade
7,Gain on Sale of Investments (Rev),83895,81763,143386,126972,41543,115981,105911,121106,26455,95184,65159,87068,118642,65774,109372,69646,94917,106099,239067,54154,Upgrade
8,Other Revenue,128.18,334.8,2705,190.55,-324537,947.78,336.37,107.91,-187460,71576,2014,3721,2905,55.48,978.53,3450,156.56,57.11,56.78,46,Upgrade
9,Revenue Before Loan Losses,266672,270576,383778,308364,224193,334636,280860,267049,222133,212240,202641,276484,356838,279619,313732,234639,230637,188064,246190,198826,Upgrade
10,Revenue,266672,270576,383778,308364,224193,334636,280860,267049,222133,212240,202641,276484,356838,279619,313732,234639,230637,188064,246190,198826,Upgrade
11,Revenue Growth (YoY),18.95%,-19.14%,36.64%,15.47%,0.93%,57.67%,38.60%,-3.41%,-37.75%,-24.10%,-35.41%,17.83%,54.72%,48.68%,27.43%,18.01%,68.04%,15.41%,84.06%,43.39%,Upgrade
12,Cost of Services Provided,108790,113480,122330,121138,119072,113436,100337,96177,109439,109375,80433,136768,200588,117553,97799,123770,101990,60899,61673,55122,Upgrade
13,Other Operating Expenses,954.7,2778,193.72,524.67,1267,855.8,175.67,348.38,2437,5988,3544,2855,1383,122.6,1199,3690,574.86,-,2.2,12.1,Upgrade
14,Total Operating Expenses,109745,116258,122524,121662,120338,114292,100513,96525,111877,115363,83978,139622,201971,117676,98998,127460,102565,60899,61675,55134,Upgrade
15,Operating Income,156928,154319,261254,186701,103855,220345,180347,170524,110257,96877,118664,136862,154868,161943,214734,107178,128072,127165,184515,143692,Upgrade
16,Currency Exchange Gains,0.37,0,242.48,0.54,2.91,-3.57,-0.42,4.38,1383,398.12,-1420,-1490,-765.29,263.71,-1730,-0.8,-0.12,-,0.3,-0.08,Upgrade
17,Other Non-Operating Income (Expenses),2344,1871,2424,1842,2514,2146,3715,1882,3424,844.91,1739,2525,1840,1519,2459,2570,1160,2646,2863,611.88,Upgrade
18,EBT Excluding Unusual Items,159271,156190,263920,188544,106372,222487,184062,172409,115063,98120,118983,137896,155943,163726,215463,109747,129232,129811,187379,144303,Upgrade
19,Gain (Loss) on Sale of Investments,-45880,-61812,-127586,-16962,-25892,-69896,-29582,-50913,-95535,-64689,-118670,-42232,-65459,-34692,-69839,-39307,-81624,-51192,-91341,-205030,Upgrade
20,Pretax Income,113391,94378,136334,171582,80479,152591,154480,121497,19528,33432,312.78,95664,90483,129034,145623,70440,47608,78619,96038,-60726,Upgrade
21,Income Tax Expense,22256,24370,21554,34434,16194,29902,30884,23809,3285,14634,6278,12369,15532,24628,29264,9266,21153,10301,2700,-,Upgrade
22,Net Income,91135,70009,114780,137148,64285,122690,123597,97688,16243,18798,-5965,83295,74951,104405,116359,61174,26455,68318,93338,-60726,Upgrade
23,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,30805,19314,-,-,-,26389,-,13127,-,16121,-,-,-,Upgrade
24,Net Income to Common,91135,70009,114780,137148,64285,122690,123597,66883,-3071,18798,-5965,83295,48562,104405,103232,61174,10334,68318,93338,-60726,Upgrade
25,Net Income Growth,41.77%,-42.94%,-7.13%,40.39%,295.78%,552.68%,-,17.28%,-78.33%,-82.00%,-,36.16%,183.32%,52.82%,24.66%,-,-,13.97%,363.80%,-,Upgrade
26,Shares Outstanding (Basic),275,207,223,223,214,210,222,223,455,145,145,144,144,144,144,144,144,144,151,138,Upgrade
27,Shares Outstanding (Diluted),275,207,223,223,214,210,222,223,455,145,145,144,144,144,144,144,144,144,151,138,Upgrade
28,Shares Change (YoY),28.68%,-1.47%,0.27%,0.23%,-52.98%,44.97%,53.84%,54.09%,215.31%,0.43%,0.13%,-0.00%,0.14%,-0.02%,-4.21%,4.50%,21.00%,-0.02%,3.77%,-3.87%,Upgrade
29,EPS (Basic),331.00,338.00,514.55,614.85,300.45,583.64,555.56,300.53,-6.75,129.63,-41.25,576.73,336.50,723.06,714.77,423.57,71.71,473.06,619.08,-439.39,Upgrade
30,EPS (Diluted),331.00,338.00,514.55,614.85,300.45,583.64,555.56,300.53,-6.75,129.63,-41.25,576.60,336.50,723.06,714.65,423.40,71.29,473.06,619.08,-439.39,Upgrade
31,EPS Growth,10.17%,-42.09%,-7.38%,104.59%,-,350.23%,-,-47.88%,-,-82.07%,-,36.18%,372.04%,52.85%,15.44%,-,-,14.00%,346.94%,-,Upgrade
32,Free Cash Flow,-527381,-964826,960906,-1583033,-246869,304021,-858933,-1480842,-349721,377183,1046189,-621869,-363975,-595913,-393526,-608789,-552546,-239543,713708,-332314,Upgrade
33,Free Cash Flow Per Share,-1915.44,-4658.16,4307.64,-7096.85,-1153.80,1446.23,-3860.82,-6653.96,-768.55,2601.06,7234.32,-4305.80,-2522.10,-4127.03,-2724.76,-4215.23,-3834.15,-1658.69,4733.76,-2404.50,Upgrade
34,Dividend Per Share,-,-,-,-,-,-,-,-,420.875,-,-,-,589.226,-,-,-,757.576,-,-,-,Upgrade
