,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020"
0,Revenue,1404,1361,1387,1333,1262,1094,1181,968.74,825.95
1,Revenue Growth (YoY),1.16%,2.11%,9.96%,21.86%,6.79%,12.91%,43.05%,-,-
2,Cost of Revenue,857.66,850.99,830.3,821.7,782.12,685.48,680.45,571.08,482.4
3,Gross Profit,545.87,510.05,557.07,511.19,479.6,408.32,501.05,397.66,343.56
4,"Selling, General & Admin",135,111.12,102.59,89.57,86.91,74.18,54.03,59.74,46.02
5,Other Operating Expenses,38.72,46.38,35.31,40.95,30.16,28.54,22.56,19.97,14.93
6,Operating Expenses,500.7,481.27,461.67,451.4,418.46,374.02,315.89,307.47,259.57
7,Operating Income,45.17,28.79,95.4,59.79,61.14,34.31,185.16,90.19,83.99
8,Interest Expense,-11.25,-11.73,-11.01,-9.94,-9.01,-8,-6.87,-7.58,-6.91
9,Interest & Investment Income,22.15,24.68,19.4,14.13,3.52,1.43,0.24,0.52,0.79
10,Earnings From Equity Investments,-0.13,-,-,-,-,-,-,-,-
11,Currency Exchange Gain (Loss),-0.2,-0.07,-1.79,2.02,-6.11,0.21,-0.21,-,-
12,Other Non Operating Income (Expenses),4.27,4.69,3.65,4.14,3.18,-5.17,-10.87,-2.05,-4.17
13,EBT Excluding Unusual Items,60,46.37,105.66,70.13,52.72,22.78,167.44,81.09,73.7
14,Gain (Loss) on Sale of Assets,-2.81,-1.73,-1.59,-0.52,-0.35,-0.2,-0.5,-0.61,-0.36
15,Asset Writedown,-7.18,3.33,-3.33,1.76,-1.76,-,-,-,-
16,Other Unusual Items,0.29,2.41,0.88,3.22,50.8,53.28,2.27,69.66,96.78
17,Pretax Income,50.3,50.37,101.62,74.59,101.41,75.85,169.22,150.13,170.12
18,Income Tax Expense,14.23,13.35,19.99,16.41,18.64,10.76,31.35,18.57,13.89
19,Net Income,36.07,37.02,81.63,58.18,82.78,65.09,137.87,131.56,156.23
20,Net Income to Common,36.07,37.02,81.63,58.18,82.78,65.09,137.87,131.56,156.23
21,Net Income Growth,-55.81%,-36.37%,-1.38%,-10.62%,-39.96%,-50.53%,-11.75%,-,-
22,Shares Outstanding (Basic),1341,1341,1339,1339,1337,1326,1000,1000,1000
23,Shares Outstanding (Diluted),1345,1344,1341,1340,1342,1331,1002,1000,1000
24,Shares Change (YoY),0.31%,0.34%,-0.03%,0.64%,33.90%,33.11%,0.20%,-,-
25,EPS (Basic),0.03,0.03,0.06,0.04,0.06,0.05,0.14,0.13,0.16
26,EPS (Diluted),0.03,0.03,0.06,0.04,0.06,0.05,0.14,0.13,0.16
27,EPS Growth,-55.89%,-37.10%,-1.52%,-11.58%,-55.09%,-63.05%,-11.62%,-,-
28,Free Cash Flow,282.82,255.33,301.91,247.99,305.49,173.25,308.03,331.86,253.6
29,Free Cash Flow Per Share,0.21,0.19,0.23,0.19,0.23,0.13,0.31,0.33,0.25
30,Dividend Per Share,0.013,0.059,0.030,-,-,-,-,-,-
31,Dividend Growth,-55.00%,-,-,-,-,-,-,-,-
32,Operating Margin,3.22%,2.12%,6.88%,4.49%,4.85%,3.14%,15.67%,9.31%,10.17%
33,Profit Margin,2.57%,2.72%,5.88%,4.36%,6.56%,5.95%,11.67%,13.58%,18.92%
34,Free Cash Flow Margin,20.15%,18.76%,21.76%,18.61%,24.21%,15.84%,26.07%,34.26%,30.70%
35,EBITDA,97.79,83.98,155.62,123.12,120.79,84.04,227.64,128.21,112.45
36,D&A For EBITDA,52.63,55.2,60.22,63.33,59.65,49.73,42.48,38.02,28.46
37,EBIT,45.17,28.79,95.4,59.79,61.14,34.31,185.16,90.19,83.99
38,Advertising Expenses,21.26,-,22.75,-,-,-,18.32,-,-
