,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020"
0,Cash & Equivalents,1346,1352,1339,1376,1326,1367,330.86,470.96,-
1,Short-Term Investments,-,-,37.56,-,73.38,-,59.2,-,-
2,Cash & Short-Term Investments,1346,1352,1377,1376,1400,1367,390.06,470.96,-
3,Cash Growth,-2.23%,-1.75%,-1.65%,0.66%,258.85%,190.18%,-,-,-
4,Accounts Receivable,21.57,35.01,20.25,17.82,16.3,15.01,13.85,15.11,-
5,Other Receivables,14.53,16.84,25.84,33.75,16.95,46.16,5.23,13.51,-
6,Receivables,36.1,51.85,46.09,51.57,33.26,61.17,19.09,28.61,-
7,Inventory,23.39,24.86,23.75,23.18,20.9,16.05,15.21,13.61,-
8,Prepaid Expenses,34.88,32.55,23.48,29.64,-,46.65,-,19.39,-
9,Other Current Assets,47.6,45.85,-,33.89,-,22.49,-,20.85,-
10,Total Current Assets,1488,1507,1470,1514,1454,1513,424.35,553.42,-
11,"Property, Plant & Equipment",953.93,967.02,1076,1012,1041,909.27,746.3,734.4,-
12,Long-Term Investments,5.05,4.99,-,-,-,-,-,-,-
13,Long-Term Deferred Tax Assets,31.93,29.46,27.71,25.14,20.04,16.75,16.68,10.84,-
14,Other Long-Term Assets,117.48,114.82,122.27,123.65,116.8,129.72,101.19,106.32,-
15,Total Assets,2596,2623,2695,2675,2632,2569,1289,1405,-
16,Accounts Payable,55.2,57.01,55.76,56.44,53.51,37.39,46.3,44.6,-
17,Accrued Expenses,31.56,29.76,-,26.64,-,13.96,-,9.48,-
18,Current Portion of Leases,373.17,377.83,388.17,351.59,346.68,319.7,307.61,289.47,-
19,Current Income Taxes Payable,24.16,6.85,29.84,13.87,46,26.59,52.04,49.49,-
20,Current Unearned Revenue,4.05,4.66,4.18,2.24,0.09,0.22,0.19,1.03,-
21,Other Current Liabilities,157.63,170.18,172.2,179.75,187.75,174.47,140.49,132.01,-
22,Total Current Liabilities,645.77,646.28,650.14,630.53,634.03,572.33,546.62,526.07,-
23,Long-Term Leases,438.66,425.62,493.47,436.21,457.12,388.41,287.88,291.93,-
24,Long-Term Deferred Tax Liabilities,2.94,3.15,3.29,5.09,2.48,0.79,0.17,0.49,-
25,Other Long-Term Liabilities,63.58,62.37,66.99,61.33,60.01,53.85,45.2,41.01,-
26,Total Liabilities,1151,1137,1214,1133,1154,1015,879.87,859.51,-
27,Common Stock,1117,1117,1116,1116,1116,1116,0.01,0.01,-
28,Retained Earnings,300.55,343,336.8,394.98,333.3,402.76,333.65,475.78,-
29,Comprehensive Income & Other,27.97,25.79,28.34,30.68,28.98,34.64,74.98,69.68,-
30,Shareholders' Equity,1445,1486,1482,1542,1478,1553,408.65,545.47,-
31,Total Liabilities & Equity,2596,2623,2695,2675,2632,2569,1289,1405,-
32,Total Debt,811.83,803.45,881.64,787.8,803.8,708.11,595.5,581.4,-
33,Net Cash (Debt),534,548.07,494.95,587.85,595.91,658.54,-205.44,-110.44,-
34,Net Cash Growth,7.89%,-6.77%,-16.94%,-10.73%,-,-,-,-,-
35,Net Cash Per Share,0.40,0.41,0.37,0.44,0.44,0.49,-0.21,-0.11,-
36,Filing Date Shares Outstanding,1347,1347,1341,1341,1341,1340,1005,1002,1000
37,Total Common Shares Outstanding,1347,1347,1341,1341,1341,1340,1005,1002,1000
38,Working Capital,842.03,860.36,819.76,883.39,819.83,940.68,-122.27,27.35,-
39,Book Value Per Share,1.07,1.10,1.10,1.15,1.10,1.16,0.41,0.54,-
40,Tangible Book Value,1445,1486,1482,1542,1478,1553,408.65,545.47,-
41,Tangible Book Value Per Share,1.07,1.10,1.10,1.15,1.10,1.16,0.41,0.54,-
42,Machinery,-,185.66,-,178.25,-,144.64,-,117.97,-
43,Leasehold Improvements,-,561.13,-,528.82,-,423.96,-,326.48,-
