,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020"
0,Market Capitalization,1993,1131,1360,1810,3124,2815,3566,-,-,-
1,Market Cap Growth,-37.51%,-37.51%,-56.46%,-35.69%,-12.39%,-,-,-,-,-
2,Enterprise Value,1459,583,865,1222,2528,2157,3771,-,-,-
3,Last Close Price,1.48,0.83,0.94,1.22,1.99,1.79,2.18,-,-,-
4,PE Ratio,27.39,15.48,11.46,12.95,22.16,19.04,17.57,-,-,-
5,Forward PE,25.52,8.84,7.42,8.38,11.82,8.67,11.15,-,-,-
6,PS Ratio,0.72,0.41,0.49,0.67,1.20,1.20,1.57,-,-,-
7,PB Ratio,1.38,0.78,0.92,1.22,2.03,1.90,2.30,-,-,-
8,P/TBV Ratio,0.78,0.78,0.92,1.22,2.03,1.90,2.30,-,-,-
9,P/FCF Ratio,3.70,2.10,2.44,3.29,5.64,5.88,7.41,-,-,-
10,P/OCF Ratio,1.87,1.87,2.18,2.82,4.36,4.16,5.81,-,-,-
11,EV/Sales Ratio,0.53,0.21,0.31,0.45,0.97,0.92,1.66,-,-,-
12,EV/EBITDA Ratio,2.34,3.21,3.61,4.39,10.36,10.53,12.10,-,-,-
13,EV/EBIT Ratio,19.76,7.89,6.97,7.88,20.91,22.60,17.18,-,-,-
14,EV/FCF Ratio,2.71,1.08,1.55,2.22,4.57,4.50,7.84,-,-,-
15,Debt / Equity Ratio,0.56,0.56,0.54,0.60,0.51,0.54,0.46,1.46,1.07,-
16,Debt / FCF Ratio,1.51,1.51,1.44,1.60,1.42,1.68,1.47,0.93,0.99,-
17,Return on Capital Employed (ROCE),3.79%,3.79%,6.28%,7.59%,5.91%,4.78%,10.99%,37.11%,19.82%,-
18,Earnings Yield,3.67%,6.46%,8.72%,7.72%,4.51%,5.25%,5.69%,-,-,-
19,FCF Yield,27.00%,47.57%,40.97%,30.38%,17.72%,17.01%,13.50%,-,-,-
20,Dividend Yield,4.90%,8.78%,9.52%,2.46%,-,-,-,-,-,-
21,Buyback Yield / Dilution,-0.33%,-0.31%,-0.34%,0.03%,-0.64%,-33.90%,-33.11%,-0.20%,-,-
22,Total Shareholder Return,4.57%,8.47%,9.18%,2.49%,-0.64%,-33.90%,-33.11%,-0.20%,-,-
