,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,270.02,229.21,243.36,245.72,246.55,225.12,242.18,227.09,261.88,247.33,247.33,224.58,224.58,231.47,231.47
1,Other Revenue,-15.52,15.52,-,32.69,-14.71,14.71,-,37.23,-11.96,5.98,5.98,6.04,6.04,5.55,5.55
2,Revenue,254.5,244.73,243.36,278.41,231.84,239.84,242.18,264.32,249.92,253.31,253.31,230.62,230.62,237.02,237.02
3,Revenue Growth (YoY),9.77%,2.04%,0.49%,5.33%,-7.24%,-5.32%,-4.39%,14.61%,8.37%,6.87%,6.87%,-,-,-,-
4,Cost of Revenue,105.14,107.81,107.18,110.11,107.98,118.45,102.47,120.35,119.56,115.21,115.21,105.27,105.27,104.41,104.41
5,Gross Profit,149.36,136.91,136.19,168.3,123.86,121.38,139.71,143.97,130.36,138.1,138.1,125.34,125.34,132.61,132.61
6,"Selling, General & Admin",21.32,15.98,15.8,28.11,17.07,18.36,16.51,22.37,15.48,15.47,15.47,19.09,19.09,13.12,13.12
7,Research & Development,10.15,9.49,9.97,16.76,10.17,11.11,10.24,12.9,9.49,9.96,9.96,11.07,11.07,8.58,8.58
8,Other Operating Expenses,-1.51,3.63,0.19,3.82,1.79,-0.1,-0.47,7.67,0.31,-1.37,-1.37,1.46,1.46,1.65,1.65
9,Operating Expenses,39.36,23.19,28.99,46.55,33,29.58,27.41,40.5,26.52,27.58,27.58,31.26,31.26,24.75,24.75
10,Operating Income,110,113.72,107.2,121.76,90.85,91.8,112.3,103.47,103.85,110.51,110.51,94.08,94.08,107.85,107.85
11,Interest & Investment Income,10.32,15.68,15.34,11.74,9.07,8.88,7.78,9.98,8.66,7.17,7.17,9.58,9.58,7.14,7.14
12,Other Non Operating Income (Expenses),-0.33,0.05,-0.04,-1.47,-0.08,-0.62,1.99,-0.21,-0.01,-0.02,-0.02,0.01,0.01,-0.04,-0.04
13,EBT Excluding Unusual Items,119.99,129.45,122.5,132.03,99.84,100.06,122.07,113.23,112.5,117.67,117.67,103.67,103.67,114.96,114.96
14,Gain (Loss) on Sale of Investments,5.71,1.7,3.66,5.46,4.58,3.5,3.06,3.56,2.14,2.77,2.77,0.65,0.65,0.08,0.08
15,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-0,-0,0,0
16,Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-0.07,-0.07,-,-
17,Other Unusual Items,-2.32,2.34,-0.02,5.94,-,-,-,8.96,-,-,-,2.2,2.2,4.08,4.08
18,Pretax Income,123.38,133.48,126.14,143.43,104.42,103.56,125.13,125.75,114.64,120.44,120.44,106.45,106.45,119.12,119.12
19,Income Tax Expense,16.05,20.62,17.16,18.74,14.49,15.4,17.89,16.85,16.76,16.84,16.84,14.61,14.61,16.89,16.89
20,Net Income,107.33,112.86,108.98,124.69,89.93,88.16,107.25,108.9,97.87,103.59,103.59,91.83,91.83,102.23,102.23
21,Net Income to Common,107.33,112.86,108.98,124.69,89.93,88.16,107.25,108.9,97.87,103.59,103.59,91.83,91.83,102.23,102.23
22,Net Income Growth,19.35%,28.01%,1.62%,14.50%,-8.11%,-14.90%,3.53%,18.58%,6.58%,1.33%,1.33%,-,-,-,-
23,Shares Outstanding (Basic),413,418,419,404,421,382,370,375,376,377,377,375,375,375,375
24,Shares Outstanding (Diluted),413,418,419,404,421,382,370,375,376,377,377,375,375,375,375
25,Shares Change (YoY),-1.94%,9.49%,13.34%,7.71%,11.85%,1.34%,-1.83%,0.04%,0.31%,0.37%,0.37%,-,-,-,-
