,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1171,1890,1288,1213,1388,1835,-,403.02,-,232.16,232.16,413.39,413.39,316.56,316.56
1,Trading Asset Securities,2009,1417,1779,1810,1810,1359,-,1389,-,1338,1338,876.3,876.3,897.39,897.39
2,Cash & Short-Term Investments,3179,3307,3067,3024,3197,3194,1792,1792,-,1570,1570,1290,1290,1214,1214
3,Cash Growth,-0.56%,3.54%,71.17%,68.76%,-,103.40%,14.12%,38.93%,-,29.34%,29.34%,-,-,-,-
4,Accounts Receivable,780.79,589.75,705.93,647,699.67,621.91,-,596.06,-,620.13,620.13,454.94,454.94,472.03,472.03
5,Other Receivables,0.41,0.62,1.03,0.85,1.36,2.57,-,3.87,-,0.16,0.16,0.11,0.11,0.66,0.66
6,Receivables,781.19,590.37,706.96,647.85,701.04,624.48,-,599.93,-,620.29,620.29,455.05,455.05,472.7,472.7
7,Inventory,0.43,0.75,0.46,-,-,-,-,0.04,-,0.02,0.02,-,-,0.41,0.41
8,Prepaid Expenses,-,-,-,2.67,-,-,-,1.95,-,0.54,0.54,-,-,-,-
9,Other Current Assets,18.84,10.12,8.34,4.21,27.7,8.83,-,4.46,-,5.03,5.03,3.21,3.21,3.93,3.93
10,Total Current Assets,3980,3908,3783,3679,3926,3827,-,2398,-,2196,2196,1748,1748,1691,1691
11,"Property, Plant & Equipment",96.22,98.69,100.65,103.91,105.86,107.63,-,112.35,-,113.18,113.18,127.71,127.71,139.86,139.86
12,Long-Term Investments,17.21,17.55,17.66,17.51,17,17.67,-,17.34,-,16.3,16.3,-,-,-,-
13,Other Intangible Assets,23.9,23.86,24.59,25.34,25.82,26.54,-,27.95,-,29.46,29.46,33.64,33.64,34.94,34.94
14,Long-Term Deferred Tax Assets,5.9,5.15,5.14,4.77,4.71,4.71,-,4.51,-,5.38,5.38,3.9,3.9,3.89,3.89
15,Long-Term Deferred Charges,1.62,2.13,3.66,4.85,5.81,7.16,-,7.88,-,9,9,13.24,13.24,14.04,14.04
16,Other Long-Term Assets,21.41,21.66,21.29,21.54,22.06,25.23,-,22.58,-,23.01,23.01,24.46,24.46,25.16,25.16
17,Total Assets,4146,4077,3956,3856,4107,4016,-,2591,-,2392,2392,1951,1951,1909,1909
18,Accounts Payable,402.19,338.5,335.4,293.09,336.52,357.27,-,282.22,-,301.78,301.78,276.82,276.82,325.73,325.73
19,Accrued Expenses,31.42,48.44,25.39,88.75,33.3,50.45,-,63.67,-,19.65,19.65,59.61,59.61,40,40
20,Current Income Taxes Payable,54.52,15.35,31.3,18.39,59.16,12.16,-,14.67,-,44.54,44.54,8.87,8.87,20.17,20.17
21,Current Unearned Revenue,12.04,14.38,16.89,16.13,11,11.36,-,14.63,-,15.62,15.62,10.62,10.62,11.47,11.47
22,Other Current Liabilities,3.42,85.21,3.72,5.24,2.83,9.32,-,3.51,-,3.61,3.61,0.73,0.73,1.93,1.93
23,Total Current Liabilities,503.6,501.89,412.7,421.6,442.8,440.55,-,378.71,-,385.21,385.21,356.66,356.66,399.3,399.3
24,Long-Term Unearned Revenue,2.79,2.8,3.45,4.33,5.29,5.91,-,7.65,-,9.46,9.46,7.56,7.56,6.57,6.57
25,Other Long-Term Liabilities,1.07,1.07,1.07,1.07,-,-,-,-,-,-,-,-,-,-,-
26,Total Liabilities,507.45,505.75,417.21,426.99,448.09,446.47,-,386.35,-,394.67,394.67,364.22,364.22,405.87,405.87
27,Common Stock,417,417,417,417,417,417,-,375.3,-,375.3,375.3,375.3,375.3,375.3,375.3
28,Additional Paid-In Capital,1687,1687,1687,1687,1687,1687,-,559.24,-,559.24,559.24,559.24,559.24,559.24,559.24
29,Retained Earnings,1535,1467,1434,1325,1555,1465,-,1270,-,1063,1063,652.14,652.14,568.47,568.47
30,Shareholders' Equity,3639,3571,3538,3429,3659,3569,2204,2204,-,1998,1998,1587,1587,1503,1503
31,Total Liabilities & Equity,4146,4077,3956,3856,4107,4016,-,2591,-,2392,2392,1951,1951,1909,1909
32,Net Cash (Debt),3179,3307,3067,3024,3197,3194,1792,1792,-,1570,1570,1290,1290,1214,1214
33,Net Cash Growth,-0.56%,3.54%,71.17%,68.76%,-,103.40%,14.12%,38.93%,-,29.34%,29.34%,-,-,-,-
34,Net Cash Per Share,7.70,7.91,7.32,7.48,7.59,8.37,4.85,4.77,-,4.17,4.17,3.44,3.44,3.23,3.23
35,Filing Date Shares Outstanding,417,417,417,417,417,417,369.82,375.3,376.45,375.3,375.3,375.3,375.3,375.3,375.3
36,Total Common Shares Outstanding,417,417,417,417,417,417,369.82,375.3,376.45,375.3,375.3,375.3,375.3,375.3,375.3
37,Working Capital,3476,3406,3370,3257,3483,3386,-,2019,-,1811,1811,1391,1391,1292,1292
38,Book Value Per Share,8.73,8.56,8.49,8.22,8.78,8.56,5.87,5.87,-,5.32,5.32,4.23,4.23,4.00,4.00
39,Tangible Book Value,3615,3547,3514,3404,3633,3543,2176,2176,-,1968,1968,1553,1553,1468,1468
40,Tangible Book Value Per Share,8.67,8.51,8.43,8.16,8.71,8.50,5.80,5.80,-,5.24,5.24,4.14,4.14,3.91,3.91
41,Buildings,-,109.21,-,109.21,-,109.21,-,109.21,-,109.21,109.21,109.21,109.21,109.21,109.21
42,Machinery,-,123.74,-,122.05,-,118.96,-,117.31,-,111.54,111.54,99.91,99.91,99.3,99.3
