,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,10483,11413,9403,12168,12990,11705,11572,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-2.49%,-2.49%,-18.74%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7304,8107,6336,8971,9792,8512,9780,-,-,-,-,-,-,-,-,-
3,Last Close Price,25.14,26.98,21.94,28.39,30.31,26.42,26.12,-,-,-,-,-,-,-,-,-
4,PE Ratio,22.91,25.15,21.54,29.55,31.68,29.69,28.77,-,-,-,-,-,-,-,-,-
5,Forward PE,-,22.11,22.55,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,10.18,11.18,9.42,12.25,13.09,11.97,11.62,-,-,-,-,-,-,-,-,-
7,PB Ratio,2.88,3.14,2.63,3.44,3.79,3.20,3.24,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,3.16,3.16,2.65,3.46,3.82,3.22,3.27,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,25.55,-,22.11,34.74,34.11,-,27.87,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,26.73,-,21.74,33.87,33.39,-,26.96,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,7.15,7.94,6.35,9.03,9.87,8.70,9.82,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,15.70,17.34,14.11,20.99,22.61,20.48,22.82,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,16.14,17.91,14.62,21.79,23.50,21.36,23.77,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,17.80,-,14.90,25.61,25.72,-,23.55,-,-,-,-,-,-,-,-,-
15,Asset Turnover,0.25,0.24,0.25,0.28,0.23,-,-,-,-,0.42,-,0.47,0.48,0.50,-,
16,Inventory Turnover,-,714.56,714.00,1874.87,-,-,-,-,-,-,21638.53,-,-,2034.82,1009.08,-
17,Quick Ratio,7.86,7.86,7.76,9.14,8.71,8.80,8.67,-,6.32,-,5.69,5.69,4.89,4.89,4.22,4.22
18,Current Ratio,7.90,7.90,7.79,9.17,8.73,8.87,8.69,-,6.33,-,5.70,5.70,4.90,4.90,4.23,4.23
19,Return on Equity (ROE),11.91%,12.70%,12.51%,14.07%,9.95%,12.22%,19.46%,-,-,20.74%,-,23.15%,23.78%,27.21%,-,
20,Return on Assets (ROA),6.69%,7.08%,6.86%,7.64%,5.59%,-,-,-,-,11.55%,-,12.06%,12.19%,14.12%,-,
21,Return on Capital (ROIC),7.63%,8.00%,7.69%,8.59%,6.28%,7.95%,12.74%,-,-,13.83%,-,14.82%,15.23%,17.94%,-,
22,Return on Capital Employed (ROCE),12.43%,12.43%,12.13%,11.62%,12.13%,10.87%,11.51%,-,19.36%,-,20.39%,20.26%,25.33%,19.43%,14.29%,7.14%
23,Earnings Yield,4.33%,3.98%,4.64%,3.38%,3.16%,3.37%,3.48%,-,-,-,-,-,-,-,-,-
24,FCF Yield,3.91%,3.59%,4.52%,2.88%,2.93%,3.23%,3.59%,-,-,-,-,-,-,-,-,-
25,Dividend Yield,1.71%,2.36%,1.31%,-,3.44%,-,3.25%,-,-,-,-,-,-,-,-,-
26,Payout Ratio,104.56%,111.89%,-,-,284.27%,-,-,-,-,-,-,-,54.45%,54.45%,-,-
27,Buyback Yield / Dilution,-6.87%,1.94%,-9.49%,-13.34%,-7.71%,-11.85%,-1.34%,1.83%,-0.04%,-0.31%,-0.37%,-0.37%,-,-,-,-
28,Total Shareholder Return,-5.16%,4.31%,-8.18%,-13.34%,-4.27%,-11.85%,1.91%,1.83%,-0.04%,-0.31%,-0.37%,-0.37%,-,-,-,-
