,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,68276,70359,54932,60976,49931,54392,50160,37006,35763,38176,Upgrade
1,Revenue Growth (YoY),24.29%,15.39%,10.02%,12.10%,-0.46%,46.98%,40.26%,-3.06%,3.00%,1.47%,Upgrade
2,Cost of Revenue,67913,69912,54532,60679,49640,54112,49554,36334,35202,37577,Upgrade
3,Gross Profit,363.83,447.19,399.45,297.05,290.38,279.15,606.61,672.32,561.41,598.44,Upgrade
4,"Selling, General & Admin",316.54,396.81,314.67,393.96,336.54,486.58,385.34,436.71,353.8,423.89,Upgrade
5,Other Operating Expenses,-34.67,-40.64,5.17,-43.67,-60.39,-22.88,-54.55,-50.57,-26.4,-215.87,Upgrade
6,Operating Expenses,324.47,409.68,269.41,504.67,145.67,476.68,347.26,392.81,375.82,335.68,Upgrade
7,Operating Income,39.36,37.51,130.05,-207.62,144.71,-197.53,259.35,279.51,185.59,262.75,Upgrade
8,Interest Expense,-295.9,-108.67,-297.16,-361.89,-272.51,-434.04,-290.16,-491.14,-441.96,-354.04,Upgrade
9,Interest & Investment Income,122.8,164.6,159.75,184.74,168.63,87.47,135.8,110.42,137.62,92.48,Upgrade
10,Earnings From Equity Investments,0.43,8.18,0.28,-4.22,4.89,3.41,24.64,9.78,18.21,65.45,Upgrade
11,Currency Exchange Gain (Loss),2.87,-3.2,8.1,8.72,15.54,-5.41,-1.55,-25.81,0.72,-5.09,Upgrade
12,Other Non Operating Income (Expenses),-45.87,-296.28,-24.18,-264.14,-38.21,-512.86,-40.98,-696.75,-26.4,-331.89,Upgrade
13,EBT Excluding Unusual Items,-176.3,-197.86,-23.17,-644.41,23.05,-1059,87.11,-813.99,-126.22,-270.34,Upgrade
14,Impairment of Goodwill,-,-,-,-267.08,-,-333.99,-,-183.56,-15.88,-258.33,Upgrade
15,Gain (Loss) on Sale of Investments,8.61,-34.99,-30.29,-4.51,37.22,-22.47,15.01,132.16,44.75,-216.09,Upgrade
16,Gain (Loss) on Sale of Assets,-,41.31,-,-1429,-,90.58,-,23.92,-,-0.31,Upgrade
17,Asset Writedown,294.53,358.05,112.41,-919.13,-14.87,-304.89,2.44,-1148,601.07,545.3,Upgrade
18,Other Unusual Items,11.79,-7.41,-1.08,-7.92,4,-32.78,-50.86,-3.48,-9.03,52.69,Upgrade
19,Pretax Income,138.63,159.1,57.87,-3272,49.4,-1663,53.71,-1993,494.69,-147.09,Upgrade
20,Income Tax Expense,97.87,130.58,20.72,-259.9,18.4,-179.99,21.3,-363.09,213.63,107.6,Upgrade
21,Earnings From Continuing Operations,40.76,28.52,37.15,-3012,31,-1483,32.4,-1630,281.06,-254.68,Upgrade
22,Minority Interest in Earnings,9.06,0.03,-14.79,-28.15,-30.92,124.81,-1.54,79.05,9.74,6.95,Upgrade
23,Net Income,49.82,28.55,22.36,-3040,0.08,-1358,30.87,-1551,290.8,-247.73,Upgrade
24,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-1.32,Upgrade
25,Net Income to Common,49.82,28.55,22.36,-3040,0.08,-1358,30.87,-1551,290.8,-246.41,Upgrade
26,Net Income Growth,122.76%,-,28571.79%,-,-99.75%,-,-89.39%,-,-14.60%,-,Upgrade
27,Shares Outstanding (Basic),12400,12392,12396,12390,11990,11778,11778,11778,11755,11745,Upgrade
28,Shares Outstanding (Diluted),12400,12392,12396,12390,11990,11778,11778,11778,11755,11810,Upgrade
29,Shares Change (YoY),0.03%,0.02%,3.39%,5.20%,1.80%,-0.00%,0.19%,-0.27%,0.91%,0.94%,Upgrade
30,EPS (Basic),0.00,0.00,0.00,-0.25,0.00,-0.12,0.00,-0.13,0.02,-0.02,Upgrade
31,EPS (Diluted),0.00,0.00,0.00,-0.25,0.00,-0.12,0.00,-0.13,0.02,-0.02,Upgrade
32,EPS Growth,122.67%,-,29966.67%,-,-99.77%,-,-89.47%,-,-15.12%,-,Upgrade
33,Free Cash Flow,-3417,-683.57,2648,-225.09,1031,-656.82,1304,1053,-1437,-36.51,Upgrade
34,Free Cash Flow Per Share,-0.28,-0.06,0.21,-0.02,0.09,-0.06,0.11,0.09,-0.12,-0.00,Upgrade
35,Operating Margin,0.06%,0.05%,0.24%,-0.34%,0.29%,-0.36%,0.52%,0.76%,0.52%,0.69%,Upgrade
36,Profit Margin,0.07%,0.04%,0.04%,-4.99%,0.00%,-2.50%,0.06%,-4.19%,0.81%,-0.65%,Upgrade
37,Free Cash Flow Margin,-5.00%,-0.97%,4.82%,-0.37%,2.06%,-1.21%,2.60%,2.85%,-4.02%,-0.10%,Upgrade
38,EBITDA,79.05,65.52,164.13,-193.03,189.45,-201.91,305.5,308.35,229.21,292.43,Upgrade
39,D&A For EBITDA,39.69,28.01,34.08,14.59,44.75,-4.38,46.15,28.84,43.62,29.68,Upgrade
40,EBIT,39.36,37.51,130.05,-207.62,144.71,-197.53,259.35,279.51,185.59,262.75,Upgrade
