,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,149.95,4.28,6.27,8.61,58.36,47.17,80,-,-,-,-,-,-,-,-,-
1,Revenue Growth (YoY),156.94%,-90.92%,-92.17%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Cost of Revenue,-7.03,0.71,2.27,4.04,-,-,-,-,-,-,-,-,-,-,-,-
3,Gross Profit,156.98,3.57,3.99,4.56,58.36,47.17,80,-,-,-,-,-,-,-,-,-
4,"Selling, General & Admin",-43.18,18.89,13.65,10.64,22.37,13.14,12.34,13,19.2,16.44,10.47,11.84,15.6,11.6,12.19,8.32
5,Research & Development,-295.68,86.77,124.16,84.75,93.9,111.8,127.04,110.16,84.23,158.22,111.36,107.68,71.45,95.12,83.95,64.51
6,Other Operating Expenses,414.65,0.01,0.03,0.03,0.03,0.06,0.01,-0.12,-0.02,0.08,0.01,-0.07,4.62,-4.54,-0.03,0.01
7,Operating Expenses,71.04,105.83,141.98,95.87,123.19,125.01,141.79,123.04,103.43,174.73,121.86,119.42,91.66,102.16,96.11,72.86
8,Operating Income,85.93,-102.26,-137.98,-91.31,-64.83,-77.84,-61.79,-123.04,-103.43,-174.73,-121.86,-119.42,-91.66,-102.16,-96.11,-72.86
9,Interest Expense,-19.71,-,-0.19,-,-0.02,-,-0.54,-,-0.31,-0.22,-0.25,-0.25,-1.19,-1.78,-0.79,-0.32
10,Interest & Investment Income,-,5.7,6.14,8.06,21.45,11.14,2.32,6.03,8.91,5.05,2.34,1.09,12.76,-,0.32,2.57
11,Currency Exchange Gain (Loss),-,-0.69,0.69,-,1.18,-4.52,4.52,-,19.99,-13.37,13.37,-,-11.33,-,-3.72,3.72
12,Other Non Operating Income (Expenses),1.37,-1.31,-0.14,0.08,-3.49,2.61,2.52,-2.66,-23.46,23.34,1.21,-1.29,-4.6,4.38,0.05,-0.05
13,EBT Excluding Unusual Items,67.59,-98.56,-131.48,-83.18,-45.71,-68.61,-52.98,-119.67,-98.3,-159.94,-105.19,-119.88,-96.01,-99.56,-100.25,-66.94
14,Gain (Loss) on Sale of Investments,-0.83,0.57,0.26,-,-,-4.9,3.1,1.8,-,-,-,-,-,-,-,-
15,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-
16,Other Unusual Items,-7.08,6.9,0.18,-,3,-,-,-,-0.18,0.18,-0.18,-,4.85,-,-0.04,0.04
