,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,9689,7671,5646,4170,5795,8706,7906,7872,9419,7636,6095,-,-,-,-,-,-
1,Market Cap Growth,-11.89%,-11.89%,-28.59%,-47.03%,-38.47%,14.01%,29.72%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8090,6071,3915,2343,3818,6728,5896,5748,7048,5265,5577,-,-,-,-,-,-
3,Last Close Price,16.80,13.30,9.79,7.23,10.05,15.14,13.75,13.69,16.38,13.28,10.60,-,-,-,-,-,-
4,PE Ratio,-,-31.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,56.75,45.36,72.84,34.63,29.85,46.92,62.17,98.40,-,-,-,-,-,-,-,-,-
6,PB Ratio,5.58,4.42,3.25,2.29,3.00,4.36,3.91,3.79,4.46,3.45,2.64,-,-,-,-,-,-
7,P/TBV Ratio,4.42,4.42,3.26,2.29,3.00,4.36,3.91,3.79,4.46,3.45,2.65,-,-,-,-,-,-
8,EV/Sales Ratio,47.84,35.90,50.51,19.46,19.67,36.27,46.36,71.85,-,-,-,-,-,-,-,-,-
9,EV/EBITDA Ratio,-,-25.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/EBIT Ratio,-,-24.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,Debt / Equity Ratio,0.01,0.01,0.01,0.00,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.05,0.04,0.03,-,-,-
12,Debt / EBITDA Ratio,-,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Asset Turnover,-,0.01,0.01,0.02,0.11,0.09,0.14,-,-,-,-,-,-,-,-,-,
14,Quick Ratio,-,-,13.66,12.67,14.92,13.28,16.55,18.55,17.87,20.17,15.73,4.12,5.84,7.37,-,-,-
15,Current Ratio,-,-,13.77,12.74,14.99,13.41,16.70,18.69,18.03,20.41,15.84,4.26,6.02,7.50,-,-,-
16,Return on Equity (ROE),13.76%,-20.51%,-27.93%,-16.92%,-8.50%,-14.34%,-9.52%,-21.79%,-17.43%,-45.98%,-80.47%,-76.25%,-,-,-,-,
17,Return on Assets (ROA),-,-13.23%,-17.03%,-10.77%,-7.50%,-8.92%,-6.94%,-13.39%,-10.74%,-28.28%,-46.40%,-39.99%,-,-,-,-,
18,Return on Capital (ROIC),12.21%,-14.26%,-18.30%,-11.55%,-7.97%,-9.36%,-7.29%,-14.05%,-11.33%,-30.98%,-55.75%,-45.75%,-,-,-,-,
19,Earnings Yield,-2.54%,-3.20%,-6.16%,-7.92%,-4.30%,-3.26%,-4.30%,-5.41%,-5.11%,-6.33%,-7.81%,-,-,-,-,-,-
20,FCF Yield,-,-6.49%,-7.15%,-5.54%,-3.61%,-4.92%,-6.35%,-4.95%,-6.35%,-6.55%,-,-,-,-,-,-,
21,Buyback Yield / Dilution,1.44%,6.41%,-0.67%,0.66%,-0.81%,-3.69%,-4.38%,-23.83%,-27.82%,-25.89%,-17.99%,-,-0.23%,-,-,-,-
22,Total Shareholder Return,1.44%,6.41%,-0.67%,0.66%,-0.81%,-3.69%,-4.38%,-23.83%,-27.82%,-25.89%,-17.99%,-,-0.23%,-,-,-,-
