,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,1523,1638,1837,1919,2012,1526,1646,2235,2390,539.43,615.15,724.25,-,-,-
1,Trading Asset Securities,-,100.83,100.26,-,-,-,504.9,501.8,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,1624,1624,1738,1837,1919,2012,2031,2148,2235,2390,539.43,615.15,724.25,-,-,1033
3,Cash Growth,-15.41%,-19.31%,-14.44%,-14.46%,-14.13%,-15.80%,276.57%,249.12%,208.62%,-,-,-40.46%,-,-,-,-
4,Accounts Receivable,-,187.2,183.66,183.93,176.57,77.6,77.6,-,-,-,-,-,-,-,-,-
5,Other Receivables,-,5.64,4.54,9.6,6.65,4.37,4.1,4.35,3.98,3.68,3.13,0.08,4.25,-,-,-
6,Receivables,-,192.83,188.2,193.53,183.21,81.97,81.7,4.35,3.98,3.68,3.13,0.08,4.25,-,-,-
7,Other Current Assets,-,15.04,10.13,9.21,20.46,19.31,16.59,19.31,26.28,16.88,18.75,18.94,12.95,-,-,-
8,Total Current Assets,-,1832,1936,2040,2123,2114,2130,2171,2265,2410,561.31,634.16,741.45,-,-,-
9,"Property, Plant & Equipment",-,40.33,25.22,27.85,30.38,39.17,41.56,44.81,47.14,38.01,40.93,43.76,44.02,-,-,-
10,Other Intangible Assets,-,0.67,0.76,0.84,0.92,1,1.08,1.17,1.25,1.33,10.12,0.31,0.11,-,-,-
11,Long-Term Deferred Tax Assets,-,5.82,1.5,2.22,2.9,-,-,-,6.22,-,-,-,-,-,-,-
12,Long-Term Deferred Charges,-,-,0.35,0.7,1.05,4.3,3.48,3.93,4.4,4.6,5.85,7.14,8.42,-,-,-
13,Other Long-Term Assets,-,12.97,9.61,5.34,3.9,0.21,28.02,24.63,23.35,14.4,1.87,7.64,6.02,-,-,-
14,Total Assets,-,1891,1974,2077,2162,2158,2204,2246,2348,2469,620.08,693.01,800.03,-,-,-
15,Accounts Payable,-,55.57,80.65,58.14,72.52,68.2,80.4,76.21,62.25,121.25,106.06,83.15,64.22,-,-,-
16,Accrued Expenses,-,17.7,17.42,20.92,28.86,27.19,22.23,29.16,36.19,19.54,14.43,10.74,25.71,-,-,-
17,Short-Term Debt,-,-,-,-,-,16.29,-,-,-,-,-,-,-,-,-,-
18,Current Portion of Leases,-,7.57,5.8,7.48,9,11,11.19,11.73,12.07,8.47,9.41,10.06,8.71,-,-,-
19,Current Income Taxes Payable,-,0.14,-,0.13,-,0.21,-,0.04,-,0.01,0.01,-,-,-,-,-
20,Current Unearned Revenue,-,47.17,47.17,47.17,47.17,-,-,-,-,-,-,-,-,-,-,-
21,Other Current Liabilities,-,4.87,0.98,2.27,0.72,3.65,0.11,3.29,0.51,2.93,1.86,1.41,0.22,-,-,-
22,Total Current Liabilities,-,133.03,152.02,136.11,158.27,126.54,113.93,120.43,111.02,152.21,131.78,105.37,98.85,-,-,-
23,Long-Term Leases,-,16.7,1.12,2.92,2.61,7.75,9.78,12.3,15.27,10.9,12.25,13.73,14.94,-,-,-
24,Long-Term Unearned Revenue,-,0.88,0.88,0.88,0.88,0.88,0.88,0.4,0.4,1.2,1.2,1.2,1.2,-,-,-
25,Long-Term Deferred Tax Liabilities,-,5.82,1.5,2.22,2.9,-,-,-,6.22,-,-,-,-,-,-,-
26,Total Liabilities,-,156.43,155.52,142.13,164.67,135.17,124.59,133.13,132.9,164.31,145.22,120.29,115,-,-,-
27,Common Stock,-,576.75,576.72,576.66,575,575,575,575,575,575,460,460,460,-,-,-
28,Additional Paid-In Capital,-,3781,3772,3757,3738,3721,3703,3686,3671,3664,1789,1781,1773,-,-,-
29,Retained Earnings,-,-2610,-2519,-2388,-2305,-2262,-2188,-2139,-2021,-1922,-1763,-1657,-1537,-,-,-
30,Comprehensive Income & Other,-,-12.37,-11.72,-11.33,-10.74,-10.99,-10.51,-9.98,-10.4,-11.86,-11.25,-10.93,-10.79,-,-,-
31,Shareholders' Equity,1735,1735,1818,1935,1998,2023,2079,2113,2215,2305,474.86,572.72,685.03,-,-,1010
32,Total Liabilities & Equity,-,1891,1974,2077,2162,2158,2204,2246,2348,2469,620.08,693.01,800.03,-,-,-
33,Total Debt,24.27,24.27,6.91,10.4,11.62,35.04,20.97,24.03,27.34,19.37,21.66,23.79,23.66,-,-,-
34,Net Cash (Debt),1599,1599,1731,1827,1908,1977,2010,2124,2208,2371,517.77,591.36,700.6,-,-,1033
35,Net Cash Growth,-16.16%,-19.10%,-13.89%,-13.98%,-13.59%,-16.59%,288.28%,259.10%,215.14%,-,-,-42.77%,-,-,-,-
36,Net Cash Per Share,2.87,2.81,3.07,3.07,3.21,3.49,3.54,3.60,3.85,4.37,1.13,1.28,1.54,-,-,2.25
37,Filing Date Shares Outstanding,576.75,576.75,576.72,576.66,575,575,575,575,575,575,460,460,460,459.91,-,460
38,Total Common Shares Outstanding,576.75,576.75,576.72,576.66,575,575,575,575,575,575,460,460,460,459.91,-,460
39,Working Capital,-,1699,1784,1904,1965,1987,2016,2051,2154,2258,429.53,528.8,642.6,-,-,-
40,Book Value Per Share,3.01,3.01,3.15,3.35,3.47,3.52,3.62,3.67,3.85,4.01,1.03,1.25,1.49,-,-,2.20
41,Tangible Book Value,1734,1734,1818,1934,1997,2022,2078,2112,2214,2303,464.74,572.41,684.92,-,-,1010
42,Tangible Book Value Per Share,3.01,3.01,3.15,3.35,3.47,3.52,3.61,3.67,3.85,4.01,1.01,1.24,1.49,-,-,2.20
43,Machinery,-,-,32.41,-,32.04,-,30.09,-,27.07,-,-,24.77,23.91,-,-,-
44,Construction In Progress,-,-,2.75,-,0.5,-,3.39,-,2.58,-,-,1.87,1.87,-,-,-
