,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,28.61,52.04,19.78,116.5,5.58,125.15,40.13,151.6,11.76,94.2,20.23,128.27,2.45,40.11,40.11
1,Revenue Growth (YoY),413.08%,-58.41%,-50.72%,-23.15%,-52.56%,32.85%,98.39%,18.19%,379.98%,134.87%,-49.57%,-,-,-,-
2,Cost of Revenue,6.1,29.91,12.16,40.93,1.44,54.81,11.23,39.76,2.42,33.82,4.9,27.78,0.65,10.15,10.15
3,Gross Profit,22.51,22.13,7.62,75.58,4.13,70.34,28.9,111.85,9.33,60.38,15.33,100.49,1.8,29.96,29.96
4,"Selling, General & Admin",11.96,10.86,9.69,11.17,9.3,7.36,7.76,9.85,6.43,6.8,4.55,5.78,4.81,6.17,6.17
5,Research & Development,24.32,21.05,15.37,33.9,11.6,11.64,10.89,23.93,8.82,6.26,4.27,15.13,4.82,4.92,4.92
6,Other Operating Expenses,-14.32,0.02,0.08,0.22,-0.8,-4.68,-0.51,14.23,-5.21,-2.93,-4.09,6.93,-3.06,-0.89,-0.89
7,Operating Expenses,16.7,50.65,28.05,59.87,14.45,19.47,20.6,55.12,5.92,12.03,5.14,29.11,6.47,10.85,10.85
8,Operating Income,5.82,-28.52,-20.44,15.7,-10.31,50.87,8.29,56.73,3.41,48.34,10.19,71.39,-4.67,19.11,19.11
9,Interest Expense,-0,-0,-0,-0,-0.01,-0.01,-0.05,-0.01,-0,-,-0,-0,-0,-0.01,-0.01
10,Interest & Investment Income,0.92,1.55,1.74,2.51,2.56,2.13,1.92,2.86,1.1,0.4,0.99,0.81,1.61,0.76,0.76
11,Other Non Operating Income (Expenses),0.11,-0.12,-0,-0.04,-3.08,-0.04,-0.01,-2.11,-0,1.99,-0.01,-1.44,-0.07,0.75,0.75
