,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,7099,7371,7611,8822,9817,12964,13666,12874,13641,11170,11315,-,-,-,-,-
1,Market Cap Growth,-43.15%,-43.15%,-44.31%,-31.47%,-28.04%,16.06%,20.77%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6796,6964,7219,8315,9327,12354,13069,12186,12970,10450,11119,-,-,-,-,-
3,Last Close Price,34.25,35.56,36.72,43.19,48.06,63.47,66.90,62.84,66.59,54.52,55.23,-,-,-,-,-
4,PE Ratio,-,-,-,-,123.16,-,96.41,95.81,102.76,63.00,66.78,-,-,-,-,-
5,Forward PE,34.53,38.74,38.60,35.81,42.92,62.57,63.34,66.94,58.87,51.63,-,-,-,-,-,-
6,PS Ratio,32.12,33.98,39.25,33.04,34.16,40.21,41.58,43.25,49.11,43.90,46.16,-,-,-,-,-
7,PB Ratio,5.21,5.41,5.61,6.33,6.97,9.42,9.84,9.35,10.00,8.82,8.96,-,-,-,-,-
8,P/TBV Ratio,5.44,5.44,5.64,6.36,7.01,9.48,9.90,9.41,10.07,8.88,9.04,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-74.88,-,-231.27,-,-169.08,-,-174.41,-,-,-,-,-
10,P/OCF Ratio,-,-,-79.61,-,-677.81,-,419.27,-,-2698.00,-,-356.19,-,-,-,-,-
11,EV/Sales Ratio,31.33,32.10,37.23,31.14,32.46,38.31,39.77,40.94,46.69,41.07,45.36,-,-,-,-,-
12,EV/EBITDA Ratio,-,-681.65,-,-,123.22,-,101.63,97.42,102.29,73.97,83.53,-,-,-,-,-
13,EV/EBIT Ratio,-,-253.82,-,-,144.50,-,109.55,104.36,109.30,78.38,88.78,-,-,-,-,-
14,EV/FCF Ratio,-29.59,-,-,-,-71.14,-,-221.17,-,-160.76,-,-171.38,-,-,-,-,-
15,Debt / Equity Ratio,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,-,-,-
16,Debt / EBITDA Ratio,-,-,-,-,0.00,-,0.00,0.02,0.00,0.03,-,0.00,0.00,-,-,-
17,Debt / FCF Ratio,-,-,-,-,0.00,-,-0.01,-,-0.01,-,-,-,-0.01,-,-,-
18,Asset Turnover,0.08,0.14,0.05,0.32,0.02,0.35,0.11,0.45,0.04,-,-,-,-,-,-,
19,Inventory Turnover,0.45,0.11,0.60,0.26,0.91,0.04,1.47,0.33,1.32,0.09,-,-,-,-,-,-
20,Quick Ratio,8.74,8.74,8.85,32.08,19.11,27.70,25.12,48.87,27.06,36.09,26.81,-,15.08,-,-,-
21,Current Ratio,11.85,11.85,11.07,40.99,23.20,34.19,28.92,57.25,30.79,41.88,29.69,-,17.65,-,-,-
22,Return on Equity (ROE),-2.13%,-2.73%,-4.26%,7.85%,-3.54%,15.16%,3.56%,22.04%,1.47%,18.38%,6.07%,-,-,-,-,
23,Return on Assets (ROA),0.99%,-4.88%,-3.50%,2.70%,-1.79%,8.88%,1.47%,10.42%,0.65%,-,-,-,-,-,-,
24,Return on Capital (ROIC),1.07%,-5.18%,-3.65%,2.82%,-1.86%,9.19%,1.51%,10.77%,0.67%,12.33%,3.65%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-1.99%,-,-,4.51%,-,8.45%,8.40%,8.61%,10.44%,9.82%,-,14.68%,-,-,-
26,Earnings Yield,-0.06%,-0.06%,-0.12%,0.60%,0.81%,0.96%,1.04%,1.04%,0.97%,1.59%,1.50%,-,-,-,-,-
27,FCF Yield,-3.24%,-3.12%,-3.25%,-1.87%,-1.34%,-1.01%,-0.43%,-0.78%,-0.59%,-0.67%,-0.57%,-,-,-,-,-
28,Dividend Yield,0.44%,-,-,-,0.32%,-,-,-,0.30%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,-,76.80%,-,-,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,0.05%,0.16%,0.06%,-0.08%,-0.05%,-0.04%,-20.10%,-33.24%,-33.33%,-33.31%,-11.08%,-0.05%,-,-,-,-
31,Total Shareholder Return,0.49%,0.16%,0.06%,-0.08%,0.27%,-0.04%,-20.10%,-33.24%,-33.03%,-33.31%,-11.08%,-0.05%,-,-,-,-
