,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,193.03,406.72,392.44,507.46,489.75,611.05,105.06,498.28,291.41,580.37,-,66.63,-,-,-
1,Trading Asset Securities,110.25,-,-,-,-,-,492.29,190.31,380.47,140.06,-,190.68,-,-,-
2,Cash & Short-Term Investments,303.29,406.72,392.44,507.46,489.75,611.05,597.35,688.59,671.89,720.44,257.31,257.31,-,-,255.03
3,Cash Growth,-38.07%,-33.44%,-34.30%,-26.30%,-27.11%,-15.18%,132.15%,167.61%,-,-,0.89%,-,-,-,-
4,Accounts Receivable,466.74,468.95,461.06,452.84,426.03,443.37,410.3,371.48,306.28,350.22,-,283.54,-,-,-
5,Other Receivables,-,15.39,1.93,1.11,2.21,2.57,1.89,-,0.37,0.31,-,0.16,-,-,-
6,Receivables,466.74,484.34,462.99,453.95,428.23,445.94,412.19,371.48,306.64,350.54,-,283.7,-,-,-
7,Inventory,221.4,203.19,193.72,186.89,172.09,152.41,146.74,125.72,115.4,94.7,-,79.49,-,-,-
8,Other Current Assets,53.1,19.91,43.92,18.6,42.81,7.45,26.52,20.53,41.3,20.18,-,12.66,-,-,-
9,Total Current Assets,1045,1114,1093,1167,1133,1217,1183,1206,1135,1186,-,633.15,-,-,-
10,"Property, Plant & Equipment",303.51,197.19,169.31,173.74,124.43,122.04,83.12,65,56.4,46.84,-,44.88,-,-,-
11,Long-Term Investments,87.98,87.98,87.98,87.98,83.1,83.1,83.1,83.1,55.35,55.35,-,55.35,-,-,-
12,Other Intangible Assets,5.86,6.46,7.06,7.66,8.26,8.87,8.49,9.05,9.29,9.82,-,10.9,-,-,-
13,Long-Term Deferred Tax Assets,16.32,12.37,8.68,5.09,4.07,4.33,3.14,3.02,2.26,2.94,-,3.06,-,-,-
14,Long-Term Deferred Charges,10.85,11.21,11.47,11.05,-,-,-,-,-,-,-,-,-,-,-
15,Other Long-Term Assets,0.81,48.68,63.73,28.15,79.38,19.36,50.49,51.39,46.19,14.21,-,3.21,-,-,-
