,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Cash & Equivalents,22016,217237,17959,11980,121569,11732,-,189705,62286,134346,284848,198580,-,-,26929,71775,66829,32493,47935,36598,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10500,21000,-,78949,286730,Upgrade
2,Cash & Short-Term Investments,22016,217237,17959,11980,121569,11732,-,189705,62286,134346,284848,198580,-,-,26929,82275,87829,32493,126884,323328,Upgrade
3,Cash Growth,-81.89%,1751.60%,-,-93.68%,95.18%,-91.27%,-,-4.47%,-,-,957.76%,141.36%,-,-,-78.78%,-74.55%,-63.82%,-13.67%,260.78%,808.14%,Upgrade
4,Accounts Receivable,2078018,1258275,2924531,2072362,2354197,2203973,-,1774978,2191218,1971563,1611500,1262338,-,-,1328830,942251,1366224,921275,1244210,1125210,Upgrade
5,Other Receivables,1165510,598734,786829,873486,1235623,1387764,-,1688089,1261800,1396458,1294974,1065659,-,-,703974,607990,981536,1021016,997892,1834954,Upgrade
6,Receivables,3243529,1857010,3711360,2945847,3589820,3591737,-,3463067,3453019,3368021,2906475,2327997,-,-,2032804,1550241,2347760,1942291,2242102,2960164,Upgrade
7,Inventory,146677,159316,17392,17082,16639,112691,-,447501,647419,542941,342190,118815,-,-,665316,370136,156087,488059,31371,29646,Upgrade
8,Prepaid Expenses,9708,4492,8822,13085,17353,412.93,-,801.78,997.01,1178,790.46,623.95,-,-,1211,2597,55.91,72.25,60.92,58.73,Upgrade
9,Other Current Assets,609383,622616,528155,528432,479141,6915,-,8995,52935,37579,33485,2406,-,-,77869,48991,13749,3705,4794,3078,Upgrade
10,Total Current Assets,4031313,2860671,4283688,3516426,4224522,3723489,-,4110070,4216655,4084065,3567788,2648423,-,-,2804128,2054241,2605480,2466621,2405211,3316275,Upgrade
11,"Property, Plant & Equipment",196480,187364,317261,185675,185926,185419,-,3749,183071,4408,4030,4092,-,-,36680,49591,16976,16634,17097,17576,Upgrade
12,Long-Term Investments,817982,820861,820861,741917,741919,741916,-,741671,741671,257728,232366,711166,-,-,711182,1054282,1039282,1119088,787088,787088,Upgrade
13,Goodwill,2518,2746,2975,3204,3433,3662,-,4119,4348,4577,4806,5035,-,-,259771,271268,6636,6865,7094,7323,Upgrade
14,Other Intangible Assets,9988,9988,9988,9988,9988,9988,-,9988,9988,9988,9988,9988,-,-,9988,9988,9988,9988,9988,9988,Upgrade
15,Other Long-Term Assets,542843,542109,542364,542535,542787,549390,-,552142,553996,554796,552978,554383,-,-,280320,636077,952546,1251379,2111454,1850716,Upgrade
16,Total Assets,5601122,4423739,5977138,4999745,5708575,5213909,-,5421802,5709792,4915562,4371956,3933085,-,-,4102070,4075447,4630909,4870575,5337932,5988965,Upgrade
17,Accounts Payable,508692,269858,694458,611299,1015808,1033504,-,1049583,1194578,1075102,1046044,741714,-,-,751555,432236,553135,507756,600879,751280,Upgrade
18,Accrued Expenses,18506,28552,30666,13792,35354,32002,-,9992,18492,18691,16681,10477,-,-,19480,18732,129128,209808,223406,246407,Upgrade
19,Short-Term Debt,3395547,2444448,3581249,2367869,2727230,2384273,-,2699690,2819060,1859736,1300512,1283761,-,-,1457023,906877,1551928,1132282,1035538,1343412,Upgrade
20,Current Income Taxes Payable,3079,3262,3113,926.28,2871,2353,-,11231,12601,7903,6619,812.31,-,-,4145,46404,67910,5050,25093,21438,Upgrade
21,Current Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,898.61,Upgrade
22,Other Current Liabilities,80423,82484,73153,417535,341283,172999,-,66868,81053,221763,270722,180467,-,-,116826,276622,196765,1000456,1321334,1487106,Upgrade
23,Total Current Liabilities,4006246,2828603,4382638,3411421,4122546,3625132,-,3837364,4125785,3183194,2640578,2217231,-,-,2349029,1680870,2498866,2855351,3206249,3850542,Upgrade
24,Long-Term Debt,-,-,-,-,-,-,-,-,-,124833,126583,127333,-,-,200000,312800,62500,62500,187500,218750,Upgrade
25,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,434.25,-,-,Upgrade
26,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,100,100,100,100,-,-,100,100,100,100,100,100,Upgrade
27,Total Liabilities,4006246,2828603,4382638,3411421,4122546,3625132,-,3837364,4125885,3308127,2767261,2344664,-,-,2549129,1993770,2561466,2918386,3393849,4069392,Upgrade
28,Common Stock,1296071,1296071,1296071,1296071,1296071,1296071,-,1296071,1296071,1296071,1296071,1296071,-,-,1296071,1296071,1296071,1296071,1296071,1296071,Upgrade
29,Additional Paid-In Capital,16351,16351,16351,16351,16351,16351,-,16351,16351,16351,16351,16351,-,-,16351,16351,16351,16351,16351,16351,Upgrade
30,Retained Earnings,273153,273507,273000,266608,264204,267109,-,262645,262012,285650,283003,266118,-,-,230761,331952,320460,245281,238740,214330,Upgrade
31,Total Common Equity,1585575,1585930,1585422,1579030,1576626,1579531,-,1575067,1574434,1598072,1595426,1578540,-,-,1543183,1644375,1632882,1557704,1551163,1526753,Upgrade
32,Minority Interest,9301,9206,9077,9294,9403,9246,-,9372,9473,9363,9269,9881,-,-,9757,437302,436561,394485,392920,392820,Upgrade
33,Shareholders' Equity,1594876,1595136,1594499,1588324,1586029,1588777,-,1584439,1583907,1607435,1604695,1588421,-,-,1552941,2081676,2069443,1952189,1944082,1919573,Upgrade
34,Total Liabilities & Equity,5601122,4423739,5977138,4999745,5708575,5213909,-,5421802,5709792,4915562,4371956,3933085,-,-,4102070,4075447,4630909,4870575,5337932,5988965,Upgrade
35,Total Debt,3395547,2444448,3581249,2367869,2727230,2384273,-,2699690,2819060,1984569,1427096,1411094,-,-,1657023,1219677,1614428,1194782,1223038,1562162,Upgrade
36,Net Cash (Debt),-3373531,-2227211,-3563290,-2355889,-2605662,-2372541,-,-2509985,-2756775,-1850223,-1142247,-1212514,-,-,-1630093,-1137402,-1526600,-1162289,-1096154,-1238834,Upgrade
37,Net Cash Per Share,-26028.90,-17537.85,-27306.47,-18734.77,-19731.88,-18393.70,-,-19838.63,-21226.00,-14080.32,-8798.43,-9218.15,-,-,-12273.33,-8805.95,-11769.10,-8989.94,-,-,Upgrade
38,Filing Date Shares Outstanding,129.61,129.61,129.61,129.61,129.61,129.61,129.41,129.61,129.88,129.61,129.61,129.61,136.27,130.64,129.61,129.61,129.61,129.29,-,-,Upgrade
39,Total Common Shares Outstanding,129.61,129.61,129.61,129.61,129.61,129.61,129.41,129.61,129.88,129.61,129.61,129.61,136.27,130.64,129.61,129.61,129.61,129.29,-,-,Upgrade
40,Working Capital,25066,32068,-98950,105005,101977,98357,-,272707,90870,900871,927210,431192,-,-,455099,373370,106614,-388731,-801038,-534267,Upgrade
41,Book Value Per Share,12233.70,12236.44,12232.52,12183.20,12164.65,12187.07,-,12152.62,12122.48,12330.12,12309.70,12179.42,-,-,11906.62,12687.38,12598.70,12048.34,-,-,Upgrade
42,Tangible Book Value,1573070,1573196,1572459,1565838,1563206,1565882,-,1560960,1560099,1583507,1580632,1563518,-,-,1273425,1363120,1616258,1540851,1534081,1509442,Upgrade
43,Tangible Book Value Per Share,12137.22,12138.19,12132.50,12081.42,12061.11,12081.76,-,12043.78,12012.10,12217.75,12195.56,12063.52,-,-,9825.27,10517.32,12470.44,11917.99,-,-,Upgrade
44,Construction In Progress,182102,181524,311138,180042,180029,179158,-,112.93,179120,112.92,-,-,-,-,-,-,-,-,-,-,Upgrade
