,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Market Capitalization,790604,881329,881329,842446,907250,894289,894289,1036857,997975,972054,1075739,907250,1905225,2216282,1814500,1425679,1153504,907250,1049818,1179425,1192386,Upgrade
1,Market Cap Growth,-1.45%,-1.45%,-1.45%,-18.75%,-9.09%,-8.00%,-16.87%,14.29%,-47.62%,-56.14%,-40.71%,-36.36%,65.17%,144.29%,72.84%,20.88%,-3.26%,-22.22%,-10.00%,-7.14%,0.62%,Upgrade
2,Enterprise Value,4173435,3117745,4453696,3207629,3522315,3276076,4044862,3556214,2857561,2831639,2227256,2129645,3545075,3856132,3454350,3000382,3116664,2464025,2538891,2811079,2877783,Upgrade
3,Last Close Price,6100.00,6800.00,6800.00,6500.00,7000.00,6900.00,6900.00,8000.00,7700.00,7500.00,8300.00,7000.00,14700.00,17100.00,14000.00,11000.00,8900.00,7000.00,8100.00,9100.00,9200.00,Upgrade
4,PE Ratio,90.81,-,143.33,-1998.97,239.19,-,-,-94.66,-948.50,-,41.68,30.93,197.95,119.87,19.59,13.32,8.75,6.26,10.67,13.79,16.15,Upgrade
5,PS Ratio,0.21,0.23,0.23,0.17,0.18,0.16,0.14,0.18,0.17,0.17,0.22,0.19,0.44,0.60,0.41,0.36,0.28,0.21,0.28,0.29,0.33,Upgrade
6,PB Ratio,0.50,0.55,0.55,0.53,0.57,0.56,0.56,-,0.63,0.61,0.67,0.57,1.20,-,-,0.92,0.55,0.44,0.54,0.61,0.62,Upgrade
7,P/TBV Ratio,0.56,0.56,0.56,0.54,0.58,0.57,0.57,-,0.64,0.62,0.68,0.57,1.22,-,-,1.12,0.85,0.56,0.68,0.77,0.79,Upgrade
8,P/FCF Ratio,-,-,-1.56,-,-,-,-,-,-0.83,-,-,-,-,-,-22.39,-,3.72,-,-,0.77,-3.00,Upgrade
9,P/OCF Ratio,-,-,-1.57,-,-,-,-,-,-0.83,-,-,-,-,-,-22.69,-,3.71,-,-,0.77,-3.01,Upgrade
10,EV/Sales Ratio,1.09,0.82,1.14,0.67,0.70,0.57,0.66,0.60,0.48,0.48,0.45,0.44,0.82,1.04,0.79,0.75,0.77,0.56,0.67,0.69,0.79,Upgrade
11,EV/EBITDA Ratio,169.93,113.55,270.07,252.91,80.93,76.51,-,64.88,74.71,76.87,-,46.46,168.94,186.68,23.56,21.75,-,14.45,59.41,63.97,83.67,Upgrade
12,EV/EBIT Ratio,185.84,122.97,309.54,303.96,85.16,-,-,67.63,79.39,81.92,-,93.43,-,-,26.44,22.07,-,16.03,98.78,105.41,118.49,Upgrade
13,EV/FCF Ratio,-5.67,-,-7.90,-,-,-,-,-,-2.36,-,-,-,-,-,-42.63,-,10.06,-,-,1.83,-7.24,Upgrade
14,Debt / Equity Ratio,2.13,2.13,1.53,2.25,1.49,1.72,1.50,-,1.70,1.78,1.23,0.89,0.89,-,-,1.07,0.59,0.78,0.61,0.63,0.81,Upgrade
15,Debt / EBITDA Ratio,123.67,75.10,707.33,69.53,245.30,2018.92,-,-,394.63,65.06,-,13.14,1181.06,-,-,180.20,-,3.12,47.06,13.30,33.02,Upgrade
16,Debt / FCF Ratio,-,-,-4.34,-,-,-,-,-,-2.23,-,-,-,-,-,-,-,3.94,-,-,0.80,-3.93,Upgrade
17,Asset Turnover,1.00,0.41,0.93,0.56,0.99,-,-,-,1.35,1.02,1.50,-,-,-,-,0.65,1.34,0.53,0.77,0.69,Upgrade,
18,Inventory Turnover,46.12,32.40,23.79,292.31,175.95,82.46,-,-,-,11.87,10.67,26.38,-,-,-,-,10.53,18.12,10.18,140.13,145.57,Upgrade
19,Quick Ratio,0.82,0.82,0.73,0.85,0.87,0.90,0.99,-,0.95,0.85,1.10,1.21,1.14,-,-,0.88,0.97,0.97,0.69,0.74,0.85,Upgrade
20,Current Ratio,1.01,1.01,1.01,0.98,1.03,1.02,1.03,-,1.07,1.02,1.28,1.35,1.19,-,-,1.19,1.22,1.04,0.86,0.75,0.86,Upgrade
21,Return on Equity (ROE),-0.06%,0.16%,1.71%,0.42%,-0.69%,-,-,-,-5.90%,0.29%,5.25%,-,-,-,-,2.36%,23.43%,3.94%,5.66%,5.82%,Upgrade,
22,Return on Assets (ROA),0.53%,0.02%,0.56%,0.09%,-0.01%,-,-,-,0.48%,-0.11%,1.60%,-,-,-,-,-0.03%,6.78%,0.29%,0.51%,0.32%,Upgrade,
23,Return on Capital (ROIC),0.59%,0.02%,0.68%,0.12%,-0.02%,-,-,-,0.64%,-0.15%,2.20%,-,-,-,-,-0.04%,9.43%,0.47%,0.86%,0.54%,Upgrade,
24,Return on Capital Employed (ROCE),1.59%,1.59%,0.90%,0.66%,2.60%,-,-,-,2.27%,2.18%,-,1.32%,-,-,-,7.76%,-,7.21%,1.28%,1.25%,1.14%,Upgrade
25,Earnings Yield,1.10%,0.99%,0.70%,-0.05%,0.42%,0.30%,-2.02%,-1.06%,-0.11%,0.10%,2.40%,3.23%,0.51%,0.83%,5.10%,7.51%,11.43%,15.99%,9.37%,7.25%,6.19%,Upgrade
26,FCF Yield,-93.11%,-83.53%,-63.97%,-211.51%,-129.46%,-44.89%,-,-168.97%,-121.11%,-218.24%,-121.73%,-22.76%,-12.27%,16.00%,-4.47%,-23.74%,26.86%,28.61%,108.32%,130.12%,-33.35%,Upgrade
27,Payout Ratio,2.32%,-,-,2.98%,-,-,-,1.84%,-,-,38.51%,-,-,-,8.85%,-,2.46%,-,-,-,-,Upgrade
28,Buyback Yield / Dilution,-2.12%,1.85%,1.54%,-0.83%,0.61%,-1.68%,1.84%,0.32%,3.81%,4.69%,-0.59%,2.25%,-1.84%,-5.05%,-1.04%,-,-,-,-,-,-,Upgrade
29,Total Shareholder Return,-2.12%,1.85%,1.54%,-0.83%,0.61%,-1.68%,1.84%,0.32%,3.81%,4.69%,-0.59%,2.25%,-1.84%,-5.05%,-1.04%,-,-,-,-,-,-,Upgrade
