,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,1267,1462,1675,1716,1569,2128,2207,65.1,-
1,Short-Term Investments,139.5,-,-,8.87,290.92,8.16,170.1,806.25,-
2,Cash & Short-Term Investments,1406,1462,1675,1725,1860,2137,2377,871.34,-
3,Cash Growth,-16.02%,-15.28%,-9.97%,-19.25%,-21.73%,145.21%,-,-,-
4,Accounts Receivable,3.36,3.71,3.76,-,-,-,-,-,-
5,Other Receivables,59.53,18.83,19.96,48.07,31.29,14.57,9.64,21,-
6,Receivables,62.89,22.54,23.71,48.07,31.29,14.57,9.64,21,-
7,Inventory,12.45,6.14,4.07,-,-,-,-,-,-
8,Restricted Cash,232.84,265.66,-,172.07,-,25.51,-,11.08,-
9,Other Current Assets,42.45,38.61,239.91,27.38,122.01,32.23,53.37,10.2,-
10,Total Current Assets,1757,1795,1942,1973,2014,2209,2440,913.62,-
11,"Property, Plant & Equipment",210.7,223.65,241.57,233.74,223.09,184.32,156.34,138.46,-
12,Other Intangible Assets,408.94,392.46,345.12,334.62,310.91,162.38,149.63,138.69,-
13,Other Long-Term Assets,8.2,9.66,8.26,29.51,33.51,49.81,68.25,35.81,-
14,Total Assets,2385,2420,2537,2571,2581,2605,2814,1227,-
15,Accounts Payable,5.78,11.74,6.98,11.05,6.48,14.69,48.23,1,-
16,Accrued Expenses,71.6,98.99,93,61.81,26.15,24.23,13.21,13.95,-
17,Short-Term Debt,224.63,206.58,159.49,94.5,25.19,10.29,10,10,-
18,Current Portion of Leases,10.1,9.59,9.75,9.73,8.15,5.88,4.93,4.75,-
19,Current Income Taxes Payable,0.94,1.6,3.92,1.2,5.79,5.53,5.17,4.92,-
20,Current Unearned Revenue,1.21,1.18,-,-,-,-,-,-,-
21,Other Current Liabilities,4.03,6.78,8.24,16.25,8.18,28.39,53.58,19.05,-
22,Total Current Liabilities,318.29,336.45,281.38,194.54,79.93,89.01,135.11,53.67,-
23,Long-Term Debt,-,-,-,-,-,-,-,1896,-
24,Long-Term Leases,20.13,21.86,26.39,27.7,29.29,20.86,24.78,22.78,-
25,Long-Term Unearned Revenue,13.39,13.71,-,0.01,0.03,0.05,0.07,0.09,-
26,Total Liabilities,351.8,372.02,307.77,222.25,109.25,109.92,159.97,1973,-
27,Additional Paid-In Capital,5444,5444,5428,5428,5414,5414,5394,64.13,-
28,Retained Earnings,-3869,-3807,-3663,-3429,-3183,-3022,-2880,-892.18,-
29,Comprehensive Income & Other,458.25,411.54,465.14,350.14,240.84,103.48,140.2,82.08,-
30,Shareholders' Equity,2033,2048,2230,2348,2472,2495,2654,-745.97,-
31,Total Liabilities & Equity,2385,2420,2537,2571,2581,2605,2814,1227,-
32,Total Debt,254.86,238.03,195.63,131.93,62.63,37.03,39.71,1934,-
33,Net Cash (Debt),1152,1224,1479,1593,1798,2100,2337,-1062,-
34,Net Cash Growth,-22.14%,-23.20%,-17.72%,-24.11%,-23.08%,-,-,-,-
35,Net Cash Per Share,2.11,2.25,2.72,2.94,3.32,3.88,8.25,-7.48,-
36,Filing Date Shares Outstanding,546.14,546.14,543.84,543.84,541.95,541.95,538.71,150.99,160
37,Total Common Shares Outstanding,546.14,546.14,543.84,543.84,541.95,541.95,538.71,150.99,160
38,Working Capital,1439,1458,1661,1778,1934,2120,2305,859.96,-
39,Book Value Per Share,3.72,3.75,4.10,4.32,4.56,4.60,4.93,-4.94,-
40,Tangible Book Value,1624,1656,1884,2014,2161,2333,2504,-884.66,-
41,Tangible Book Value Per Share,2.97,3.03,3.47,3.70,3.99,4.31,4.65,-5.86,-
42,Machinery,-,264.6,-,208.55,-,186.33,-,130.91,-
43,Construction In Progress,-,32.38,-,61.42,-,18.33,-,10.29,-
44,Leasehold Improvements,-,7.46,-,7.38,-,7.12,-,4.36,-
