,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,49.77,7.45,11.3,-,-,-,-,-,-
1,Revenue Growth (YoY),340.28%,-,-,-,-,-,-,-,-
2,Cost of Revenue,6.93,3.35,1.15,-,-,-,-,-,-
3,Gross Profit,42.84,4.09,10.15,-,-,-,-,-,-
4,"Selling, General & Admin",59.7,70.65,65.65,62.89,53.17,71.64,107.18,31.07,5.47
5,Research & Development,89.8,127.7,205.35,195.5,100.93,96.62,123.44,43.69,38.09
6,Other Operating Expenses,-,-1.39,-,-0.15,-,-0.01,-,-1.37,-
7,Operating Expenses,149.5,196.96,270.99,258.24,154.1,168.25,230.61,73.4,43.56
8,Operating Income,-106.66,-192.87,-260.84,-258.24,-154.1,-168.25,-230.61,-73.4,-43.56
9,Interest Expense,-4.81,-4.28,-3.64,-1.84,-1.31,-1.06,-0.89,-0.91,-0.75
10,Interest & Investment Income,-,77.4,-,30.42,-,5.04,-,2.58,-
11,Currency Exchange Gain (Loss),-8.84,4.64,-8.29,-12.24,-17.49,13.47,-0.07,-5.03,-0.46
12,Other Non Operating Income (Expenses),44.51,-39.52,39.52,-11.87,11.87,-7.41,-1756,-648.19,-21.79
13,EBT Excluding Unusual Items,-75.8,-154.64,-233.24,-253.77,-161.03,-158.21,-1988,-724.94,-66.55
14,Other Unusual Items,-,3.39,-,7.48,-,16.09,-,64.51,-
15,Pretax Income,-75.8,-151.25,-233.24,-246.29,-161.03,-142.12,-1988,-660.43,-66.55
16,Income Tax Expense,-,0.01,0.54,-,-,-,-,-,-
17,Net Income,-75.8,-151.26,-233.78,-246.29,-161.03,-142.12,-1988,-660.43,-66.55
18,Net Income to Common,-75.8,-151.26,-233.78,-246.29,-161.03,-142.12,-1988,-660.43,-66.55
19,Shares Outstanding (Basic),546,544,544,542,542,542,283,142,160
20,Shares Outstanding (Diluted),546,544,544,542,542,542,283,142,160
21,Shares Change (YoY),0.42%,0.30%,0.35%,0.16%,91.32%,281.39%,77.04%,-,-
22,EPS (Basic),-0.14,-0.28,-0.43,-0.45,-0.30,-0.26,-7.02,-4.65,-0.42
23,EPS (Diluted),-0.14,-0.28,-0.43,-0.45,-0.30,-0.26,-7.02,-4.65,-0.42
24,Free Cash Flow,-163.32,-156.92,-203.21,-211.5,-198.2,-206.02,-104.65,-139.91,-29.87
25,Free Cash Flow Per Share,-0.30,-0.29,-0.37,-0.39,-0.37,-0.38,-0.37,-0.99,-0.19
26,Operating Margin,-214.31%,-2590.24%,-2307.48%,-,-,-,-,-,-
27,Profit Margin,-152.31%,-2031.43%,-2068.10%,-,-,-,-,-,-
28,Free Cash Flow Margin,-328.16%,-2107.45%,-1797.68%,-,-,-,-,-,-
29,EBITDA,-84.22,-180.08,-239.95,-244.64,-139.92,-156.39,-221.14,-63.77,-36.93
30,D&A For EBITDA,22.44,12.79,20.88,13.61,14.18,11.86,9.48,9.63,6.62
31,EBIT,-106.66,-192.87,-260.84,-258.24,-154.1,-168.25,-230.61,-73.4,-43.56
