,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,1070,770,2157,2007,1642,2168,3089,6335,-,-
1,Market Cap Growth,-61.63%,-61.63%,31.35%,-7.43%,-46.83%,-65.78%,-,-,-,-
2,Enterprise Value,-167,-578,559,206,-463,-409,278,7597,-,-
3,Last Close Price,1.96,1.41,3.95,3.69,3.02,4.00,5.70,11.76,-,-
4,PS Ratio,17.38,12.53,104.44,164.30,-,-,-,-,-,-
5,PB Ratio,0.49,0.35,0.96,0.83,0.62,0.75,1.01,1.98,-,-
6,P/TBV Ratio,0.44,0.44,1.18,0.99,0.72,0.86,1.08,2.10,-,-
7,EV/Sales Ratio,-,-,27.06,16.83,-,-,-,-,-,-
8,Debt / Equity Ratio,0.13,0.13,0.12,0.09,0.06,0.03,0.01,0.01,-2.59,-
9,Earnings Yield,-22.79%,-31.68%,-19.66%,-25.85%,-28.04%,-16.38%,-84.63%,-50.27%,-,-
10,FCF Yield,-32.15%,-44.68%,-18.39%,-22.33%,-28.20%,-21.84%,-12.34%,-4.64%,-,-
11,Buyback Yield / Dilution,-0.36%,-0.42%,-0.30%,-0.35%,-0.16%,-91.32%,-281.39%,-77.04%,-,-
12,Total Shareholder Return,-0.36%,-0.42%,-0.30%,-0.35%,-0.16%,-91.32%,-281.39%,-77.04%,-,-
