,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Other Revenue,-1.71,1.71,-,-,-1.55,1.55,-
1,Revenue,208.38,221.4,214.36,-,198.88,210.31,189.95
2,Revenue Growth (YoY),4.78%,5.27%,12.85%,-,-,-,-
3,Cost of Revenue,138.69,152.12,141.21,-,129.46,151.14,128.57
4,Gross Profit,69.69,69.28,73.15,-,69.42,59.17,61.38
5,"Selling, General & Admin",38.74,36.92,36.06,-,36.77,31.54,23.91
6,Research & Development,4.93,5.85,6.03,-,6.88,7.04,5.56
7,Other Operating Expenses,1.06,1.25,1.26,-,-1.08,0.7,0.11
8,Operating Expenses,43.14,46.46,44.23,-,41.32,42.68,30.43
9,Operating Income,26.55,22.83,28.91,-,28.1,16.49,30.95
10,Interest Expense,-4.53,-6.3,-5.06,-,-5.38,-5.94,-4.92
11,Interest & Investment Income,0.97,0.53,0.43,-,0.36,0.26,0.2
12,Currency Exchange Gain (Loss),3.31,-0.76,-2.56,-,-12.25,15.62,-3.37
13,Other Non Operating Income (Expenses),-12,0.21,-0.95,-,10.78,-0.48,-0.4
14,EBT Excluding Unusual Items,14.31,16.51,20.78,-,21.62,25.95,22.46
15,Gain (Loss) on Sale of Investments,0.13,0.05,0.05,-,-2.48,-0.4,0.04
16,Gain (Loss) on Sale of Assets,-0.15,-,-0.15,-,-,0.19,-
17,Asset Writedown,-5.3,-0.15,-,-,-5.15,2.89,-2.89
18,Other Unusual Items,-0.83,-0.16,0.12,-,-0,0,-
19,Pretax Income,8.16,16.24,20.79,-,13.99,28.64,19.61
20,Income Tax Expense,0.22,0.59,2.92,-,-0.22,2.85,1.47
21,Net Income,7.95,15.65,17.87,-,14.21,25.79,18.15
22,Net Income to Common,7.95,15.65,17.87,-,14.21,25.79,18.15
23,Net Income Growth,-44.09%,-39.30%,-1.50%,-,-,-,-
24,Shares Outstanding (Basic),118,110,99,-,89,89,91
25,Shares Outstanding (Diluted),118,110,99,-,89,89,91
26,Shares Change (YoY),32.38%,24.44%,9.44%,-,-,-,-
27,EPS (Basic),0.07,0.14,0.18,-,0.16,0.29,0.20
28,EPS (Diluted),0.07,0.14,0.18,-,0.16,0.29,0.20
29,EPS Growth,-57.76%,-51.22%,-10.00%,-,-,-,-
30,Free Cash Flow,-33.01,-208.51,-24.37,-,-24.69,-94.34,-112.15
31,Free Cash Flow Per Share,-0.28,-1.89,-0.25,-,-0.28,-1.06,-1.24
32,Gross Margin,33.45%,31.29%,34.12%,-,34.91%,28.13%,32.31%
33,Operating Margin,12.74%,10.31%,13.49%,-,14.13%,7.84%,16.29%
34,Profit Margin,3.81%,7.07%,8.34%,-,7.15%,12.26%,9.55%
35,Free Cash Flow Margin,-15.84%,-94.18%,-11.37%,-,-12.41%,-44.86%,-59.04%
36,EBITDA,34.92,32.06,37.28,-,34.4,24.28,37.25
37,EBITDA Margin,16.76%,14.48%,17.39%,-,17.30%,11.55%,19.61%
38,D&A For EBITDA,8.36,9.24,8.36,-,6.3,7.79,6.3
39,EBIT,26.55,22.83,28.91,-,28.1,16.49,30.95
40,EBIT Margin,12.74%,10.31%,13.49%,-,14.13%,7.84%,16.29%
41,Effective Tax Rate,2.65%,3.63%,14.04%,-,-,9.96%,7.47%
42,Revenue as Reported,208.38,221.4,214.36,-,198.88,210.31,189.95
