,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,2238,2652,2766,3291,-,-,-,-
1,Enterprise Value,2420,2794,2775,3671,-,-,-,-
2,Last Close Price,18.83,22.31,23.27,27.48,-,-,-,-
3,PE Ratio,33.08,63.95,57.95,56.88,-,-,-,-
4,PS Ratio,2.34,4.12,4.36,5.28,-,-,-,-
5,PB Ratio,2.47,2.93,3.07,3.63,-,-,-,-
6,P/TBV Ratio,3.02,3.02,3.18,3.72,-,-,-,-
7,P/OCF Ratio,-,-34.52,-,-101.66,-,-,-,-
8,EV/Sales Ratio,2.89,4.34,4.37,5.89,-,-,-,-
9,EV/EBITDA Ratio,16.34,26.80,26.75,38.26,-,-,-,-
10,EV/EBIT Ratio,23.36,35.69,34.76,49.95,-,-,-,-
11,Debt / Equity Ratio,0.58,0.58,0.62,0.54,-,-,1.01,0.77
12,Debt / EBITDA Ratio,3.57,3.78,4.14,3.31,-,-,4.54,2.33
13,Asset Turnover,0.53,0.57,-,-,-,-,-,
14,Inventory Turnover,-,1.79,2.11,-,-,-,-,-
15,Quick Ratio,1.05,1.05,1.18,1.38,-,-,0.64,-
16,Current Ratio,1.76,1.76,1.85,2.01,-,-,1.25,-
17,Return on Equity (ROE),3.52%,6.93%,-,-,-,21.89%,-,
18,Return on Assets (ROA),4.21%,3.64%,-,-,-,-,-,
19,Return on Capital (ROIC),4.59%,3.99%,-,-,-,4.61%,-,
20,Return on Capital Employed (ROCE),9.92%,7.49%,7.59%,6.97%,-,-,7.68%,-
21,Earnings Yield,2.65%,1.56%,1.73%,1.76%,-,-,-,-
22,FCF Yield,-14.60%,-10.03%,-9.31%,-4.36%,-,-,-,-
23,Payout Ratio,68.99%,61.99%,172.39%,30.79%,-,32.90%,18.28%,26.24%
24,Buyback Yield / Dilution,-16.67%,-32.38%,-24.44%,-9.44%,-,-,-,-
25,Total Shareholder Return,-15.69%,-32.38%,-24.44%,-9.44%,-,-,-,-
