,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,648.98,936.65,1159,1168,1183,1191,1345,1362,1351,-,-,205.67,-,-,-,121.96
1,Short-Term Investments,-,150,-,31,-,-,-,-,-,-,-,10.03,-,-,-,-
2,Cash & Short-Term Investments,648.98,1087,1159,1199,1183,1191,1345,1362,1351,-,215.7,215.7,-,-,163.2,121.96
3,Cash Growth,-45.14%,-8.75%,-13.78%,-11.96%,-12.43%,-,523.34%,531.28%,-,-,32.16%,76.86%,-,-,-,-
4,Accounts Receivable,114.47,100.73,84.5,87.11,77.95,94.54,115.82,108.68,104.56,-,-,146.65,-,-,-,52.12
5,Other Receivables,1.75,1.49,2.67,3.3,0.29,2.6,1.16,1.05,3.06,-,-,0.64,-,-,-,0.75
6,Receivables,116.22,102.22,87.17,90.41,78.24,97.14,116.98,109.73,107.62,-,-,147.28,-,-,-,52.87
7,Inventory,189.75,183.7,184.52,178.92,183.64,167.65,157.48,143.25,135.63,-,-,135.34,-,-,-,74.85
8,Prepaid Expenses,-,-,-,1.58,-,-,-,3.06,-,-,-,-,-,-,-,-
9,Other Current Assets,403.03,13.56,26.16,8.91,14.88,9.54,14.58,12.15,119.84,-,-,4.87,-,-,-,16.74
10,Total Current Assets,1358,1386,1457,1479,1460,1465,1634,1630,1714,-,-,503.19,-,-,-,266.42
11,"Property, Plant & Equipment",105.54,105.67,96.72,87.67,76.43,59.99,45.95,42.86,32.09,-,-,31.79,-,-,-,30.24
12,Long-Term Investments,5,56.1,-,-,20.01,20.01,20,20.02,20.02,-,-,20.02,-,-,-,-
13,Other Intangible Assets,17.66,17.82,8.01,8.14,8.39,8.32,8.54,8.8,9.15,-,-,8.65,-,-,-,3.44
14,Long-Term Deferred Tax Assets,21.71,23.62,14.79,14.62,3.37,3.42,3.46,3.49,3.37,-,-,2.83,-,-,-,1.2
15,Long-Term Deferred Charges,0.87,0.98,0.99,1.09,1.2,0.26,0.28,0.3,0.32,-,-,0.2,-,-,-,0.1
16,Other Long-Term Assets,71.61,0.45,0.11,0.84,-,-,-,-,-,-,-,-,-,-,-,-
17,Total Assets,1580,1591,1578,1591,1569,1557,1712,1705,1779,-,-,566.68,-,-,-,301.41
18,Accounts Payable,24.06,27.36,23.61,29,22.19,14.96,30.45,28.61,12.85,-,-,17.04,-,-,-,10.26
19,Accrued Expenses,19.81,21.5,13.36,23.85,18.78,16.83,10.87,21.37,15.24,-,-,24.5,-,-,-,6.38
20,Current Portion of Leases,1.01,1.02,1.03,1.05,1.05,1.04,0.81,0.94,-,-,-,-,-,-,-,-
21,Current Income Taxes Payable,3.26,0.98,1.89,0.98,3.14,1.93,4.14,4.93,5.17,-,-,1.36,-,-,-,0.38
22,Current Unearned Revenue,32.25,49,62.56,65.99,68.52,62.02,72.33,55.13,68,-,-,71.96,-,-,-,20.28
23,Other Current Liabilities,11.88,14.81,7.52,6.31,2.32,2.4,1.32,3.7,6.59,-,-,3.45,-,-,-,1.71
24,Total Current Liabilities,92.28,114.66,109.97,127.18,116,99.18,119.92,114.67,107.85,-,-,118.3,-,-,-,39.01
25,Long-Term Leases,-,0.28,0.71,0.83,1.11,1.38,1.85,1.88,-,-,-,-,-,-,-,-
26,Long-Term Deferred Tax Liabilities,0.15,0.16,0.18,0.19,0.23,0.23,0.23,0.23,-,-,-,-,-,-,-,-
27,Other Long-Term Liabilities,1.71,1.54,0.99,0.85,0.22,0.37,0.63,0.63,0.94,-,-,1.13,-,-,-,0.64
28,Total Liabilities,94.14,116.64,111.85,129.06,117.56,101.16,122.62,117.41,108.79,-,-,119.42,-,-,-,39.65
29,Common Stock,69.77,69.77,69.77,69.6,69.6,69.6,46.4,46.4,46.4,-,-,34.8,-,-,-,34.8
30,Additional Paid-In Capital,1213,1206,1201,1188,1188,1188,1211,1211,1317,-,-,208.36,-,-,-,208.36
31,Retained Earnings,206.35,193.95,200.41,203.72,193.35,197.95,331.16,329.94,306,-,-,203.46,-,-,-,19
32,Treasury Stock,-10.7,-6.03,-5.65,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Comprehensive Income & Other,-0.61,0.8,0.84,0.54,0.51,0.4,0.31,0.25,0.62,-,-,0.64,-,-,-,-0.4
34,Total Common Equity,1478,1465,1466,1462,1452,1456,1589,1588,1670,-,447.25,447.25,-,-,318.97,261.75
35,Minority Interest,8.59,9.22,-0.1,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Shareholders' Equity,1486,1474,1466,1462,1452,1456,1589,1588,1670,-,447.25,447.25,-,-,318.97,261.75
37,Total Liabilities & Equity,1580,1591,1578,1591,1569,1557,1712,1705,1779,-,-,566.68,-,-,-,301.41
38,Total Debt,1.01,1.29,1.74,1.88,2.16,2.42,2.66,2.82,-,-,-,-,-,-,-,-
39,Net Cash (Debt),647.98,1085,1157,1197,1181,1188,1342,1359,1351,-,215.7,215.7,-,-,163.2,121.96
40,Net Cash Growth,-45.12%,-8.67%,-13.74%,-11.91%,-12.59%,-,522.11%,529.97%,-,-,32.16%,76.86%,-,-,-,-
41,Net Cash Per Share,9.54,14.90,17.45,17.67,15.98,15.14,22.07,19.57,15.56,-,4.15,4.12,-,-,-,2.34
42,Filing Date Shares Outstanding,69.64,69.6,66.31,69.6,69.6,69.6,69.6,69.6,69.6,69.6,51.93,52.2,52.18,-,-,52.2
43,Total Common Shares Outstanding,69.64,69.6,66.31,69.6,69.6,69.6,69.6,69.6,69.6,52.2,51.93,52.2,52.18,-,-,52.2
44,Working Capital,1266,1271,1347,1351,1344,1366,1514,1515,1606,-,-,384.9,-,-,-,227.42
45,Book Value Per Share,21.22,21.05,22.11,21.01,20.86,20.92,22.83,22.81,24.00,-,8.57,8.57,-,-,6.11,5.01
46,Tangible Book Value,1460,1447,1458,1454,1443,1448,1581,1579,1661,-,438.61,438.61,-,-,315.59,258.31
47,Tangible Book Value Per Share,20.96,20.79,21.99,20.89,20.74,20.80,22.71,22.69,23.86,-,8.40,8.40,-,-,6.05,4.95
48,Buildings,-,93.85,-,5.33,-,40.66,-,34.82,-,-,-,34.82,-,-,-,33.36
49,Machinery,-,42.7,-,75.19,-,31.59,-,23.07,-,-,-,17.58,-,-,-,13.33
50,Construction In Progress,-,1.59,-,35.82,-,12.78,-,7.14,-,-,-,1.05,-,-,-,0.5
