,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Market Capitalization,3908,3953,2973,3543,4028,4446,5547,5456,4183,4524,-,-,-,-,-,-,-
1,Market Cap Growth,-11.10%,-11.10%,-46.41%,-35.06%,-3.71%,-1.72%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3269,2876,1815,2363,2847,3258,4205,4097,2832,4308,-,-,-,-,-,-,-
3,Last Close Price,56.12,56.79,42.61,50.58,57.63,63.62,79.37,76.57,58.70,63.49,-,-,-,-,-,-,-
4,PE Ratio,150.88,154.67,347.33,-,163.84,-,79.47,51.70,33.07,29.09,-,-,-,-,-,-,-
5,PS Ratio,13.16,13.49,11.50,14.09,17.03,17.94,20.53,16.77,11.95,11.40,-,-,-,-,-,-,-
6,PB Ratio,2.65,2.66,2.02,2.42,2.76,3.06,3.81,3.43,2.63,2.71,-,-,-,-,-,-,-
7,P/TBV Ratio,2.71,2.71,2.05,2.43,2.77,3.08,3.83,3.45,2.65,2.72,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,-,31.63,28.49,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,223.95,137.04,70.96,-,29.08,27.58,-,-,-,-,-,-,-
10,EV/Sales Ratio,11.15,9.81,7.02,9.39,12.04,13.14,15.57,12.60,8.09,10.86,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-269.10,-,-,-,-,93.72,-,22.91,26.32,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-167.02,-,-,-,-,100.98,-,23.55,26.83,-,-,-,-,-,-,-
13,EV/FCF Ratio,-41.86,-,-,-,-,-,-,-,21.42,27.13,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-
15,Debt / EBITDA Ratio,-,0.02,-,-,-,-,0.06,-,0.04,-,-,-,-,-,-,-,-
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,0.02,-,-,-,-,-,-,-,-
17,Asset Turnover,0.22,0.20,0.15,0.17,0.14,0.18,0.10,0.18,-,-,-,-,-,-,-,-,
18,Inventory Turnover,0.67,0.72,0.75,0.50,0.76,0.44,0.59,0.37,0.81,-,-,-,-,-,-,-,-
19,Quick Ratio,8.29,8.29,10.37,11.33,10.14,10.87,12.99,12.19,12.83,13.52,-,-,3.07,-,-,-,4.48
20,Current Ratio,14.72,14.72,12.09,13.25,11.63,12.58,14.77,13.62,14.21,15.89,-,-,4.25,-,-,-,6.83
21,Return on Equity (ROE),3.18%,1.48%,-0.93%,2.85%,-1.26%,4.62%,0.31%,5.88%,-,-,19.82%,-,-,-,-,-,
22,Return on Assets (ROA),1.59%,-1.53%,-1.43%,-1.36%,-1.69%,1.56%,-0.84%,2.44%,-,-,-,-,-,-,-,-,
23,Return on Capital (ROIC),1.70%,-1.64%,-1.54%,-1.47%,-1.81%,1.68%,-0.90%,2.60%,-,-,13.38%,-,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-1.16%,-,-,-,-,2.86%,-,7.56%,9.61%,-,-,30.60%,-,-,-,0.78%
25,Earnings Yield,0.65%,0.65%,0.29%,0.57%,0.61%,0.86%,1.26%,1.93%,3.02%,3.44%,-,-,-,-,-,-,-
26,FCF Yield,-2.00%,-1.98%,-2.01%,-1.22%,-0.80%,-0.33%,0.86%,1.75%,3.16%,3.51%,-,-,-,-,-,-,-
27,Dividend Yield,0.31%,-,-,-,0.31%,-,-,-,3.69%,-,-,-,-,-,-,-,-
28,Payout Ratio,45.13%,-,192.50%,-,-,-,855.68%,-,1.31%,0.46%,0.11%,-,-,-,-,-,-
29,Buyback Yield / Dilution,2.77%,8.10%,7.20%,-9.07%,2.45%,14.92%,-345.15%,-17.07%,-32.74%,-66.41%,-,-,-0.23%,-,-,-,-
30,Total Shareholder Return,3.08%,8.10%,7.20%,-9.07%,2.76%,14.92%,-345.15%,-17.07%,-29.05%,-66.41%,-,-,-0.23%,-,-,-,-
