,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Revenue,88.52,78.77,57.64,68.16,54.01,71.75,42.59,79.53,76.26,126.9,67.41,126.3,84.93,66.15,66.15,28.54
1,Revenue Growth (YoY),63.88%,9.77%,35.34%,-14.30%,-29.17%,-43.46%,-36.83%,-37.03%,-10.20%,91.84%,1.91%,342.52%,-,-,-,-
2,Cost of Revenue,33.55,34.52,22.75,34.53,19.11,24.05,14.09,28.15,27.9,41.8,23.3,41.49,71.77,-,-,9.89
3,Gross Profit,54.97,44.25,34.89,33.62,34.9,47.71,28.49,51.39,48.36,85.1,44.11,84.81,13.16,66.15,66.15,18.65
4,"Selling, General & Admin",23.88,24.19,18.96,20.13,20.92,16.86,17.44,16.05,17.84,15.3,12.45,16.2,36.86,-,-,10.33
5,Research & Development,26.93,30,26.09,23.52,25.49,19.64,18.45,18.22,15.31,14.79,12.85,14.48,34.57,-,-,6.53
6,Other Operating Expenses,-5.85,-2.94,-0.27,-2.92,-0.63,0.11,-1.14,-0.22,-5.67,-4.66,-4.4,-3.41,-91.02,42.12,42.12,-0.33
7,Operating Expenses,44.88,53.93,43.95,42.2,45.45,37.48,34.24,34.41,28.17,25.93,20.18,27.56,-18.74,42.12,42.12,16.59
8,Operating Income,10.09,-9.67,-9.06,-8.58,-10.54,10.22,-5.75,16.98,20.19,59.17,23.94,57.25,31.9,24.02,24.02,2.06
9,Interest Expense,-0.01,-0.03,-,-0.09,-0.02,-0.05,-,-0.26,-,-0.01,-,-,-,-,-,-
10,Interest & Investment Income,5.38,5.11,5.81,5.94,6.5,6.85,8.18,2.21,5.65,1.63,1.23,2.47,1.42,-,-,0.78
11,Currency Exchange Gain (Loss),0.15,-0.15,-,-0.3,0.12,-0.12,-,3.77,-2.35,2.35,-,-1.96,-,-,-,0.46
12,Other Non Operating Income (Expenses),0.4,0.5,-0.29,1.12,-0.11,0.3,-0.42,-1.16,0.08,0.33,0.67,0.1,0.06,0.15,0.15,-0.04
13,EBT Excluding Unusual Items,16,-4.24,-3.53,-1.92,-4.06,17.21,2,21.54,23.57,63.47,25.84,57.86,33.38,24.17,24.17,3.26
