,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q2 2021,Q1 2021,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,+3 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015",+3 Quarters
0,Operating Revenue,107.18,89.76,105.56,-,100.63,126.79,98.31,109.76,109.76,62.87,62.87,60.7,60.94,45.7,45.7,45.51,45.51,41.77,41.77,37.27,Upgrade
1,Other Revenue,-4.12,4.12,-,-,-3.65,3.65,-,1.45,1.45,0.1,0.1,0.25,-,-,-,0.49,0.49,-,-,0.33,Upgrade
2,Revenue,103.06,93.87,105.56,-,96.97,130.44,98.31,111.21,111.21,62.97,62.97,60.94,60.94,45.7,45.7,46,46,41.77,41.77,37.6,Upgrade
3,Revenue Growth (YoY),6.28%,-28.03%,7.37%,-,-12.80%,107.16%,56.13%,82.49%,82.49%,37.77%,37.77%,32.47%,32.47%,9.42%,9.42%,22.35%,22.35%,55.33%,55.33%,-,Upgrade
4,Cost of Revenue,82.1,75.59,83.24,-,66.86,99.19,70.17,79.18,79.18,48.44,48.44,49.56,49.53,33.67,33.67,33.87,33.87,33.48,33.48,30.68,Upgrade
5,Gross Profit,20.97,18.28,22.31,-,30.11,31.25,28.14,32.03,32.03,14.53,14.53,11.38,11.41,12.03,12.03,12.13,12.13,8.29,8.29,6.92,Upgrade
6,"Selling, General & Admin",11.02,10.52,9.77,-,9.22,8.41,8.21,8.14,8.14,4.17,4.17,8.1,8.09,2.8,2.8,6.36,6.36,4.3,4.3,3.45,Upgrade
7,Research & Development,6.62,6.39,5.93,-,5.63,5.71,5.41,3.79,3.79,1.81,1.81,-,-,1.32,1.32,-,-,-,-,-,Upgrade
8,Other Operating Expenses,-1.05,-0.07,0.01,-,-0.3,0.18,0.33,0.58,0.58,0.16,0.16,0.08,-0.53,0.11,0.11,0.31,0.31,0.17,0.17,0.04,Upgrade
9,Operating Expenses,16.19,16.93,16.08,-,12,15.08,14.68,12.76,12.76,6.16,6.16,8.51,7.56,4.26,4.26,6.75,6.75,4.44,4.44,3.84,Upgrade
10,Operating Income,4.78,1.36,6.23,-,18.11,16.17,13.46,19.27,19.27,8.36,8.36,2.86,3.86,7.77,7.77,5.38,5.38,3.85,3.85,3.08,Upgrade
