,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q2 2021,Q1 2021,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,+3 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015",+3 Quarters
0,Market Capitalization,2653,2589,3762,2485,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
1,Enterprise Value,2422,2363,3494,2535,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Last Close Price,59.95,58.50,85.00,55.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,PE Ratio,82.21,171.28,152.05,64.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
4,PS Ratio,5.91,8.56,12.69,7.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
5,PB Ratio,3.56,3.47,5.07,3.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
6,P/TBV Ratio,3.54,3.54,5.17,3.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
7,P/FCF Ratio,-,-,-322.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
8,P/OCF Ratio,43.60,57.88,88.84,69.40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
9,EV/Sales Ratio,5.87,7.81,11.79,7.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,EV/EBITDA Ratio,53.44,172.56,130.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
11,EV/EBIT Ratio,95.06,191.13,135.97,62.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
12,EV/FCF Ratio,-141.22,-,-299.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,Debt / Equity Ratio,0.15,0.15,0.18,0.18,-,-,0.36,-,0.25,0.25,0.10,0.10,-,-,-,-,0.14,0.14,0.27,0.27,0.39,Upgrade
14,Debt / EBITDA Ratio,2.44,3.32,4.38,-,-,-,1.62,-,0.80,0.80,0.22,0.22,-,-,-,-,0.29,0.29,0.62,0.62,0.62,Upgrade
15,Debt / FCF Ratio,-,-,-11.36,-,-,-,-,-,-,-,-,-,-,-,-,-,3.29,-5.94,-2.39,-2.14,-,Upgrade
16,Asset Turnover,0.40,0.35,-,-,-,-,-,0.86,-,1.38,1.44,1.46,1.68,1.49,1.51,1.55,1.69,1.69,1.74,1.62,Upgrade,
17,Inventory Turnover,-,3.10,2.93,-,-,-,-,-,3.62,-,2.55,2.82,3.24,3.78,3.08,3.59,4.33,5.45,7.24,6.87,5.99,Upgrade
