,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1472,1654,1284,814,986,1206,1569,1710,3374,2589,2213,Upgrade
1,Market Cap Growth,103.19%,103.19%,30.16%,-32.47%,-37.15%,-29.52%,-53.49%,-33.94%,52.48%,66.67%,38.24%,Upgrade
2,Enterprise Value,482,759,524,33,179,-1752,-1308,-275,3069,3100,2772,Upgrade
3,Last Close Price,0.99,0.97,0.75,0.45,0.54,0.66,0.86,0.94,0.59,0.45,0.39,Upgrade
4,PE Ratio,9.46,10.10,7.61,6.47,8.23,26.62,-,1.14,4.50,14.46,24.13,Upgrade
5,Forward PE,-,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,Upgrade
6,PS Ratio,2.08,2.22,1.73,1.17,1.63,2.92,4.71,5.09,11.49,8.10,5.46,Upgrade
7,PB Ratio,0.36,0.32,0.24,0.16,0.19,0.22,0.34,0.37,0.56,0.49,0.43,Upgrade
8,P/TBV Ratio,0.65,0.65,0.37,0.32,0.29,0.47,0.35,0.39,0.58,0.51,0.45,Upgrade
9,P/FCF Ratio,6.18,6.94,7.12,4.52,4.02,10.04,-,19.72,40.40,25.59,37.60,Upgrade
10,P/OCF Ratio,5.70,5.70,5.52,3.69,3.24,7.65,-,16.63,36.33,19.93,19.78,Upgrade
11,PEG Ratio,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,Upgrade
12,EV/Sales Ratio,0.65,1.02,0.70,0.05,0.29,-,-,-,10.45,9.70,6.84,Upgrade
13,EV/EBITDA Ratio,1.50,2.48,1.72,0.14,0.90,-,-,-,878.30,-,35.77,Upgrade
14,EV/EBIT Ratio,2.24,3.77,2.66,0.25,1.61,-,-,-,-,-,60.65,Upgrade
15,EV/FCF Ratio,2.02,3.18,2.91,0.18,0.73,-,-,-,36.74,30.64,47.11,Upgrade
16,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.13,Upgrade
17,Debt / FCF Ratio,0.05,0.05,0.01,0.02,0.02,0.66,-,0.26,0.43,0.14,11.21,Upgrade
18,Return on Capital Employed (ROCE),3.99%,3.73%,3.58%,2.47%,2.04%,1.57%,1.24%,0.50%,-,-,0.88%,Upgrade
19,Earnings Yield,11.13%,9.90%,13.15%,15.45%,12.15%,3.76%,57.82%,88.01%,22.24%,6.92%,4.14%,Upgrade
20,FCF Yield,16.19%,14.41%,14.05%,22.14%,24.85%,9.96%,2.03%,5.07%,2.48%,3.91%,2.66%,Upgrade
21,Dividend Yield,9.55%,9.54%,13.15%,10.93%,-,-,-,-,-,-,-,Upgrade
22,Buyback Yield / Dilution,0.01%,0.02%,-0.01%,0.07%,0.24%,0.16%,0.00%,0.00%,-0.00%,-0.00%,-,Upgrade
23,Total Shareholder Return,9.55%,9.55%,13.14%,11.00%,0.24%,0.16%,0.00%,0.00%,-0.00%,-0.00%,-,Upgrade
