,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2019,H2 2018,H1 2018
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Jun '19 Jun 30, 2019","Dec '18 Dec 31, 2018","Jun '18 Jun 30, 2018"
0,Market Capitalization,7599,8039,8394,8090,6837,6770,-,-,-,-,-
1,Market Cap Growth,-0.63%,-0.63%,22.77%,19.50%,-,-,-,-,-,-,-
2,Enterprise Value,6620,5626,5687,5081,3825,6018,-,-,-,-,-
3,Last Close Price,22.45,23.75,23.98,23.11,19.12,18.93,-,-,-,-,-
4,PE Ratio,10.74,11.11,11.71,13.30,13.61,18.87,-,-,-,-,-
5,Forward PE,8.30,10.50,10.70,11.51,12.31,17.36,-,-,-,-,-
6,PS Ratio,0.69,0.74,0.79,0.81,0.74,0.79,-,-,-,-,-
7,PB Ratio,1.05,1.13,1.16,1.19,1.05,1.10,-,-,-,-,-
8,P/TBV Ratio,1.68,1.68,1.73,1.77,1.60,1.68,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,6.16,-,-,-,-,-
10,P/OCF Ratio,10.65,10.65,10.38,14.88,5.63,3.68,-,-,-,-,-
11,PEG Ratio,1.23,1.23,1.23,1.15,1.23,0.72,-,-,-,-,-
12,EV/Sales Ratio,0.60,0.52,0.54,0.51,0.42,0.71,-,-,-,-,-
13,EV/EBITDA Ratio,4.34,4.09,4.34,4.19,4.28,9.70,-,-,-,-,-
14,EV/EBIT Ratio,6.67,6.29,6.75,6.41,7.43,20.24,-,-,-,-,-
15,EV/FCF Ratio,-6.76,-,-,-,-,5.48,-,-,-,-,-
16,Debt / Equity Ratio,0.04,0.04,0.04,0.04,0.05,0.10,0.18,-,1.60,1.72,-
17,Debt / FCF Ratio,-,-,-,-,-,0.55,0.45,-,-,-,-
18,Return on Capital Employed (ROCE),11.91%,11.91%,11.06%,10.98%,7.49%,4.47%,7.29%,-,3.82%,3.18%,-
19,Earnings Yield,9.30%,9.00%,8.54%,7.52%,7.35%,5.30%,-,-,-,-,-
20,FCF Yield,-12.88%,-4.27%,-6.10%,-6.85%,7.83%,16.22%,-,-,-,-,-
21,Buyback Yield / Dilution,0.05%,-,0.11%,-14.85%,-35.14%,-17.54%,-39.44%,-41.55%,2.43%,-,-
22,Total Shareholder Return,3.71%,-,0.11%,-14.85%,-35.14%,-17.54%,-39.44%,-41.55%,2.43%,-,-
