,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,3072,3056,3696,3904,1720,1048,1072,1400,1312,952,-
1,Market Cap Growth,-21.72%,-21.72%,114.88%,272.52%,60.45%,-25.14%,-18.29%,47.06%,-,-,-
2,Enterprise Value,3298,3230,3965,4171,1914,1219,1188,1481,1328,1068,-
3,Last Close Price,3.84,3.82,4.58,4.80,2.10,1.28,1.31,1.71,1.58,1.15,-
4,PE Ratio,12.97,13.24,12.43,35.88,39.31,71.64,-,-,-,-,-
5,PS Ratio,3.09,3.16,3.08,3.09,1.45,0.96,1.21,1.99,2.59,2.02,-
6,PB Ratio,5.72,5.61,6.80,10.09,5.87,3.85,4.10,4.97,4.52,3.17,-
7,P/TBV Ratio,6.76,6.76,8.21,13.36,6.75,4.50,4.92,5.68,5.14,3.18,-
8,P/FCF Ratio,-,-,-,-203.40,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-253.23,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.41,3.34,3.31,3.30,1.61,1.11,1.34,2.11,2.62,2.26,-
11,EV/EBITDA Ratio,29.89,34.79,28.74,37.61,25.13,21.63,-1621.14,-,-,-,-
12,EV/EBIT Ratio,36.00,37.80,30.45,40.23,27.76,25.05,-159.05,-,-,-,-
13,EV/FCF Ratio,-76.72,-,-,-217.28,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.48,0.48,0.38,0.86,1.17,1.07,0.92,0.77,0.68,0.27,1.41
15,Debt / FCF Ratio,-,-,-,-17.33,-,-,-,-,-,-,2.32
16,Return on Capital Employed (ROCE),15.45%,15.43%,23.42%,25.89%,23.19%,17.04%,-2.81%,-,-,-,58.55%
17,Earnings Yield,7.51%,7.55%,8.04%,2.79%,2.54%,1.40%,-1.76%,-1.70%,-4.66%,-4.03%,-
18,FCF Yield,-1.40%,-1.41%,0.22%,-0.49%,-3.12%,-4.05%,-4.11%,-2.36%,-8.75%,-2.70%,-
19,Dividend Yield,0.91%,-,1.53%,0.73%,-,-,-,-,-,-,-
20,Buyback Yield / Dilution,0.55%,0.67%,0.42%,-0.90%,-1.17%,-0.07%,0.07%,-13.81%,-28.46%,-12.80%,-
21,Total Shareholder Return,1.46%,0.67%,1.95%,-0.17%,-1.17%,-0.07%,0.07%,-13.81%,-28.46%,-12.80%,-
