,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,301167,215755,206413,193734,164819,181501,141686,151251,130565,142131,208860,Upgrade
1,Market Cap Growth,11.37%,11.37%,25.24%,6.74%,16.33%,20.00%,8.52%,6.42%,-37.49%,-24.20%,17.23%,Upgrade
2,Enterprise Value,344758,260176,242071,242697,184489,227264,183775,201531,163866,165010,227599,Upgrade
3,PE Ratio,12.29,8.80,7.62,5.94,5.00,6.18,5.16,5.20,5.27,6.28,7.69,Upgrade
4,PS Ratio,0.58,0.42,0.40,0.39,0.33,0.36,0.28,0.31,0.27,0.31,0.47,Upgrade
5,PB Ratio,1.15,0.82,0.80,0.78,0.66,0.74,0.56,0.64,0.58,0.76,1.10,Upgrade
6,P/FCF Ratio,13.16,9.43,10.52,6.71,3.92,4.57,8.29,-67.29,-,4.75,8.49,Upgrade
7,P/OCF Ratio,8.34,8.34,9.12,5.57,3.41,4.24,7.07,22.24,-,4.02,7.24,Upgrade
8,EV/Sales Ratio,0.66,0.50,0.47,0.49,0.37,0.45,0.36,0.41,0.33,0.37,0.51,Upgrade
9,EV/EBITDA Ratio,7.80,7.98,6.88,6.18,4.04,6.17,5.97,5.68,5.45,6.41,8.94,Upgrade
10,EV/EBIT Ratio,8.57,8.79,7.53,6.68,4.33,6.69,6.60,6.20,6.00,7.09,9.91,Upgrade
11,EV/FCF Ratio,15.06,11.37,12.34,8.41,4.39,5.72,10.76,-89.66,-,5.51,9.25,Upgrade
12,Debt / Equity Ratio,0.21,0.21,0.21,0.17,0.23,0.12,0.23,0.24,0.28,0.28,0.20,Upgrade
13,Debt / FCF Ratio,2.39,2.39,2.79,1.47,1.38,0.75,3.44,-25.04,-,1.73,1.55,Upgrade
14,Return on Capital Employed (ROCE),4.36%,3.74%,4.14%,4.85%,5.60%,3.78%,3.32%,3.78%,3.55%,3.11%,3.44%,Upgrade
15,Earnings Yield,8.14%,11.37%,13.12%,16.84%,20.00%,16.19%,19.37%,19.23%,18.98%,15.93%,13.01%,Upgrade
16,Earnings Yield,8.14%,11.37%,13.12%,16.84%,20.00%,16.19%,19.37%,19.23%,18.98%,15.93%,13.01%,Upgrade
17,FCF Yield,7.60%,10.61%,9.50%,14.90%,25.48%,21.88%,12.06%,-1.49%,2.76%,21.06%,11.78%,Upgrade
18,Dividend Yield,3.35%,2.48%,-,-,-,-,-,-,-,-,-,Upgrade
19,Total Shareholder Return,3.35%,2.48%,-,-,-,-,-,-,-,-,-,Upgrade
