,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4837,4568,5870,5289,7048,10652,8305,14151,13486,9686,11836,11618,9524,12332,14401,14402,-,-,-,-,-
1,Market Cap Growth,-57.11%,-57.11%,-29.31%,-62.63%,-47.74%,9.97%,-29.84%,21.81%,41.60%,-21.46%,-17.81%,-19.33%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5414,5145,6364,5898,7686,11289,8888,14713,13618,9817,11903,11584,9393,12200,14105,14455,-,-,-,-,-
3,Last Close Price,47.51,44.87,57.84,51.89,69.05,104.35,81.36,138.35,131.28,94.28,115.22,112.47,92.20,119.38,139.41,139.42,-,-,-,-,-
4,PE Ratio,113.12,-,79.75,64.11,228.02,176.63,158.23,-,70.18,-,41.75,45.61,36.02,53.15,73.15,87.57,-,-,-,-,-
5,Forward PE,20.13,18.99,26.59,26.20,25.18,39.19,28.86,44.79,45.24,25.52,32.93,33.04,31.34,38.82,50.60,56.86,-,-,-,-,-
6,PS Ratio,5.21,4.89,5.96,4.98,7.46,10.24,8.28,13.13,11.32,8.18,8.42,8.62,7.08,10.31,14.20,16.43,-,-,-,-,-
7,PB Ratio,3.41,3.22,4.14,3.67,4.99,7.67,6.00,10.01,9.50,7.03,8.49,8.78,7.17,9.81,12.20,12.89,-,-,-,-,-
8,P/TBV Ratio,3.47,3.47,4.45,3.94,5.39,8.31,6.53,10.91,9.90,7.35,8.90,9.23,7.55,10.36,12.92,13.26,-,-,-,-,-
9,P/FCF Ratio,-,-,-,44.55,-,-43.82,-,-,-,-,-77.34,-,-,-75.62,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,25.49,-,-11095.19,-,-,-,-,-137.43,-,-,-128.36,-,-,-,-,-,-,-
11,EV/Sales Ratio,5.80,5.51,6.46,5.56,8.13,10.85,8.86,13.65,11.43,8.29,8.46,8.60,6.98,10.20,13.90,16.49,-,-,-,-,-
12,EV/EBITDA Ratio,102.64,-,58.44,52.82,129.90,-,153.79,-,61.94,-,35.12,41.94,31.15,46.67,57.93,74.59,-,-,-,-,-
13,EV/EBIT Ratio,191.75,-,73.56,65.09,195.15,-,218.60,-,66.34,-,36.35,43.64,32.23,48.40,60.06,78.06,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,49.69,-,-46.44,-,-,-,-,-77.77,-,-,-74.82,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.55,0.55,0.55,0.52,0.54,0.53,0.57,0.58,0.52,0.45,0.35,0.32,0.22,0.17,0.16,0.08,0.23,0.23,-,-,0.26
16,Debt / EBITDA Ratio,14.67,-,5.29,4.09,3.95,-,4.98,-,2.32,-,0.81,2.58,0.77,0.88,0.54,0.33,0.59,1.03,-,-,1.03
